snapshot,sample,arm,reference,metric,level,paired_delta,positive,n
原快照,全样本,BASE,SB1,单票权重P90,0.8871515000000001,-0.001775500000000041,6,14
原快照,全样本,BASE,SB1,单票权重最大,1.082745,9.94999999999191e-05,7,14
原快照,全样本,BASE,SB1,前三权重中位,1.4520685,-0.012973000000000012,4,14
原快照,全样本,BASE,SB1,单票超60%天数占比,0.792295,-0.006559500000000051,6,14
原快照,全样本,BASE,SB1,滚动3年年化中位,0.485012,0.0033350000000000046,8,14
原快照,全样本,BASE,SB1,滚动3年回撤中位,0.437839,0.0006899999999999962,9,14
原快照,全样本,BASE,SB1,滚动3年Calmar中位,1.084862,-0.0028335000000000443,7,14
原快照,全样本,BASE,SB1,滚动3年Sharpe中位,0.9416850000000001,0.0009275000000000255,7,14
原快照,全样本,BASE,SB1,滚动3年为负的窗口占比,0.027798999999999997,0.0,3,14
原快照,全样本,BASE,SB1,滚动5年年化中位,0.512038,0.0019264999999999977,7,14
原快照,全样本,BASE,SB1,滚动5年年化P25,0.383942,0.0018780000000000185,7,14
原快照,全样本,BASE,SB1,滚动5年年化最差,0.1151375,0.000559500000000001,7,14
原快照,全样本,BASE,SB1,滚动5年回撤中位,0.4642035,0.002921499999999966,8,14
原快照,全样本,BASE,SB1,滚动5年Calmar中位,1.0603585,0.002799500000000066,7,14
原快照,全样本,BASE,SB1,滚动5年Sharpe中位,0.974829,0.007638999999999951,8,14
原快照,全样本,BASE,SB1,滚动5年为负的窗口占比,0.0,0.0,0,14
原快照,全样本,BASE,SB1,滚动5年窗口数,102.0,0.0,0,14
原快照,全样本,BASE,SB1,互不重叠5年块中位,0.6147625,-8.749999999996261e-05,7,14
原快照,全样本,BASE,SB1,滚动10年年化中位,0.425867,-0.004518500000000009,7,14
原快照,全样本,BASE,SB1,滚动10年窗口数,42.0,0.0,0,14
原快照,全样本,BASE,SB1,逐年收益中位,0.3872645,0.017755500000000007,9,14
原快照,全样本,BASE,SB1,逐年为正比例,0.792857,0.0,4,14
原快照,全样本,BASE,SB1,逐年最差,-0.271551,0.0,6,14
原快照,全样本,BASE,SB1,完整自然年数,12.5,0.0,0,14
原快照,全样本,SB1,BASE,年化,0.46584800000000004,0.0026259999999999895,8,14
原快照,全样本,SB1,BASE,最大回撤,0.6938015,0.00011700000000003374,7,14
原快照,全样本,SB1,BASE,Sharpe,0.8810685,0.0010979999999999879,8,14
原快照,全样本,SB1,BASE,Calmar,0.6263625,0.009011499999999978,8,14
原快照,全样本,SB1,BASE,平均仓位,1.648812,-0.001111499999999932,5,14
原快照,全样本,SB1,BASE,年均换手,7.065041,0.1755899999999997,10,14
原快照,全样本,SB1,BASE,持仓数中位,6.0,0.0,1,14
原快照,全样本,SB1,BASE,单票权重中位,0.64908,0.0013659999999999783,9,14
原快照,全样本,SB1,BASE,单票权重P90,0.9057345,0.001775500000000041,8,14
原快照,全样本,SB1,BASE,单票权重最大,1.1132304999999998,-9.94999999999191e-05,6,14
原快照,全样本,SB1,BASE,前三权重中位,1.4558360000000001,0.012973000000000012,10,14
原快照,全样本,SB1,BASE,单票超60%天数占比,0.766875,0.006559500000000051,8,14
原快照,全样本,SB1,BASE,滚动3年年化中位,0.4822015,-0.0033350000000000046,6,14
原快照,全样本,SB1,BASE,滚动3年回撤中位,0.439189,-0.0006899999999999962,5,14
原快照,全样本,SB1,BASE,滚动3年Calmar中位,1.0765255,0.0028335000000000443,7,14
原快照,全样本,SB1,BASE,滚动3年Sharpe中位,0.957849,-0.0009275000000000255,7,14
原快照,全样本,SB1,BASE,滚动3年为负的窗口占比,0.022415499999999998,0.0,4,14
原快照,全样本,SB1,BASE,滚动5年年化中位,0.48752249999999997,-0.0019264999999999977,7,14
