group,arm,metric,level_median,paired_delta_median,positive_starts,starts
full,BASE,年化,0.45655756827395966,0.0,0,14
full,BASE,最大回撤,0.6915421183197383,0.0,0,14
full,BASE,Sharpe,0.9556917169411325,0.0,0,14
full,BASE,Calmar,0.5999784210379602,0.0,0,14
full,BASE,平均仓位,1.646187216629815,0.0,0,14
full,BASE,年均换手,7.014155393373942,0.0,0,14
full,BASE,持仓数中位,6.0,0.0,0,14
full,BASE,单票权重中位,0.6503445967019137,0.0,0,14
full,BASE,单票权重P90,0.8871514616910131,0.0,0,14
full,BASE,单票权重最大,1.0827451409671238,0.0,0,14
full,BASE,前三权重中位,1.452068374475039,0.0,0,14
full,BASE,单票超60%天数占比,0.7922951118317829,0.0,0,14
full,BASE,滚动3年年化中位,0.485011664736288,0.0,0,14
full,BASE,滚动3年回撤中位,0.43783899141586896,0.0,0,14
full,BASE,滚动3年Calmar中位,1.084861807179347,0.0,0,14
full,BASE,滚动3年Sharpe中位,1.010126381630187,0.0,0,14
full,BASE,滚动3年为负的窗口占比,0.027799227799227798,0.0,0,14
full,BASE,滚动5年年化中位,0.5120379561159653,0.0,0,14
full,BASE,滚动5年年化P25,0.3839423654490838,0.0,0,14
full,BASE,滚动5年年化最差,0.11513745634735473,0.0,0,14
full,BASE,滚动5年回撤中位,0.46420338775730896,0.0,0,14
full,BASE,滚动5年Calmar中位,1.06035846082976,0.0,0,14
full,BASE,滚动5年Sharpe中位,1.026096436537976,0.0,0,14
full,BASE,滚动5年为负的窗口占比,0.0,0.0,0,14
full,BASE,滚动5年窗口数,102.0,0.0,0,14
full,BASE,互不重叠5年块中位,0.6147620892310237,0.0,0,14
full,BASE,滚动10年年化中位,0.42586696630976906,0.0,0,14
full,BASE,滚动10年窗口数,42.0,0.0,0,14
full,BASE,逐年收益中位,0.3872647032409982,0.0,0,14
full,BASE,逐年为正比例,0.7928571428571429,0.0,0,14
full,BASE,逐年最差,-0.2715508503888037,0.0,0,14
full,BASE,完整自然年数,12.5,0.0,0,14
full,BASE,强平次数,0.0,0.0,0,14
full,BASE,最低担保比例,1.82729278782201,0.0,0,14
full,BASE,最低股票同跌缓冲,0.28856469559402204,0.0,0,14
full,BASE,最低总资产冲击缓冲,0.2885646955940221,0.0,0,14
full,BASE,rf覆盖率,1.0,0.0,0,14
full,BASE,年化_交易日口径,0.4577951197626996,0.0,0,14
full,BASE,最低担保比例日,20150825.0,0.0,0,14
full,BASE,最低股票同跌缓冲日,20150825.0,0.0,0,14
full,BASE,滚动5年年化最差窗口末日,20190829.0,0.0,0,14
full,BASE,最大回撤起日,20150609.0,0.0,0,14
full,BASE,最大回撤止日,20160614.5,0.0,0,14
full,BASE,末次净值日,20260828.0,0.0,0,14
full,WCREPSEP09,年化,0.4419997814735954,0.02495259165540198,10,14
full,WCREPSEP09,最大回撤,0.6604477256840506,-0.01300683464595026,4,14
full,WCREPSEP09,Sharpe,0.9397505570807134,0.028869034472552735,10,14
full,WCREPSEP09,Calmar,0.6413548746629865,0.043454492048894955,11,14
full,WCREPSEP09,平均仓位,1.661970792097153,0.0029825535849290485,11,14
full,WCREPSEP09,年均换手,6.434867363767403,-0.6603602982990346,1,14
full,WCREPSEP09,持仓数中位,7.0,0.0,4,14
full,WCREPSEP09,单票权重中位,0.6475402491671144,0.0013252784568395515,8,14
full,WCREPSEP09,单票权重P90,0.8828691483503548,-0.0015272957148773636,7,14
full,WCREPSEP09,单票权重最大,1.0250460276822746,-0.04497712118008573,4,14
full,WCREPSEP09,前三权重中位,1.4442277461143582,-0.008282032550625429,6,14
full,WCREPSEP09,单票超60%天数占比,0.7832682137889405,0.013286852854853759,9,14
full,WCREPSEP09,滚动3年年化中位,0.5024785796375869,0.028060915008060405,9,14
full,WCREPSEP09,滚动3年回撤中位,0.44067097110041814,0.0014650899279312068,7,14
full,WCREPSEP09,滚动3年Calmar中位,1.1389710592829045,0.11584779950934249,11,14
full,WCREPSEP09,滚动3年Sharpe中位,1.0160968772757442,0.04435861926098028,11,14
full,WCREPSEP09,滚动3年为负的窗口占比,0.011596703086064787,0.0,3,14
full,WCREPSEP09,滚动5年年化中位,0.519491954254418,0.02965076148310075,10,14
full,WCREPSEP09,滚动5年年化P25,0.4258005079782211,0.021567664366050066,12,14
full,WCREPSEP09,滚动5年年化最差,0.107727158176671,0.005172955083982744,10,14
full,WCREPSEP09,滚动5年回撤中位,0.45762222108711903,-0.001528197935809661,6,14
full,WCREPSEP09,滚动5年Calmar中位,1.1388134854515277,0.11738482259466543,12,14
full,WCREPSEP09,滚动5年Sharpe中位,1.0276178207690303,0.04467571567897599,10,14
full,WCREPSEP09,滚动5年为负的窗口占比,0.0,0.0,1,14
full,WCREPSEP09,滚动5年窗口数,102.0,0.0,0,14
full,WCREPSEP09,互不重叠5年块中位,0.6588318960429878,0.039676677141186,10,14
full,WCREPSEP09,滚动10年年化中位,0.4561151910721789,0.027594359042871774,11,14
full,WCREPSEP09,滚动10年窗口数,42.0,0.0,0,14
full,WCREPSEP09,逐年收益中位,0.3892617948371805,-0.023444783069921205,4,14
full,WCREPSEP09,逐年为正比例,0.75,0.0,0,14
full,WCREPSEP09,逐年最差,-0.20575020076733935,0.011171668376813715,8,14
full,WCREPSEP09,完整自然年数,12.5,0.0,0,14
full,WCREPSEP09,强平次数,0.0,0.0,0,14
full,WCREPSEP09,最低担保比例,1.7648004195131306,-0.025221445855061697,6,14
full,WCREPSEP09,最低股票同跌缓冲,0.26337279502548017,-0.011310458165687931,6,14
full,WCREPSEP09,最低总资产冲击缓冲,0.2633727950254801,-0.011310458165687876,6,14
full,WCREPSEP09,rf覆盖率,1.0,0.0,0,14
full,WCREPSEP09,年化_交易日口径,0.44333552026082734,0.025055234513538638,10,14
full,WCREPSEP09,最低担保比例日,20150825.0,0.0,4,14
full,WCREPSEP09,最低股票同跌缓冲日,20150825.0,0.0,4,14
full,WCREPSEP09,滚动5年年化最差窗口末日,20190829.0,0.0,1,14
full,WCREPSEP09,最大回撤起日,20150612.0,0.0,4,14
full,WCREPSEP09,最大回撤止日,20160530.0,-3.0,2,14
full,WCREPSEP09,末次净值日,20260828.0,0.0,0,14
full,MC050M14SEP09,年化,0.39487930365504487,-0.03995420062668442,4,14
full,MC050M14SEP09,最大回撤,0.7301046565257541,0.031890114182907825,11,14
