arm,security_code,security_name,report_date,label,available_at,status,reason,pv,forward_3y_ex_dividend,common_sample
BASE,000568,泸州老窖,2018-12-31,低估,2019-04-26,ok,,2.655396866188134,1.6628662335940607,True
WCREP,000568,泸州老窖,2018-12-31,低估,2019-04-26,ok,,2.6569120925956584,1.6628662335940607,True
MC050,000568,泸州老窖,2018-12-31,低估,2019-04-26,ok,,2.6569120925956584,1.6628662335940607,True
MC100,000568,泸州老窖,2018-12-31,低估,2019-04-26,ok,,2.6569120925956584,1.6628662335940607,True
MC150,000568,泸州老窖,2018-12-31,低估,2019-04-26,ok,,2.6569120925956584,1.6628662335940607,True
BASE,000333,美的集团,2018-12-31,低估,2019-04-20,ok,,1.8119722660808677,0.09035802235271828,True
WCREP,000333,美的集团,2018-12-31,低估,2019-04-20,ok,,1.8119722660808677,0.09035802235271828,True
MC050,000333,美的集团,2018-12-31,低估,2019-04-20,ok,,1.8119722660808677,0.09035802235271828,True
MC100,000333,美的集团,2018-12-31,低估,2019-04-20,ok,,1.8119722660808677,0.09035802235271828,True
MC150,000333,美的集团,2018-12-31,低估,2019-04-20,ok,,1.8119722660808677,0.09035802235271828,True
BASE,002415,海康威视,2018-12-31,低估,2019-04-20,ok,,1.8004386427381427,0.21669106881405553,True
WCREP,002415,海康威视,2018-12-31,低估,2019-04-20,ok,,2.0940771037349997,0.21669106881405553,True
MC050,002415,海康威视,2018-12-31,低估,2019-04-20,ok,,2.0940771037349997,0.21669106881405553,True
MC100,002415,海康威视,2018-12-31,低估,2019-04-20,ok,,2.0940771037349997,0.21669106881405553,True
MC150,002415,海康威视,2018-12-31,低估,2019-04-20,ok,,2.0940771037349997,0.21669106881405553,True
BASE,000651,格力电器,2015-12-31,低估,2016-04-29,ok,,0.6395699884490181,1.9404822986146746,True
WCREP,000651,格力电器,2015-12-31,低估,2016-04-29,ok,,0.6395699884490181,1.9404822986146746,True
MC050,000651,格力电器,2015-12-31,低估,2016-04-29,ok,,0.6395699884490181,1.9404822986146746,True
MC100,000651,格力电器,2015-12-31,低估,2016-04-29,ok,,0.6395699884490181,1.9404822986146746,True
MC150,000651,格力电器,2015-12-31,低估,2016-04-29,ok,,0.6395699884490181,1.9404822986146746,True
BASE,601088,中国神华,2015-12-31,低估,2016-03-25,ok,,0.5521963610259808,0.4264285714285714,True
WCREP,601088,中国神华,2015-12-31,低估,2016-03-25,ok,,0.5521963610259808,0.4264285714285714,True
MC050,601088,中国神华,2015-12-31,低估,2016-03-25,ok,,0.6003816712052662,0.4264285714285714,True
MC100,601088,中国神华,2015-12-31,低估,2016-03-25,ok,,0.6577803671354135,0.4264285714285714,True
MC150,601088,中国神华,2015-12-31,低估,2016-03-25,ok,,0.7273142880891895,0.4264285714285714,True
BASE,600585,海螺水泥,2015-12-31,低估,2016-03-24,ok,,0.6400430173112575,1.3416927899686524,True
WCREP,600585,海螺水泥,2015-12-31,低估,2016-03-24,ok,,0.6400430173112575,1.3416927899686524,True
MC050,600585,海螺水泥,2015-12-31,低估,2016-03-24,ok,,0.6400430173112575,1.3416927899686524,True
MC100,600585,海螺水泥,2015-12-31,低估,2016-03-24,ok,,0.6400430173112575,1.3416927899686524,True
MC150,600585,海螺水泥,2015-12-31,低估,2016-03-24,ok,,0.6400430173112575,1.3416927899686524,True
BASE,600309,万华化学,2015-12-31,低估,2016-03-08,ok,,0.8359604489396264,2.0459038591740013,False
WCREP,600309,万华化学,2015-12-31,低估,2016-03-08,ok,,0.8289742496015087,2.0459038591740013,False
MC050,600309,万华化学,2015-12-31,低估,2016-03-08,rejected,薄权益：每股净负债 12.55 ≥ 50% × 每股企业价值 17.01，股权价值为两大数之差不可估（OI-091）,,2.0459038591740013,False
MC100,600309,万华化学,2015-12-31,低估,2016-03-08,rejected,维持性现金占用后终值可分配现金非正,,2.0459038591740013,False
MC150,600309,万华化学,2015-12-31,低估,2016-03-08,rejected,维持性现金占用后终值可分配现金非正,,2.0459038591740013,False
BASE,600887,伊利股份,2015-12-31,低估,2016-03-31,ok,,1.2278986667565608,0.9979409746053534,True
WCREP,600887,伊利股份,2015-12-31,低估,2016-03-31,ok,,1.1277526220054956,0.9979409746053534,True
MC050,600887,伊利股份,2015-12-31,低估,2016-03-31,ok,,1.1277526220054956,0.9979409746053534,True
MC100,600887,伊利股份,2015-12-31,低估,2016-03-31,ok,,1.1277526220054956,0.9979409746053534,True
MC150,600887,伊利股份,2015-12-31,低估,2016-03-31,ok,,1.1277526220054956,0.9979409746053534,True
BASE,601001,晋控煤业,2021-12-31,低估,2022-04-29,ok,,0.762841785751667,-0.10169491525423724,True
WCREP,601001,晋控煤业,2021-12-31,低估,2022-04-29,ok,,0.762841785751667,-0.10169491525423724,True
MC050,601001,晋控煤业,2021-12-31,低估,2022-04-29,ok,,0.762841785751667,-0.10169491525423724,True
MC100,601001,晋控煤业,2021-12-31,低估,2022-04-29,ok,,0.762841785751667,-0.10169491525423724,True
MC150,601001,晋控煤业,2021-12-31,低估,2022-04-29,ok,,0.762841785751667,-0.10169491525423724,True
BASE,000933,神火股份,2021-12-31,低估,2022-03-29,ok,,0.7561974073231749,0.27887901572112095,True
WCREP,000933,神火股份,2021-12-31,低估,2022-03-29,ok,,0.7594200792122379,0.27887901572112095,True
MC050,000933,神火股份,2021-12-31,低估,2022-03-29,ok,,0.7594200792122379,0.27887901572112095,True
MC100,000933,神火股份,2021-12-31,低估,2022-03-29,ok,,0.7594200792122379,0.27887901572112095,True
MC150,000933,神火股份,2021-12-31,低估,2022-03-29,ok,,0.7594200792122379,0.27887901572112095,True
BASE,600519,贵州茅台,2020-12-31,高估,2021-03-31,ok,,7.041816613429504,-0.1523643603782976,True
WCREP,600519,贵州茅台,2020-12-31,高估,2021-03-31,ok,,7.053434063908536,-0.1523643603782976,True
MC050,600519,贵州茅台,2020-12-31,高估,2021-03-31,ok,,7.053434063908536,-0.1523643603782976,True
MC100,600519,贵州茅台,2020-12-31,高估,2021-03-31,ok,,7.053434063908536,-0.1523643603782976,True
MC150,600519,贵州茅台,2020-12-31,高估,2021-03-31,ok,,7.053434063908536,-0.1523643603782976,True
BASE,300750,宁德时代,2021-12-31,高估,2022-04-22,ok,,5.850007464977986,-0.0002359512688399068,True
WCREP,300750,宁德时代,2021-12-31,高估,2022-04-22,ok,,5.850007464977986,-0.0002359512688399068,True
MC050,300750,宁德时代,2021-12-31,高估,2022-04-22,ok,,5.850007464977986,-0.0002359512688399068,True
MC100,300750,宁德时代,2021-12-31,高估,2022-04-22,ok,,5.850007464977986,-0.0002359512688399068,True
MC150,300750,宁德时代,2021-12-31,高估,2022-04-22,ok,,5.850007464977986,-0.0002359512688399068,True
BASE,603259,药明康德,2021-12-31,高估,2022-03-24,ok,,5.189781896089034,-0.4242735042735043,True
WCREP,603259,药明康德,2021-12-31,高估,2022-03-24,ok,,5.189781896089034,-0.4242735042735043,True
MC050,603259,药明康德,2021-12-31,高估,2022-03-24,ok,,5.189781896089034,-0.4242735042735043,True
MC100,603259,药明康德,2021-12-31,高估,2022-03-24,ok,,5.189781896089034,-0.4242735042735043,True
MC150,603259,药明康德,2021-12-31,高估,2022-03-24,ok,,5.189781896089034,-0.4242735042735043,True
BASE,300760,迈瑞医疗,2020-12-31,高估,2021-04-29,ok,,9.345813746401872,-0.33057832927099484,True
WCREP,300760,迈瑞医疗,2020-12-31,高估,2021-04-29,ok,,9.211858456212545,-0.33057832927099484,True
MC050,300760,迈瑞医疗,2020-12-31,高估,2021-04-29,ok,,9.211858456212545,-0.33057832927099484,True
MC100,300760,迈瑞医疗,2020-12-31,高估,2021-04-29,ok,,9.211858456212545,-0.33057832927099484,True
MC150,300760,迈瑞医疗,2020-12-31,高估,2021-04-29,ok,,9.211858456212545,-0.33057832927099484,True
BASE,002812,恩捷股份,2021-12-31,高估,2022-04-12,ok,,4.671564991655851,-0.8564128007938476,True
WCREP,002812,恩捷股份,2021-12-31,高估,2022-04-12,ok,,4.671564991655851,-0.8564128007938476,True
MC050,002812,恩捷股份,2021-12-31,高估,2022-04-12,ok,,4.671564991655851,-0.8564128007938476,True
