group,arm,metric,paired_delta_vs_wc,positive_starts,starts
full,MC050M14SEP09,末次净值日,0.0,0,14
full,MC050M15SEP09,年化,-0.046255538691550524,4,14
full,MC050M15SEP09,最大回撤,0.041816248805467304,10,14
full,MC050M15SEP09,Sharpe,-0.07793017473506669,4,14
full,MC050M15SEP09,Calmar,-0.10468599308884335,6,14
full,MC050M15SEP09,平均仓位,0.014478990878270648,11,14
full,MC050M15SEP09,年均换手,0.22458899031267832,9,14
full,MC050M15SEP09,持仓数中位,0.0,2,14
full,MC050M15SEP09,单票权重中位,-0.000193145717283294,7,14
full,MC050M15SEP09,单票权重P90,0.11510254911496876,11,14
full,MC050M15SEP09,单票权重最大,0.10896919120223658,9,14
full,MC050M15SEP09,前三权重中位,0.01026763878708914,9,14
full,MC050M15SEP09,单票超60%天数占比,-4.5139509138147904e-05,7,14
full,MC050M15SEP09,滚动3年年化中位,-0.060931079125360776,3,14
full,MC050M15SEP09,滚动3年回撤中位,0.006168735892189914,10,14
full,MC050M15SEP09,滚动3年Calmar中位,-0.10343062197254438,3,14
full,MC050M15SEP09,滚动3年Sharpe中位,-0.047621065756372316,3,14
full,MC050M15SEP09,滚动3年为负的窗口占比,0.028665028665028666,9,14
full,MC050M15SEP09,滚动5年年化中位,-0.02564809919156008,6,14
full,MC050M15SEP09,滚动5年年化P25,-0.08178594049062093,4,14
full,MC050M15SEP09,滚动5年年化最差,-0.05102283648247752,3,14
full,MC050M15SEP09,滚动5年回撤中位,0.02649316749687075,9,14
full,MC050M15SEP09,滚动5年Calmar中位,-0.0046092867893173795,7,14
full,MC050M15SEP09,滚动5年Sharpe中位,-0.02306048098412311,6,14
full,MC050M15SEP09,滚动5年为负的窗口占比,0.0,5,14
full,MC050M15SEP09,滚动5年窗口数,0.0,0,14
full,MC050M15SEP09,互不重叠5年块中位,-0.04812394021217803,3,14
full,MC050M15SEP09,滚动10年年化中位,-0.07111869886523836,3,14
full,MC050M15SEP09,滚动10年窗口数,0.0,0,14
full,MC050M15SEP09,逐年收益中位,-0.00186921763607506,7,14
full,MC050M15SEP09,逐年为正比例,0.0,5,14
full,MC050M15SEP09,逐年最差,-0.06984839093285311,2,14
full,MC050M15SEP09,完整自然年数,0.0,0,14
full,MC050M15SEP09,强平次数,0.0,0,14
full,MC050M15SEP09,最低担保比例,-0.11045453482224743,1,14
full,MC050M15SEP09,最低股票同跌缓冲,-0.04919063340866227,1,14
full,MC050M15SEP09,最低总资产冲击缓冲,-0.049190633408662254,1,14
full,MC050M15SEP09,rf覆盖率,0.0,0,14
full,MC050M15SEP09,年化_交易日口径,-0.04643937793470532,4,14
full,MC050M15SEP09,最低担保比例日,0.0,3,14
full,MC050M15SEP09,最低股票同跌缓冲日,0.0,3,14
full,MC050M15SEP09,滚动5年年化最差窗口末日,0.0,2,14
full,MC050M15SEP09,最大回撤起日,-3.0,2,14
full,MC050M15SEP09,最大回撤止日,1.0,7,14
full,MC050M15SEP09,末次净值日,0.0,0,14
full,MC050M16SEP09,年化,-0.044876517922619485,2,14
full,MC050M16SEP09,最大回撤,0.03869210846158233,11,14
full,MC050M16SEP09,Sharpe,-0.07561878516440901,2,14
full,MC050M16SEP09,Calmar,-0.10928536502466724,2,14
full,MC050M16SEP09,平均仓位,0.009745952726670892,10,14
full,MC050M16SEP09,年均换手,0.05742977506082658,7,14
full,MC050M16SEP09,持仓数中位,0.0,4,14
full,MC050M16SEP09,单票权重中位,-0.0026905248671127424,6,14
full,MC050M16SEP09,单票权重P90,0.10424855305448211,11,14
full,MC050M16SEP09,单票权重最大,0.10943188376582935,11,14
full,MC050M16SEP09,前三权重中位,0.005318970640181608,8,14
full,MC050M16SEP09,单票超60%天数占比,-0.005865964579763239,6,14
full,MC050M16SEP09,滚动3年年化中位,-0.05727769278307926,1,14
full,MC050M16SEP09,滚动3年回撤中位,0.013951952208308971,11,14
full,MC050M16SEP09,滚动3年Calmar中位,-0.10575131190951825,1,14
full,MC050M16SEP09,滚动3年Sharpe中位,-0.059672081416105804,2,14
full,MC050M16SEP09,滚动3年为负的窗口占比,0.032893358474753824,9,14
full,MC050M16SEP09,滚动5年年化中位,-0.04305290609639256,3,14
full,MC050M16SEP09,滚动5年年化P25,-0.07297183298669108,1,14
full,MC050M16SEP09,滚动5年年化最差,-0.040304827289405265,2,14
full,MC050M16SEP09,滚动5年回撤中位,0.032794105728502165,10,14
full,MC050M16SEP09,滚动5年Calmar中位,-0.060775701476896704,4,14
full,MC050M16SEP09,滚动5年Sharpe中位,-0.05466326210975658,3,14
full,MC050M16SEP09,滚动5年为负的窗口占比,0.0,5,14
