arm,security_code,security_name,report_date,available_at,base_status,arm_status,base_value,arm_value,change,wc_control_value,change_vs_wc,base_path,cash_ratio,cash_raw_ratio,proxy_status,intervals,positive_intervals,net_reinvestment,growth_allowance,nopat_total,rejection_reason,cash_blocked
WCREP,000333,美的集团,2026-06-30,2026-08-29,ok,ok,58.7034,58.7034,0.0,58.7034,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000338,潍柴动力,2026-06-30,2026-08-28,ok,ok,20.437,20.437,0.0,20.437,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000408,藏格矿业,2026-06-30,2026-08-11,ok,ok,22.2509,22.2509,0.0,22.2509,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000423,东阿阿胶,2026-06-30,2026-08-21,ok,ok,33.5488,33.5488,0.0,33.5488,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000426,兴业银锡,2026-06-30,2026-08-29,ok,ok,9.6112,9.6112,0.0,9.6112,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000538,云南白药,2026-06-30,2026-08-29,ok,ok,37.1475,35.6099,-0.04139174910828447,35.6099,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000568,泸州老窖,2026-06-30,2026-08-26,ok,ok,98.7007,97.4353,-0.01282057776692569,97.4353,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000596,古井贡酒,2026-06-30,2026-08-29,ok,ok,92.2917,95.8766,0.03884314624175289,95.8766,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000651,格力电器,2026-06-30,2026-08-27,ok,ok,69.1112,66.6102,-0.03618805634976663,66.6102,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000725,京东方A,2026-06-30,2026-08-29,rejected,rejected,,,,,,,0.000000,,off,0,0,,,,零增长股权价值 -0.56 ≤ 0：净负债超过零增长企业价值,
WCREP,000786,北新建材,2026-06-30,2026-08-21,ok,ok,24.7316,24.7316,0.0,24.7316,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000792,盐湖股份,2026-06-30,2026-08-26,ok,ok,22.5105,22.5105,0.0,22.5105,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000858,五粮液,2026-06-30,2026-08-29,ok,ok,77.4985,77.4985,0.0,77.4985,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000893,亚钾国际,2026-06-30,2026-08-28,ok,ok,26.0743,26.0792,0.00018792450804050453,26.0792,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000895,双汇发展,2026-06-30,2026-08-29,ok,ok,14.4838,14.4903,0.0004487772545878066,14.4903,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000933,神火股份,2026-06-30,2026-07-28,ok,ok,27.4442,25.9794,-0.05337375474599371,25.9794,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000975,山金国际,2026-06-30,2026-08-20,ok,ok,8.8545,8.502,-0.03981026596645765,8.502,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,000999,华润三九,2026-06-30,2026-08-22,ok,ok,18.796,17.6925,-0.058709299851032126,17.6925,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,001232,嘉立创,2026-06-30,2026-08-27,ok,ok,35.852,39.3993,0.09894287626910625,39.3993,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002001,新和成,2026-06-30,2026-08-20,ok,ok,32.3302,31.814,-0.015966495722265828,31.814,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002003,伟星股份,2026-06-30,2026-08-27,ok,ok,6.9486,6.9666,0.0025904498747948423,6.9666,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002027,分众传媒,2026-06-30,2026-08-19,ok,ok,2.3434,2.3434,0.0,2.3434,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002032,苏泊尔,2026-06-30,2026-08-28,ok,ok,17.7099,17.7099,0.0,17.7099,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002050,三花智控,2026-06-30,2026-08-27,ok,ok,15.5793,15.5366,-0.002740816339630192,15.5366,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002128,电投能源,2026-06-30,2026-08-26,ok,ok,27.7337,27.7337,0.0,27.7337,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002138,顺络电子,2026-06-30,2026-07-31,ok,ok,17.3442,16.4286,-0.05278998166534066,16.4286,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002142,宁波银行,2026-06-30,2026-08-20,ok,ok,63.9508,63.9508,0.0,63.9508,0.0,equity_fallback,0.000000,,off,0,0,,,,,
WCREP,002179,中航光电,2026-06-30,2026-08-27,ok,ok,19.2784,19.1532,-0.006494314880903129,19.1532,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002222,福晶科技,2026-06-30,2026-08-28,ok,ok,8.9871,8.5413,-0.049604433020662975,8.5413,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002262,恩华药业,2026-06-30,2026-08-18,ok,ok,15.4531,15.0144,-0.02838912580647246,15.0144,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002270,华明装备,2026-06-30,2026-08-29,ok,ok,7.4073,7.4073,0.0,7.4073,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002287,奇正藏药,2026-06-30,2026-08-22,ok,ok,16.5609,16.5609,0.0,16.5609,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002311,海大集团,2026-06-30,2026-08-25,ok,ok,24.9668,26.0921,0.04507185542400305,26.0921,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002352,顺丰控股,2026-06-30,2026-08-29,ok,ok,27.7614,27.7614,0.0,27.7614,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002371,北方华创,2026-06-30,2026-08-26,ok,ok,111.8553,122.2807,0.09320434525677368,122.2807,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002372,伟星新材,2026-06-30,2026-08-07,ok,ok,5.603,5.603,0.0,5.603,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002379,宏桥控股,2026-06-30,2026-08-22,ok,ok,23.0183,23.0183,0.0,23.0183,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002409,雅克科技,2026-06-30,2026-08-26,ok,ok,20.3418,20.3418,0.0,20.3418,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002415,海康威视,2026-06-30,2026-07-25,ok,ok,17.8014,17.8014,0.0,17.8014,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002463,沪电股份,2026-06-30,2026-08-26,ok,ok,20.5161,20.6714,0.0075696647998400035,20.6714,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002466,天齐锂业,2026-06-30,2026-08-28,ok,ok,45.9244,45.9244,0.0,45.9244,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002475,立讯精密,2026-06-30,2026-08-25,ok,ok,32.5651,34.121,0.04777814285845894,34.121,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002532,天山铝业,2026-06-30,2026-08-19,ok,ok,16.3509,15.3815,-0.059287256358977136,15.3815,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002568,百润股份,2026-06-30,2026-08-05,ok,ok,8.5276,8.5276,0.0,8.5276,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002594,比亚迪,2026-06-30,2026-08-29,ok,ok,57.4053,72.8036,0.2682382985543148,72.8036,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002595,豪迈科技,2026-06-30,2026-08-29,ok,ok,27.5321,24.5639,-0.10780870329542602,24.5639,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002648,卫星化学,2026-06-30,2026-08-15,ok,ok,30.4947,30.4947,0.0,30.4947,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002690,美亚光电,2026-06-30,2026-08-26,ok,ok,7.1385,7.1385,0.0,7.1385,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002714,牧原股份,2026-06-30,2026-08-21,ok,ok,39.2927,39.1125,-0.004586093600083663,39.1125,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002916,深南电路,2026-06-30,2026-08-27,ok,ok,89.4372,89.4372,0.0,89.4372,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002920,德赛西威,2026-06-30,2026-08-14,ok,ok,62.8025,60.2493,-0.04065443254647516,60.2493,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,002938,鹏鼎控股,2026-06-30,2026-08-12,ok,ok,20.0281,20.7147,0.03428183402319762,20.7147,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,300015,爱尔眼科,2026-06-30,2026-08-28,ok,ok,4.4037,4.4037,0.0,4.4037,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,300033,同花顺,2026-06-30,2026-08-22,ok,ok,44.6249,44.6249,0.0,44.6249,0.0,zero_growth,0.000000,,off,0,0,,,,,
WCREP,300054,鼎龙股份,2026-06-30,2026-08-26,ok,ok,9.3309,9.3309,0.0,9.3309,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,300059,东方财富,2026-06-30,2026-08-22,ok,ok,25.9638,25.9638,0.0,25.9638,0.0,zero_growth,0.000000,,off,0,0,,,,,
WCREP,300124,汇川技术,2026-06-30,2026-08-29,ok,ok,19.3314,20.0074,0.03496901414279363,20.0074,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,300274,阳光电源,2026-06-30,2026-08-29,ok,ok,76.5943,82.7676,0.08059738126727445,82.7676,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,300308,中际旭创,2026-06-30,2026-08-22,ok,ok,88.337,89.5163,0.013350011886299029,89.5163,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,300316,晶盛机电,2026-06-30,2026-08-22,ok,ok,25.128,25.128,0.0,25.128,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,300357,我武生物,2026-06-30,2026-08-28,ok,ok,8.7703,8.8229,0.005997514338164089,8.8229,0.0,growth,0.000000,,off,0,0,,,,,
WCREP,300394,天孚通信,2026-06-30,2026-08-19,ok,ok,17.8419,16.4807,-0.07629232312702128,16.4807,0.0,growth,0.000000,,off,0,0,,,,,
