date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2012-06-04,600660,卖出,29700,8.420,250074,,,跌破建仓日MA60止损,福耀玻璃
2012-06-04,002001,买入,6100,21.650,132065,0.8188,26.782,首次建仓,新和成
2012-06-14,002128,卖出,98600,15.160,1494776,,,跌破建仓日MA60止损,电投能源
2012-06-14,002001,买入,5800,21.580,125164,0.8365,26.182,定投加仓,新和成
2012-06-14,600897,买入,9500,13.200,125400,1.0177,13.030,定投加仓,
2012-06-14,600309,买入,8400,14.960,125664,1.0274,14.581,定投加仓,万华化学
2012-06-15,002001,买入,5800,22.000,127600,0.8242,26.182,定投加仓,新和成
2012-06-15,600897,买入,9600,13.230,127008,1.0131,13.030,定投加仓,
2012-06-15,600309,买入,8600,14.830,127538,1.0260,14.581,定投加仓,万华化学
2012-06-18,002001,买入,5800,21.960,127368,0.8403,26.182,定投加仓,新和成
2012-06-18,600897,买入,9600,13.280,127488,1.0154,13.030,定投加仓,
2012-06-18,600309,买入,8700,14.720,128064,1.0171,14.581,定投加仓,万华化学
2012-06-19,002001,买入,5800,21.590,125222,0.8388,26.182,定投加仓,新和成
2012-06-19,600309,买入,8500,14.820,125970,1.0095,14.581,定投加仓,万华化学
2012-06-19,600897,买入,1000,13.150,13150,1.0192,13.030,定投加仓,
2012-06-25,600309,卖出,59600,13.830,824268,,,跌破建仓日MA60止损,万华化学
2012-06-25,002001,买入,5700,20.990,119643,0.8090,26.182,定投加仓,新和成
2012-06-25,600897,买入,9100,13.150,119665,1.0123,13.030,定投加仓,
2012-06-26,002001,买入,5800,20.750,120350,0.8017,26.182,定投加仓,新和成
2012-06-26,600897,买入,9000,13.410,120690,1.0092,13.030,定投加仓,
2012-06-27,002001,买入,5700,20.690,117933,0.7925,26.182,定投加仓,新和成
2012-06-27,600897,买入,8800,13.350,117480,1.0292,13.030,定投加仓,
2012-06-28,002001,买入,600,20.790,12474,0.7902,26.182,定投加仓,新和成
2012-06-29,002001,买入,800,21.130,16904,0.7941,26.182,定投加仓,新和成
2012-07-03,002001,买入,1700,20.980,35666,0.8124,26.182,定投加仓,新和成
2012-07-04,002001,卖出,49600,19.990,991504,,,跌破建仓日MA60止损,新和成
2012-07-10,600897,卖出,102700,12.690,1303263,,,跌破建仓日MA60止损,
2012-09-03,600066,买入,5000,22.960,114800,0.6879,33.739,首次建仓,宇通客车
2012-09-04,600066,买入,4900,23.280,114072,0.6805,33.739,定投加仓,宇通客车
2012-09-05,600066,买入,4800,24.050,115440,0.6900,33.739,定投加仓,宇通客车
2012-09-06,600066,买入,4800,23.900,114720,0.7128,33.739,定投加仓,宇通客车
2012-09-07,600066,买入,4800,24.350,116880,0.7084,33.739,定投加仓,宇通客车
2012-09-10,600066,买入,4900,24.180,118482,0.7217,33.739,定投加仓,宇通客车
2012-09-11,600066,买入,4900,23.940,117306,0.7167,33.739,定投加仓,宇通客车
2012-09-12,600066,买入,4800,24.020,115296,0.7096,33.739,定投加仓,宇通客车
2012-09-13,600066,买入,4800,23.920,114816,0.7119,33.739,定投加仓,宇通客车
2012-09-14,600066,买入,4800,23.990,115152,0.7090,33.739,定投加仓,宇通客车
2012-09-17,600066,买入,4800,23.460,112608,0.7111,33.739,定投加仓,宇通客车
2012-09-18,600066,买入,4500,23.170,104265,0.6953,33.739,定投加仓,宇通客车
2012-09-19,600066,买入,1000,23.130,23130,0.6867,33.739,定投加仓,宇通客车
2012-09-26,600066,卖出,58800,22.690,1334172,,,跌破建仓日MA60止损,宇通客车
2012-09-27,600585,买入,7100,15.710,111541,0.6285,24.215,首次建仓,
2012-09-28,600585,买入,7100,15.980,113458,0.6488,24.215,定投加仓,
2012-10-08,600585,买入,7200,15.610,112392,0.6599,24.215,定投加仓,
2012-10-09,600585,买入,7100,16.070,114097,0.6446,24.215,定投加仓,
2012-10-09,600309,买入,8000,14.330,114640,1.0202,13.968,首次建仓,万华化学
2012-10-10,600585,买入,7200,16.000,115200,0.6636,24.215,定投加仓,
