signal_year,group,years,signals,complete,missing,signal_companies,complete_companies,median_return,mean_return,positive_fraction,max_company_fraction
2011,quarterly_top3,1,3,3,0,2,2,-0.10084033613445509,-0.15260978807332026,0,0.6666666666666666
2012,quarterly_top3,1,4,4,0,4,4,0.08892205157330618,0.08076594117986244,0.5,0.25
2013,quarterly_top3,1,11,11,0,8,8,0.01980242438749169,-0.02305063351984382,0.5454545454545454,0.18181818181818182
2014,quarterly_top3,1,12,12,0,10,10,0.4407916397967987,0.47085407564432497,0.9166666666666666,0.16666666666666666
2015,quarterly_top3,1,9,8,1,6,5,-0.23271036311851506,-0.24977669064517818,0,0.375
2016,quarterly_top3,1,12,12,0,10,10,0.34139562995050754,0.3365073316955218,0.9166666666666666,0.16666666666666666
2017,quarterly_top3,1,10,10,0,4,4,0.5133120814820561,0.5143706165561813,1,0.4
2018,quarterly_top3,1,5,5,0,4,4,0.38928184747755146,0.3593670302146571,1,0.4
2019,quarterly_top3,1,10,10,0,7,7,0.38969164008470925,0.3668956735180573,0.8,0.2
2020,quarterly_top3,1,9,9,0,5,5,0.35702746365104976,0.5041603646499254,0.8888888888888888,0.2222222222222222
2021,quarterly_top3,1,12,12,0,7,7,0.4697948228440353,0.48933566887363567,0.8333333333333334,0.25
2022,quarterly_top3,1,12,12,0,9,9,0.04941908288329899,0.05056927077501463,0.5833333333333334,0.25
2023,quarterly_top3,1,12,12,0,8,8,0.4055195567123816,0.34919553906193945,0.9166666666666666,0.25
2024,quarterly_top3,1,12,12,0,9,9,0.25733034582931713,0.20043172521229422,0.8333333333333334,0.16666666666666666
2025,quarterly_top3,1,12,9,3,10,8,0.42335455285601586,0.5170157062788256,1,0.2222222222222222
2026,quarterly_top3,1,9,0,9,8,0,,,,
2010,annual_top3,1,1,1,0,1,1,-0.06344015696533545,-0.06344015696533545,0,1.0
2013,annual_top3,1,3,3,0,3,3,0.18165892625595337,0.06158067706089095,0.6666666666666666,0.3333333333333333
2014,annual_top3,1,3,3,0,3,3,0.4740996642910551,0.5258567366836667,1,0.3333333333333333
2015,annual_top3,1,3,3,0,3,3,-0.23417721518987178,-0.24861393637360432,0,0.3333333333333333
2016,annual_top3,1,3,3,0,3,3,0.3047517450380368,0.20191073635365808,0.6666666666666666,0.3333333333333333
2017,annual_top3,1,3,3,0,3,3,0.8978148701422488,0.857299950052616,1,0.3333333333333333
2019,annual_top3,1,3,3,0,3,3,0.4529750818948095,0.6567735936268176,1,0.3333333333333333
2020,annual_top3,1,3,3,0,3,3,0.35702746365104976,0.2807794607453138,1,0.3333333333333333
2021,annual_top3,1,3,3,0,3,3,0.39949130687828815,0.6793520218369812,1,0.3333333333333333
2022,annual_top3,1,3,3,0,3,3,-0.08785780840377244,-0.113920727412174,0.3333333333333333,0.3333333333333333
2023,annual_top3,1,3,3,0,3,3,0.046590825282104564,0.054381027764639524,0.6666666666666666,0.3333333333333333
2024,annual_top3,1,3,3,0,3,3,0.36258072274204833,0.13155843545209947,0.6666666666666666,0.3333333333333333
2025,annual_top3,1,3,3,0,3,3,0.16350043999459696,0.21676273496708443,1,0.3333333333333333
2026,annual_top3,1,3,0,3,3,0,,,,
2009,ma60_episodes,1,3,3,0,1,1,0.030006978367063564,0.046683734252593125,1,1.0
2010,ma60_episodes,1,85,81,4,6,6,0.06708860759493751,0.05237439124490629,0.7037037037037037,0.345679012345679
2011,ma60_episodes,1,85,81,4,4,4,-0.10418152915632661,-0.1013739608429997,0.14814814814814814,0.41975308641975306
2012,ma60_episodes,1,82,78,4,13,13,0.0230054936988886,0.032217027687142796,0.5384615384615384,0.28205128205128205
2013,ma60_episodes,1,146,144,2,16,16,0.03889931871508434,0.04941677974881104,0.5833333333333334,0.3125
2014,ma60_episodes,1,107,106,1,19,19,0.5350721162901505,0.5323466773085423,0.9811320754716981,0.16037735849056603
2015,ma60_episodes,1,130,118,12,18,17,-0.13343966619453784,-0.061794164229750474,0.4322033898305085,0.288135593220339
2016,ma60_episodes,1,134,128,6,19,19,0.43157109207612165,0.42339300597573637,0.90625,0.1953125
2017,ma60_episodes,1,79,72,7,10,10,0.44921587093304516,0.43960002089268885,0.8888888888888888,0.2916666666666667
2018,ma60_episodes,1,126,125,1,8,8,0.41241572698526485,0.3948749539065965,0.968,0.352
2019,ma60_episodes,1,116,116,0,11,11,0.36310569475056775,0.37136060418120875,0.8362068965517241,0.23275862068965517
2020,ma60_episodes,1,134,134,0,14,14,0.32559003986712676,0.5294430262661307,0.8283582089552238,0.17164179104477612
2021,ma60_episodes,1,206,206,0,12,12,0.11464823499389121,0.2950435421945081,0.7669902912621359,0.1941747572815534
2022,ma60_episodes,1,244,244,0,23,23,0.22154035455316634,0.18259788890901496,0.8442622950819673,0.19672131147540983
2023,ma60_episodes,1,191,190,1,21,21,0.3611840109626928,0.3093318575887096,0.8631578947368421,0.24210526315789474
2024,ma60_episodes,1,184,184,0,24,24,0.36904671349791895,0.287987640736859,0.8152173913043478,0.14130434782608695
2025,ma60_episodes,1,158,121,37,26,23,0.45183956841165074,0.5974487098591561,0.8677685950413223,0.11570247933884298
2026,ma60_episodes,1,137,0,137,21,0,,,,
2009,activation_first_top3,1,1,1,0,1,1,0.09366197183098746,0.09366197183098746,1,1.0
2010,activation_first_top3,1,9,8,1,6,6,0.16221044156169984,0.1745479000512076,0.75,0.375
2011,activation_first_top3,1,2,2,0,2,2,0.016950633676796056,0.016950633676796056,0.5,0.5
2012,activation_first_top3,1,24,22,2,12,12,0.032163632320714175,0.07598415184214811,0.6363636363636364,0.22727272727272727
2013,activation_first_top3,1,17,17,0,13,13,-0.030335750610563594,-0.06737034378259543,0.4117647058823529,0.17647058823529413
2014,activation_first_top3,1,21,20,1,15,14,0.5537716211906428,0.6752374142352067,1,0.15
2015,activation_first_top3,1,5,5,0,5,5,0.008689355825194367,-0.04577788110192686,0.8,0.2
2016,activation_first_top3,1,10,10,0,7,7,0.36519011193390083,0.37615242989688064,1,0.2
2017,activation_first_top3,1,1,1,0,1,1,0.6968667580301122,0.6968667580301122,1,1.0
2018,activation_first_top3,1,1,1,0,1,1,0.2961274934293485,0.2961274934293485,1,1.0
2019,activation_first_top3,1,3,3,0,2,2,-0.1474319919719549,-0.14601394451580516,0.3333333333333333,0.6666666666666666
2020,activation_first_top3,1,11,11,0,6,6,-0.12303502553945578,0.6354845479342273,0.45454545454545453,0.2727272727272727
2021,activation_first_top3,1,5,5,0,4,4,-0.09266699037324855,-0.09039050005852603,0.2,0.4
2022,activation_first_top3,1,12,12,0,8,8,0.10399901612168827,0.12662878377784664,0.8333333333333334,0.25
2023,activation_first_top3,1,7,7,0,6,6,0.12018091164209999,0.20450165709214455,0.8571428571428571,0.2857142857142857
2024,activation_first_top3,1,13,13,0,12,12,0.19219828101254355,0.2807548685060141,0.7692307692307693,0.15384615384615385
2025,activation_first_top3,1,11,8,3,7,6,0.5333965913275813,0.6660083304019234,0.75,0.25
2026,activation_first_top3,1,4,0,4,4,0,,,,
2009,ma60_nonoverlap,1,1,1,0,1,1,0.09366197183098746,0.09366197183098746,1,1.0
2010,ma60_nonoverlap,1,5,5,0,5,5,0.27771236125630816,0.2585625038529096,0.8,0.2
2011,ma60_nonoverlap,1,4,4,0,4,4,-0.11207304691753056,-0.11481798722474623,0,0.25
2012,ma60_nonoverlap,1,12,12,0,12,12,0.02742388712777888,0.08787839230257977,0.5833333333333334,0.08333333333333333
2013,ma60_nonoverlap,1,11,11,0,11,11,-0.09065854384897154,-0.026884612975404808,0.36363636363636365,0.09090909090909091
2014,ma60_nonoverlap,1,14,14,0,14,14,0.4498570618063351,0.51298329485176,0.9285714285714286,0.07142857142857142
2015,ma60_nonoverlap,1,14,13,1,14,13,0.22357004338650355,0.1588020599245258,0.7692307692307693,0.07692307692307693
2016,ma60_nonoverlap,1,12,12,0,12,12,0.3581152548147819,0.3497950291529688,0.9166666666666666,0.08333333333333333
2017,ma60_nonoverlap,1,6,5,1,6,5,0.43277712495103726,0.39184714979723895,1,0.2
2018,ma60_nonoverlap,1,8,8,0,8,8,0.20960703869108555,0.2858430422336896,0.75,0.125
2019,ma60_nonoverlap,1,7,7,0,7,7,0.18402358213683212,0.22418863817615284,0.7142857142857143,0.14285714285714285
2020,ma60_nonoverlap,1,12,12,0,12,12,0.16656599092243518,0.19830262747719882,0.6666666666666666,0.08333333333333333
2021,ma60_nonoverlap,1,11,11,0,11,11,-0.06205571460299619,0.05081057388073629,0.36363636363636365,0.09090909090909091
2022,ma60_nonoverlap,1,22,22,0,22,22,0.11923977775356742,0.1441957781501341,0.8181818181818182,0.045454545454545456
2023,ma60_nonoverlap,1,15,15,0,15,15,0.2975681035382518,0.17449534170038336,0.8,0.06666666666666667
2024,ma60_nonoverlap,1,20,20,0,20,20,0.27753465653228493,0.27530862539033785,0.85,0.05
2025,ma60_nonoverlap,1,15,10,5,15,10,0.287352306755697,0.49363890491494256,0.7,0.1
2026,ma60_nonoverlap,1,16,0,16,16,0,,,,
2009,daily_top3,3,41,41,0,1,1,-0.3823138297872337,-0.3778568861799689,0,1.0
2010,daily_top3,3,243,235,8,6,6,-0.16394472361808898,0.06527871427309637,0.3148936170212766,0.22127659574468084
2011,daily_top3,3,251,250,1,4,4,-0.18161238774981164,0.013010567681588604,0.448,0.356
2012,daily_top3,3,514,504,10,13,13,0.8647962640804993,0.6805879977046299,0.6746031746031746,0.3273809523809524
2013,daily_top3,3,667,594,73,16,16,0.14314661762472825,0.3294432517317631,0.5959595959595959,0.2037037037037037
2014,daily_top3,3,712,615,97,19,19,0.8518581042082445,1.06792278574014,1,0.17398373983739837
2015,daily_top3,3,506,497,9,18,18,0.4462082424561691,0.46158632276429007,0.778672032193159,0.22132796780684105
2016,daily_top3,3,644,640,4,19,19,1.0188414275906408,1.1280227327765973,0.9640625,0.2390625
2017,daily_top3,3,453,453,0,10,10,1.3942188331985408,1.4642070738585118,0.9359823399558499,0.3333333333333333
2018,daily_top3,3,300,299,1,8,8,0.86453156666887,0.9007893419984933,1,0.32441471571906355
2019,daily_top3,3,645,644,1,11,11,0.9371384571442932,1.0074773939498716,0.8757763975155279,0.2468944099378882
2020,daily_top3,3,657,657,0,14,14,1.1592746693579312,0.9295217952918955,0.8249619482496194,0.2252663622526636
2021,daily_top3,3,636,636,0,12,12,0.894573883387587,0.8759170935045298,0.8364779874213837,0.19654088050314467
2022,daily_top3,3,718,718,0,23,23,0.872192445480221,0.844107671675588,0.915041782729805,0.16991643454038996
2023,daily_top3,3,726,428,298,21,18,1.1854875844423167,1.121853411574344,0.9906542056074766,0.26401869158878505
2024,daily_top3,3,726,0,726,24,0,,,,
2025,daily_top3,3,729,0,729,26,0,,,,
2026,daily_top3,3,421,0,421,21,0,,,,
2009,segment_starts,3,1,1,0,1,1,-0.3697183098591542,-0.3697183098591542,0,1.0
2010,segment_starts,3,89,88,1,6,6,-0.1871617350032203,0.08872720851701216,0.375,0.23863636363636365
2011,segment_starts,3,51,51,0,4,4,-0.23507991319973764,-0.042548246904830105,0.39215686274509803,0.3333333333333333
2012,segment_starts,3,120,117,3,13,13,0.8391458939910945,0.692047943680323,0.6666666666666666,0.3333333333333333
2013,segment_starts,3,164,141,23,16,16,0.2418513692079549,0.40080910895872557,0.6808510638297872,0.1773049645390071
2014,segment_starts,3,161,133,28,19,19,1.285866939725398,1.1860700999975198,1,0.21804511278195488
2015,segment_starts,3,108,106,2,18,18,0.4583040075011998,0.5439142882224653,0.7547169811320755,0.16981132075471697
2016,segment_starts,3,122,122,0,19,19,0.715042490254168,0.9570898727054418,0.9590163934426229,0.1557377049180328
2017,segment_starts,3,95,95,0,10,10,1.3834553775921359,1.468846252038066,0.9157894736842105,0.3157894736842105
2018,segment_starts,3,51,51,0,8,8,0.8310908122929728,0.8012156682495876,1,0.35294117647058826
2019,segment_starts,3,112,112,0,10,10,0.8130778552675375,0.7747672812377019,0.8214285714285714,0.21428571428571427
2020,segment_starts,3,110,110,0,14,14,0.9728904114348087,0.7942948020172194,0.7363636363636363,0.18181818181818182
2021,segment_starts,3,173,173,0,12,12,0.8221543317259887,0.839730594097057,0.838150289017341,0.2023121387283237
2022,segment_starts,3,231,231,0,23,23,0.8754292281004701,0.8618369237249226,0.922077922077922,0.13852813852813853
2023,segment_starts,3,150,90,60,21,18,1.1385690126621368,1.0454326827403768,0.9888888888888889,0.25555555555555554
2024,segment_starts,3,204,0,204,24,0,,,,
2025,segment_starts,3,258,0,258,26,0,,,,
2026,segment_starts,3,125,0,125,21,0,,,,
2010,quarterly_top3,3,4,4,0,4,4,-0.3262702411316747,-0.08549280666819248,0.25,0.25
2011,quarterly_top3,3,3,3,0,2,2,0.3163886833157463,0.17952929172596402,0.6666666666666666,0.6666666666666666
2012,quarterly_top3,3,4,3,1,4,3,0.25950093935695695,0.6166254115984972,1,0.3333333333333333
2013,quarterly_top3,3,11,10,1,8,8,0.1214725369405264,0.28762690692072485,0.5,0.2
2014,quarterly_top3,3,12,11,1,10,10,1.4367250214496425,1.2265468366390602,1,0.18181818181818182
2015,quarterly_top3,3,9,9,0,6,6,0.526691085249033,0.4289068188747199,0.7777777777777778,0.3333333333333333
2016,quarterly_top3,3,12,12,0,10,10,0.8594389710953828,1.0515763400236273,0.9166666666666666,0.16666666666666666
2017,quarterly_top3,3,10,10,0,4,4,1.7600431568804973,1.659912531989092,0.9,0.4
2018,quarterly_top3,3,5,5,0,4,4,0.6886350236957353,0.7886225183274159,1,0.4
2019,quarterly_top3,3,10,10,0,7,7,0.9511498901459269,0.9751454241857356,0.9,0.2
2020,quarterly_top3,3,9,9,0,5,5,1.4732246837606295,1.2166843376232912,0.8888888888888888,0.2222222222222222
2021,quarterly_top3,3,12,12,0,7,7,0.9453262972635968,1.0441205243778633,0.9166666666666666,0.25
2022,quarterly_top3,3,12,12,0,9,9,0.7350682171020047,0.7433571252554256,0.9166666666666666,0.25
2023,quarterly_top3,3,12,9,3,8,7,0.8913407074013813,0.9236542578557244,1,0.2222222222222222
2024,quarterly_top3,3,12,0,12,9,0,,,,
2025,quarterly_top3,3,12,0,12,10,0,,,,
2026,quarterly_top3,3,9,0,9,8,0,,,,
2010,annual_top3,3,1,1,0,1,1,-0.3361674296926088,-0.3361674296926088,0,1.0
2013,annual_top3,3,3,3,0,3,3,0.7200813266000363,0.5906213845608717,0.6666666666666666,0.3333333333333333
2014,annual_top3,3,3,3,0,3,3,0.9403987514631076,0.9539030737294928,1,0.3333333333333333
2015,annual_top3,3,3,3,0,3,3,0.670409075017272,0.5277820120428848,1,0.3333333333333333
2016,annual_top3,3,3,3,0,3,3,0.9706886693598302,0.536916748890471,0.6666666666666666,0.3333333333333333
2017,annual_top3,3,3,3,0,3,3,2.3410585992436475,2.2001944717268245,1,0.3333333333333333
2019,annual_top3,3,3,3,0,3,3,1.3178669843430795,0.9782047454415351,1,0.3333333333333333
2020,annual_top3,3,3,3,0,3,3,1.4953453928553153,1.2510081805679383,1,0.3333333333333333
2021,annual_top3,3,3,3,0,3,3,0.52456921432925,0.7818931000069032,1,0.3333333333333333
2022,annual_top3,3,3,3,0,3,3,0.5506792561841194,0.2761471184085763,0.6666666666666666,0.3333333333333333
2023,annual_top3,3,3,3,0,3,3,0.8913407074013813,0.7305712716901637,1,0.3333333333333333
2024,annual_top3,3,3,0,3,3,0,,,,
2025,annual_top3,3,3,0,3,3,0,,,,
2026,annual_top3,3,3,0,3,3,0,,,,
2009,ma60_episodes,3,3,3,0,1,1,-0.31808873720136444,-0.33022272585199397,0,1.0
2010,ma60_episodes,3,85,80,5,6,6,-0.11505788879537787,0.09048702712257586,0.2875,0.3125
2011,ma60_episodes,3,85,85,0,4,4,-0.11473790715557874,0.07536373426181807,0.4823529411764706,0.4
2012,ma60_episodes,3,82,80,2,13,13,0.4267637271083782,0.7419041927409147,0.6875,0.275
2013,ma60_episodes,3,146,134,12,16,15,0.1952002884672095,0.4201144009030544,0.7611940298507462,0.31343283582089554
2014,ma60_episodes,3,107,103,4,19,18,0.9180541809182892,0.9575287477283588,1,0.1650485436893204
2015,ma60_episodes,3,130,129,1,18,18,0.41490409825510755,0.5717213084014199,0.813953488372093,0.26356589147286824
2016,ma60_episodes,3,134,131,3,19,19,0.7554816507262581,0.9508140504025347,0.9083969465648855,0.1984732824427481
2017,ma60_episodes,3,79,79,0,10,10,1.4852873728028202,1.4582146056313865,0.9620253164556962,0.26582278481012656
2018,ma60_episodes,3,126,126,0,8,8,1.0540124030969493,0.9595761869878926,1,0.3492063492063492
2019,ma60_episodes,3,116,116,0,11,11,0.864956516452509,0.7539178408541043,0.853448275862069,0.23275862068965517
2020,ma60_episodes,3,134,134,0,14,14,0.5882119142421799,0.750231926025116,0.664179104477612,0.17164179104477612
2021,ma60_episodes,3,206,206,0,12,12,0.8409050121322612,0.904956554151736,0.8592233009708737,0.1941747572815534
2022,ma60_episodes,3,244,244,0,23,23,0.8938804058742346,0.8763868575806583,0.9262295081967213,0.19672131147540983
2023,ma60_episodes,3,191,108,83,21,18,0.945233745372116,0.9792231646119981,0.9629629629629629,0.19444444444444445
2024,ma60_episodes,3,184,0,184,24,0,,,,
2025,ma60_episodes,3,158,0,158,26,0,,,,
2026,ma60_episodes,3,137,0,137,21,0,,,,
2009,activation_first_top3,3,1,1,0,1,1,-0.3697183098591542,-0.3697183098591542,0,1.0
2010,activation_first_top3,3,9,8,1,6,6,-0.21748467780781683,-0.05933760563144462,0.25,0.375
2011,activation_first_top3,3,2,2,0,2,2,0.06759243899362605,0.06759243899362605,0.5,0.5
2012,activation_first_top3,3,24,23,1,12,11,0.5162227105415149,0.5878230007886177,0.6956521739130435,0.21739130434782608
2013,activation_first_top3,3,17,17,0,13,13,0.16954982026479737,0.12908200468604195,0.6470588235294118,0.17647058823529413
2014,activation_first_top3,3,21,17,4,15,13,0.7660630036784826,1.0300058328530988,1,0.11764705882352941
2015,activation_first_top3,3,5,5,0,5,5,0.381332456427504,0.6100499383574339,0.8,0.2
2016,activation_first_top3,3,10,10,0,7,7,1.2367956120704564,1.286947545991723,1,0.2
2017,activation_first_top3,3,1,1,0,1,1,9.673887807510027,9.673887807510027,1,1.0
2018,activation_first_top3,3,1,1,0,1,1,0.8444951775696834,0.8444951775696834,1,1.0
2019,activation_first_top3,3,3,3,0,2,2,1.6532187065319897,1.6915473668446404,0.6666666666666666,0.6666666666666666
2020,activation_first_top3,3,11,11,0,6,6,0.47554260421963157,0.511531402508128,0.6363636363636364,0.2727272727272727
2021,activation_first_top3,3,5,5,0,4,4,-0.1035797220411313,0.0806907839083231,0.4,0.4
2022,activation_first_top3,3,12,12,0,8,8,0.8850510339475629,0.7367143544226902,0.9166666666666666,0.25
2023,activation_first_top3,3,7,5,2,6,5,0.4656488549618343,0.8000094539142774,1,0.2
2024,activation_first_top3,3,13,0,13,12,0,,,,
2025,activation_first_top3,3,11,0,11,7,0,,,,
2026,activation_first_top3,3,4,0,4,4,0,,,,
2009,ma60_nonoverlap,3,1,1,0,1,1,-0.3697183098591542,-0.3697183098591542,0,1.0
2010,ma60_nonoverlap,3,5,5,0,5,5,-0.21237969081461694,0.04635023715270139,0.4,0.2
2011,ma60_nonoverlap,3,1,1,0,1,1,0.5299140040724821,0.5299140040724821,1,1.0
2012,ma60_nonoverlap,3,7,6,1,7,6,0.7381324472909282,0.5670136644611249,0.8333333333333334,0.16666666666666666
2013,ma60_nonoverlap,3,9,8,1,9,8,0.19420054247344298,0.24737834534788367,0.75,0.125
2014,ma60_nonoverlap,3,7,7,0,7,7,1.5745635141745833,1.420040651028648,1,0.14285714285714285
2015,ma60_nonoverlap,3,4,4,0,4,4,0.21267592192860862,0.14802669501455126,0.75,0.25
2016,ma60_nonoverlap,3,9,9,0,9,9,0.5177656632725032,0.7025663944172869,1,0.1111111111111111
2017,ma60_nonoverlap,3,3,3,0,3,3,1.3154850677271446,3.5749756336717864,0.6666666666666666,0.3333333333333333
2018,ma60_nonoverlap,3,3,3,0,3,3,0.8444951775696834,0.9119121666951945,1,0.3333333333333333
2019,ma60_nonoverlap,3,5,5,0,5,5,1.3382981626341572,1.0553182538593813,0.8,0.2
2020,ma60_nonoverlap,3,7,7,0,7,7,0.47554260421963157,0.4941230026087694,0.8571428571428571,0.14285714285714285
2021,ma60_nonoverlap,3,6,6,0,6,6,-0.030349805194559043,0.0991340411002513,0.5,0.16666666666666666
2022,ma60_nonoverlap,3,14,14,0,14,14,0.8610918069526043,0.8360762699745289,0.9285714285714286,0.07142857142857142
2023,ma60_nonoverlap,3,7,5,2,7,5,0.4656488549618343,0.487965259807156,0.8,0.2
2024,ma60_nonoverlap,3,12,0,12,12,0,,,,
2025,ma60_nonoverlap,3,10,0,10,10,0,,,,
2026,ma60_nonoverlap,3,8,0,8,8,0,,,,
