signal_year,group,years,signals,complete,missing,signal_companies,complete_companies,median_return,mean_return,positive_fraction,max_company_fraction
2009,daily_top3,1,41,41,0,1,1,-0.03160726294552596,-0.027857464556950543,0.2682926829268293,1.0
2010,daily_top3,1,243,237,6,6,6,0.0972231216945656,0.10668898644024254,0.7046413502109705,0.22362869198312235
2011,daily_top3,1,251,245,6,4,4,-0.10084033613445509,-0.12285165631474543,0.10204081632653061,0.35918367346938773
2012,daily_top3,1,514,501,13,13,13,0.04675002227801106,0.06258147077800913,0.5389221556886228,0.32934131736526945
2013,daily_top3,1,667,639,28,16,16,0.0023989400101604996,-0.009905002569449706,0.5023474178403756,0.19405320813771518
2014,daily_top3,1,712,710,2,19,19,0.4038764256797449,0.4035995155468583,0.8394366197183099,0.20985915492957746
2015,daily_top3,1,506,484,22,18,18,-0.24444948683998025,-0.14996133045959986,0.2727272727272727,0.22727272727272727
2016,daily_top3,1,644,593,51,19,19,0.43621972829297073,0.46331364767356137,0.9561551433389545,0.2175379426644182
2017,daily_top3,1,453,445,8,10,10,0.4732657626493255,0.4422801463468091,0.9213483146067416,0.3393258426966292
2018,daily_top3,1,300,298,2,8,8,0.2990401961782211,0.2991703409008205,0.9060402684563759,0.32550335570469796
2019,daily_top3,1,645,644,1,11,11,0.3580380706159012,0.3164861368961112,0.7763975155279503,0.2468944099378882
2020,daily_top3,1,657,657,0,14,14,0.33070838627700416,0.5986324522018027,0.8295281582952816,0.2252663622526636
2021,daily_top3,1,636,636,0,12,12,0.12010362638232308,0.2690475026611381,0.7578616352201258,0.19654088050314467
2022,daily_top3,1,718,718,0,23,23,0.1624374919150856,0.144206910919576,0.7729805013927576,0.16991643454038996
2023,daily_top3,1,726,725,1,21,21,0.37017519284645006,0.3485955648202471,0.9006896551724138,0.2482758620689655
2024,daily_top3,1,726,726,0,24,24,0.25428334276887377,0.20714090673358346,0.7644628099173554,0.20110192837465565
2025,daily_top3,1,729,432,297,26,23,0.4285497638510889,0.5168732342369179,0.9236111111111112,0.1875
2026,daily_top3,1,421,0,421,21,0,,,,
2009,segment_starts,1,1,1,0,1,1,0.09366197183098746,0.09366197183098746,1,1.0
2010,segment_starts,1,89,87,2,6,6,0.11712719429595597,0.13065636052624977,0.7011494252873564,0.2413793103448276
2011,segment_starts,1,51,51,0,4,4,-0.11335049347964621,-0.13140736824371474,0.09803921568627451,0.3333333333333333
2012,segment_starts,1,120,115,5,13,13,0.05772907293510898,0.0800044989850536,0.5826086956521739,0.3391304347826087
2013,segment_starts,1,164,160,4,16,16,0.030938049513639765,0.02050831876437914,0.58125,0.23125
2014,segment_starts,1,161,160,1,19,19,0.48094161246329725,0.4809725853787495,0.9,0.2125
2015,segment_starts,1,108,99,9,18,18,-0.1652700575995767,-0.07835547936593842,0.42424242424242425,0.18181818181818182
2016,segment_starts,1,122,114,8,19,19,0.38234093682985026,0.42576446138421287,0.9473684210526315,0.14912280701754385
2017,segment_starts,1,95,92,3,10,10,0.4916711894481063,0.4510674459384566,0.8913043478260869,0.32608695652173914
2018,segment_starts,1,51,51,0,8,8,0.30195289892709365,0.31628827779535584,0.9215686274509803,0.35294117647058826
2019,segment_starts,1,112,112,0,10,10,0.2718026111897279,0.2452950524284648,0.7142857142857143,0.21428571428571427
2020,segment_starts,1,110,110,0,14,14,0.3510587045485636,0.4716857170188349,0.7909090909090909,0.18181818181818182
2021,segment_starts,1,173,173,0,12,12,0.13104540103296336,0.26154128182711245,0.7398843930635838,0.2023121387283237
2022,segment_starts,1,231,231,0,23,23,0.14289161913119686,0.14162640807630708,0.7272727272727273,0.13852813852813853
2023,segment_starts,1,150,150,0,21,21,0.3767299401558608,0.3708182077521103,0.92,0.22
2024,segment_starts,1,204,204,0,24,24,0.2908624040749307,0.25168879356557844,0.8431372549019608,0.13725490196078433
2025,segment_starts,1,258,150,108,26,23,0.4012428814117265,0.5105543661284525,0.8533333333333334,0.18
2026,segment_starts,1,125,0,125,21,0,,,,
2010,quarterly_top3,1,4,4,0,4,4,-0.07829560984755002,0.003918937746424073,0.25,0.25
