security_code,security_name,activation_date,activation_close,activation_ma20,activation_ma60,anchor_date,original_anchor,last_adjusted_anchor,reset_date,reset_close,reset_stop_line
000001,平安银行,2024-03-15,10.6,10.440999999999987,9.66950000000002,2024-03-18,9.692666666666685,7.7696666666666845,,,
000022,深赤湾A,2009-11-05,14.46,13.657000000000034,13.566666666666713,2009-11-06,13.532500000000047,13.532500000000047,2010-05-06,13.4,13.532500000000047
000022,深赤湾A,2010-08-04,13.32,12.592500000000019,12.575166666666705,2010-08-05,12.582666666666706,12.582666666666706,2011-08-08,11.94,12.582666666666706
000022,深赤湾A,2012-02-23,10.27,9.934500000000021,9.914166666666707,2012-02-24,9.90800000000004,9.90800000000004,2012-03-26,9.9,9.90800000000004
000022,深赤湾A,2012-11-26,9.08,8.803500000000026,8.798000000000041,2012-11-27,8.797333333333373,8.797333333333373,,,
000063,中兴通讯,2024-04-30,28.67,27.797999999999977,27.082333333333192,2024-05-06,27.157666666666525,27.157666666666525,2024-05-23,27.0,27.157666666666525
000063,中兴通讯,2024-07-11,29.12,27.794499999999978,27.784166666666525,2024-07-12,27.791333333333196,27.108333333333196,2024-07-23,27.1,27.108333333333196
000063,中兴通讯,2024-10-11,29.84,26.421999999999983,26.2272333333332,2024-10-14,26.26011666666653,25.232116666666528,,,
000333,美的集团,2014-05-28,17.33,17.085099999999997,16.794033333333328,2014-05-29,16.83643333333333,-11.947818777777783,,,
000338,潍柴动力,2012-02-13,33.61,33.57849999999999,33.47299999999997,2012-02-14,33.38466666666664,33.38466666666664,2012-02-14,33.2,33.38466666666664
000338,潍柴动力,2012-02-15,34.16,33.61899999999999,33.29899999999997,2012-02-16,33.22066666666664,33.22066666666664,2012-03-20,33.0,33.22066666666664
000338,潍柴动力,2012-05-29,34.37,32.96849999999999,32.94699999999997,2012-05-30,32.92816666666664,32.92816666666664,2012-06-04,32.4,32.819333333333304
000338,潍柴动力,2012-10-17,19.83,19.099999999999998,19.08977777777776,2012-10-18,18.964305555555534,18.964305555555534,2013-06-24,17.86,18.964305555555534
000338,潍柴动力,2013-08-29,18.68,18.625999999999998,18.44533333333331,2013-08-30,18.38683333333331,18.28683333333331,2014-01-06,17.71,18.28683333333331
000338,潍柴动力,2014-04-18,17.96,17.414499999999997,17.35933333333331,2014-04-21,17.358999999999977,17.358999999999977,2014-04-23,17.3,17.35033333333331
000338,潍柴动力,2014-05-12,17.68,17.530499999999996,17.200999999999976,2014-05-13,17.190166666666645,8.395083333333323,2015-08-26,8.22,8.395083333333323
000338,潍柴动力,2015-11-17,10.33,9.478500000000007,9.419916666666651,2015-11-18,9.373833333333318,9.373833333333318,2016-01-04,8.93,9.373833333333318
000338,潍柴动力,2016-03-30,8.14,7.990000000000007,7.933999999999984,2016-03-31,7.905666666666651,7.905666666666651,2016-05-09,7.68,7.905666666666651
000338,潍柴动力,2016-07-15,8.19,7.9080000000000075,7.892499999999984,2016-07-18,7.887333333333317,-0.030333333333340873,,,
000423,东阿阿胶,2019-10-25,33.43,31.828000000000067,31.805609666666683,2019-10-28,31.828268500000014,31.828268500000014,2020-02-03,30.72,31.828268500000014
000423,东阿阿胶,2020-05-13,31.74,29.150500000000065,29.117999999999988,2020-05-14,29.12299999999999,28.61520199999999,2022-04-25,28.57,28.61520199999999
000425,徐工机械,2025-04-30,8.81,8.73399999999998,8.674666666666667,2025-05-06,8.702,8.702,2025-05-15,8.46,8.702
000425,徐工机械,2025-07-23,8.71,8.145999999999978,8.139666666666667,2025-07-24,8.1385,8.1385,2026-06-30,8.09,8.1385
000568,泸州老窖,2013-09-11,22.66,22.01299999999999,21.970166666666735,2013-09-12,21.960500000000067,21.960500000000067,2013-09-18,21.94,21.960500000000067
000568,泸州老窖,2014-03-26,18.06,17.938500000000005,17.932833333333395,2014-03-27,17.904833333333396,17.904833333333396,2014-03-28,17.21,17.870333333333395
000568,泸州老窖,2014-04-11,18.29,18.095,17.631666666666728,2014-04-14,17.632666666666726,17.632666666666726,2014-04-16,17.55,17.604166666666725
000568,泸州老窖,2014-07-15,17.12,16.361999999999984,16.345666666666723,2014-07-16,16.32966666666672,-14.098411333333281,,,
000596,古井贡酒,2025-08-11,146.74,140.27549999999982,139.46766666666667,2025-08-12,139.36066666666665,139.36066666666665,2025-12-29,136.74,139.36066666666665
000596,古井贡酒,2026-08-03,93.49,86.12649999999977,85.63483333333326,2026-08-04,85.45449999999991,85.45449999999991,,,
000651,格力电器,2010-07-28,14.94,13.467833333333402,13.440388888888911,2010-07-29,13.444333333333354,-18.407833333333322,,,
000661,长春高新,2023-10-27,150.64,138.64999999999978,138.50049999999982,2023-10-30,138.50249999999983,138.50249999999983,2024-01-08,137.64,138.50249999999983
000661,长春高新,2024-10-10,112.0,88.78799999999978,88.7744999999999,2024-10-11,88.98266666666656,88.98266666666656,2025-04-21,87.1,88.98266666666656
