signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,activation_date,anchor_date,stop_anchor,stop_line,qualification,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y
2009-11-05,000022,深赤湾A,0.9479,14.46,15.2553,13.657000000000034,13.566666666666713,2009-10-31,2009-11-05,,,,initial,1,1,2009-11-06,14.2,2018-12-20,2010-11-06,2010-11-08,complete,15.53,0.09366197183098746,2012-11-06,2012-11-06,complete,8.95,-0.3697183098591542
2010-07-27,600660,福耀玻璃,0.9488,10.29,10.8458,9.507999999999967,9.48416666666666,2010-04-30,2010-07-27,,,,initial,1,1,2010-07-28,10.57,2026-08-07,2011-07-28,2011-07-28,complete,9.77,-0.03126271336516717,2013-07-28,2013-07-29,complete,7.12,-0.21237969081461694
2010-07-28,000651,格力电器,1.0037,14.94,14.8856,13.467833333333402,13.440388888888911,2010-04-30,2010-07-28,,,,initial,2,2,2010-07-29,14.85,2026-08-07,2011-07-29,2011-07-29,complete,23.17,0.5821116751588058,2013-07-29,2013-07-29,complete,25.0,0.8155731667719792
2010-08-04,000022,深赤湾A,0.9946,13.32,13.3919,12.592500000000019,12.575166666666705,2010-04-30,2010-08-04,,,,initial,2,3,2010-08-05,13.44,2018-12-20,2011-08-05,2011-08-05,complete,12.83,-0.0453869047619041,2013-08-05,2013-08-05,complete,10.6,-0.21130952380952372
2010-08-05,000933,神火股份,0.8735,19.78,22.6453,18.89749999999999,18.88644047619048,2010-08-06,2010-08-05,,,,initial,1,5,2010-08-06,20.12,2026-08-07,2011-08-06,2011-08-08,complete,15.93,0.27771236125630816,2013-08-06,2013-08-06,complete,4.95,-0.5980423087454452
2010-08-05,601088,中国神华,0.9407,23.42,24.8961,22.920499999999976,22.843,2010-04-30,2010-08-05,,,,initial,2,5,2010-08-06,23.83,2026-08-07,2011-08-06,2011-08-08,complete,27.41,0.18181897804431424,2013-08-06,2013-08-06,complete,16.38,-0.22258966480101672
2010-08-16,601088,中国神华,0.9612,23.93,24.8961,23.377499999999976,22.826,2010-04-30,2010-08-16,,,,initial,2,5,2010-08-17,24.54,2026-08-07,2011-08-17,2011-08-17,complete,27.29,0.14260190507908543,2013-08-17,2013-08-19,complete,16.72,-0.22941212778648923
2010-08-18,600309,万华化学,1.0262,17.49,17.0441,16.495500000000046,16.455666666666684,2010-08-18,2010-08-18,,,,initial,3,4,2010-08-19,17.29,2026-08-07,2011-08-19,2011-08-19,complete,16.77,0.28243221817028674,2013-08-19,2013-08-19,complete,17.49,0.44918968335260656
2010-09-01,600309,万华化学,0.9751,16.62,17.0441,16.51600000000005,16.20566666666668,2010-08-18,2010-09-01,,,,initial,3,5,2010-09-02,,2026-08-07,2011-09-02,2011-09-02,execution_quote_missing,16.85,,2013-09-02,2013-09-02,execution_quote_missing,17.15,
2010-09-30,601088,中国神华,0.9316,23.61,25.3441,23.468499999999977,23.317833333333336,2010-08-28,2010-09-30,,,,initial,2,4,2010-10-08,25.8,2026-08-07,2011-10-08,2011-10-10,complete,25.27,0.006355680827931698,2013-10-08,2013-10-08,complete,16.75,-0.26573037921905096
2011-03-02,601088,中国神华,0.9551,25.89,27.1065,24.590999999999973,24.4785,2010-10-30,2011-03-02,,,,initial,1,2,2011-03-03,25.45,2026-08-07,2012-03-03,2012-03-05,complete,27.65,0.11628044161518925,2014-03-03,2014-03-03,complete,13.62,-0.39472912608523003
2011-11-04,600897,厦门空港,0.9977,14.08,14.1123,13.711500000000022,13.662999999999993,2011-10-26,2011-11-04,,,,initial,1,1,2011-11-07,14.01,2026-08-07,2012-11-07,2012-11-07,complete,12.76,-0.08237917426159713,2014-11-07,2014-11-07,complete,20.02,0.5299140040724821
2012-02-02,600660,福耀玻璃,0.7473,8.6,11.5082,8.212999999999969,8.200333333333322,2011-10-28,2012-02-02,,,,initial,1,2,2012-02-03,8.74,2026-08-07,2013-02-03,2013-02-04,complete,8.43,0.014441934748564256,2015-02-03,2015-02-03,complete,13.26,0.798137002258883
2012-02-13,000338,潍柴动力,0.6377,33.61,52.7091,33.57849999999999,33.47299999999997,2011-10-29,2012-02-13,,,,initial,1,4,2012-02-14,33.2,2026-08-07,2013-02-14,2013-02-18,complete,27.55,0.004962444362693663,2015-02-14,2015-02-16,complete,26.75,0.005208875822898751
2012-02-15,000338,潍柴动力,0.6481,34.16,52.7091,33.61899999999999,33.29899999999997,2011-10-29,2012-02-15,,,,initial,1,5,2012-02-16,34.61,2026-08-07,2013-02-16,2013-02-18,complete,27.55,-0.03597939460151878,2015-02-16,2015-02-16,complete,26.75,-0.035743002677831925
2012-02-17,002128,电投能源,0.7532,14.97,19.8744,14.712000000000003,14.60433333333338,2011-10-20,2012-02-16,2012-02-17,14.60433333333338,14.60433333333338,continued,3,6,2012-02-20,15.0,2026-08-07,2013-02-20,2013-02-20,complete,13.49,-0.0685476190476173,2015-02-20,2015-02-25,complete,10.12,-0.27878003675044827
2012-03-28,600897,厦门空港,0.9162,12.93,14.1123,13.31900000000002,12.808333333333335,2011-10-26,2012-02-27,2012-02-28,12.700333333333337,12.700333333333337,continued_below_ma20,3,3,2012-03-29,12.74,2026-08-07,2013-03-29,2013-03-29,complete,13.74,0.0865958126879014,2015-03-29,2015-03-30,complete,28.03,1.355563151030546
2012-04-13,002128,电投能源,0.7844,15.59,19.8744,15.489500000000003,15.209666666666713,2011-10-20,2012-04-13,,,,initial,2,2,2012-04-16,15.52,2026-08-07,2013-04-16,2013-04-16,endpoint_quote_missing,,,2015-04-16,2015-04-16,complete,12.11,-0.16587543343103717
