group,years,signals,complete,missing,signal_companies,complete_companies,median_return,mean_return,positive_fraction,max_company_fraction
daily_top3,1,9589,8731,858,69,65,0.2360096577546238,0.26250532321650927,0.7396632688122781,0.10743328370175238
segment_starts,1,2325,2060,265,69,65,0.24485406590874903,0.2589691901325632,0.7529126213592233,0.10194174757281553
quarterly_top3,1,158,145,13,41,37,0.2821916085500269,0.27718583229608745,0.7517241379310344,0.11724137931034483
annual_top3,1,40,37,3,22,21,0.3047517450380368,0.2661546479813144,0.7297297297297297,0.10810810810810811
ma60_episodes,1,2347,2131,216,69,65,0.2526638199736939,0.27853217520073686,0.7719380572501173,0.10839981229469732
activation_first_top3,1,157,146,11,69,65,0.13725160149449867,0.26102706847705026,0.7123287671232876,0.0684931506849315
ma60_nonoverlap,1,205,182,23,69,65,0.18201422830793912,0.22041699429750167,0.7252747252747253,0.06593406593406594
daily_top3,3,9589,7211,2378,69,50,0.8287396275588719,0.8300320390023267,0.8238801830536681,0.12439328803217307
segment_starts,3,2325,1621,704,69,50,0.806614885254896,0.7821805255356749,0.81122763726095,0.10425663170882171
quarterly_top3,3,158,119,39,41,30,0.7481892728309354,0.8899187051595756,0.8571428571428571,0.13445378151260504
annual_top3,3,40,31,9,22,17,0.7306887098480315,0.8434051255323992,0.8709677419354839,0.12903225806451613
ma60_episodes,3,2347,1758,589,69,50,0.7703536982870612,0.7709571519693703,0.8219567690557452,0.1217292377701934
activation_first_top3,3,157,121,36,69,50,0.47554260421963157,0.6851145213758087,0.743801652892562,0.08264462809917356
ma60_nonoverlap,3,118,84,34,69,50,0.516994186907009,0.7090995063152489,0.8095238095238095,0.05952380952380952
