security_code,security_name,first_quote,last_quote,cheap_states
000001,平安银行,1991-04-03,2026-08-07,582
000022,深赤湾A,1992-05-05,2018-12-20,468
000063,中兴通讯,1997-11-18,2026-08-28,189
000333,美的集团,2013-09-18,2026-08-28,516
000338,潍柴动力,2007-04-30,2026-08-28,3414
000423,东阿阿胶,1996-07-29,2026-08-28,284
000425,徐工机械,1996-08-28,2026-08-28,120
000568,泸州老窖,1994-05-09,2026-08-28,873
000596,古井贡酒,1996-09-27,2026-08-28,227
000651,格力电器,1996-11-18,2026-08-28,2950
000661,长春高新,1996-12-18,2026-08-07,459
000708,中信特钢,1997-03-26,2026-08-07,195
000733,振华科技,1997-07-03,2026-08-07,238
000786,北新建材,1997-06-06,2026-08-28,615
000792,盐湖股份,1997-09-04,2026-08-28,1693
000858,五 粮 液,1998-04-27,2026-08-28,572
000869,张  裕Ａ,2000-10-26,2026-08-07,116
000893,亚钾国际,1998-12-24,2026-08-28,32
000933,神火股份,1999-08-31,2026-08-28,1708
000951,中国重汽,1999-11-25,2026-08-28,372
000999,华润三九,2000-03-09,2026-08-28,114
001872,招商港口,1993-05-05,2026-08-07,175
002001,新 和 成,2004-06-25,2026-08-28,783
002024,ST易购,2004-07-21,2026-08-07,435
002049,紫光国微,2005-06-06,2026-08-07,42
002050,三花智控,2005-06-07,2026-08-28,33
002128,电投能源,2007-04-18,2026-08-28,3211
002142,宁波银行,2007-07-19,2026-08-28,86
002152,广电运通,2007-08-13,2026-08-07,243
002158,汉钟精机,2007-08-17,2026-08-28,287
002236,大华股份,2008-05-20,2026-08-07,576
002262,恩华药业,2008-07-23,2026-08-28,7
002270,华明装备,2008-09-05,2026-08-28,18
002304,洋河股份,2009-11-06,2026-08-07,671
002379,宏桥控股,2010-03-31,2026-08-28,20
002460,赣锋锂业,2010-08-10,2026-08-07,185
002466,天齐锂业,2010-08-31,2026-08-28,1233
002508,老板电器,2010-11-23,2026-08-07,16
002532,天山铝业,2010-12-31,2026-08-28,701
002648,卫星化学,2011-12-28,2026-08-28,674
002677,浙江美大,2012-05-25,2026-08-07,1
002714,牧原股份,2014-01-28,2026-08-28,224
002807,江阴银行,2016-09-02,2026-08-07,569
002812,恩捷股份,2016-09-14,2026-08-07,151
002833,弘亚数控,2016-12-28,2026-08-07,621
002839,张家港行,2017-01-24,2026-08-07,711
002841,视源股份,2017-01-19,2026-08-07,222
002948,青岛银行,2019-01-16,2026-08-07,523
002958,青农商行,2019-03-26,2026-08-07,7
002966,苏州银行,2019-08-02,2026-08-07,311
300059,东方财富,2010-03-19,2026-08-28,404
300274,阳光电源,2011-11-02,2026-08-28,71
300316,晶盛机电,2012-05-11,2026-08-28,341
300360,炬华科技,2014-01-21,2026-08-28,240
300415,伊之密,2015-01-23,2026-08-28,15
300435,中泰股份,2015-03-26,2026-08-28,262
300782,卓胜微,2019-06-18,2026-08-07,11
300910,瑞丰新材,2020-11-27,2026-08-28,41
600000,浦发银行,1999-11-10,2026-08-07,1020
600009,上海机场,1998-02-18,2026-08-07,148
600015,华夏银行,2003-09-12,2026-08-07,468
600016,民生银行,2000-12-19,2026-08-07,892
600031,三一重工,2003-07-03,2026-08-28,1032
600036,招商银行,2002-04-09,2026-08-28,956
600066,宇通客车,1997-05-08,2026-08-28,1618
600176,中国巨石,1999-04-22,2026-08-28,859
600188,兖矿能源,1998-07-01,2026-08-07,896
600271,航天信息,2003-07-11,2026-08-07,28
600309,万华化学,2001-01-05,2026-08-28,2542
600415,小商品城,2002-05-09,2026-08-28,69
600426,华鲁恒升,2002-06-20,2026-08-28,582
600486,扬农化工,2002-04-25,2026-08-28,156
600519,贵州茅台,2001-08-27,2026-08-28,474
600566,济川药业,2001-08-22,2026-08-07,404
600585,海螺水泥,2002-02-07,2026-08-07,2432
600660,福耀玻璃,1993-06-10,2026-08-28,1598
600690,海尔智家,1993-11-19,2026-08-28,759
600750,华润江中,1996-09-23,2026-08-28,244
600809,山西汾酒,1994-01-06,2026-08-28,17
600887,伊利股份,1996-03-12,2026-08-28,98
600897,厦门空港,1996-05-31,2026-08-07,1492
600908,无锡银行,2016-09-23,2026-08-07,144
600919,江苏银行,2016-08-02,2026-08-28,1250
600926,杭州银行,2016-10-27,2026-08-07,329
600928,西安银行,2019-03-01,2026-08-07,400
600938,中国海油,2022-04-21,2026-08-28,866
600970,中材国际,2005-04-12,2026-08-28,552
600989,宝丰能源,2019-05-16,2026-08-28,125
601009,南京银行,2007-07-19,2026-08-07,1080
601077,渝农商行,2019-10-29,2026-08-07,578
601088,中国神华,2007-10-09,2026-08-07,2602
601128,常熟银行,2016-09-30,2026-08-07,73
601138,工业富联,2018-06-08,2026-08-07,3
601166,兴业银行,2007-02-05,2026-08-07,1105
601169,北京银行,2007-09-19,2026-08-07,1314
601187,厦门银行,2020-10-27,2026-08-07,748
601225,陕西煤业,2014-01-28,2026-08-07,1723
601229,上海银行,2016-11-16,2026-08-07,1293
601288,农业银行,2010-07-15,2026-08-07,2115
601318,中国平安,2007-03-01,2026-08-07,32
601328,交通银行,2007-05-15,2026-08-07,1923
601398,工商银行,2006-10-27,2026-08-07,2255
601515,衢州东峰,2012-02-16,2026-08-07,36
601528,瑞丰银行,2021-06-25,2026-08-07,135
601577,长沙银行,2018-09-26,2026-08-07,846
601658,邮储银行,2019-12-10,2026-08-07,1029
601665,齐鲁银行,2021-06-18,2026-08-07,595
601818,光大银行,2010-08-18,2026-08-07,1715
601825,沪农商行,2021-08-19,2026-08-07,1036
601838,成都银行,2018-01-31,2026-08-07,879
601857,中国石油,2007-11-05,2026-08-07,758
601899,紫金矿业,2008-04-25,2026-08-07,251
601916,浙商银行,2019-11-26,2026-08-07,512
601939,建设银行,2007-09-25,2026-08-07,2169
601963,重庆银行,2021-02-05,2026-08-07,997
601965,中国汽研,2012-06-11,2026-08-07,19
601988,中国银行,2006-07-05,2026-08-07,2330
601997,贵阳银行,2016-08-16,2026-08-07,985
601998,中信银行,2007-04-27,2026-08-07,1372
603067,振华股份,2016-09-13,2026-08-07,196
603156,养元饮品,2018-02-12,2026-08-07,477
603259,药明康德,2018-05-08,2026-08-07,146
603279,景津装备,2019-07-29,2026-08-07,153
603323,苏农银行,2016-11-29,2026-08-07,78
603369,今世缘,2014-07-03,2026-08-07,250
603508,思维列控,2015-12-24,2026-08-07,140
603529,爱玛科技,2021-06-15,2026-08-07,198
603556,海兴电力,2016-11-10,2026-08-07,16
603606,东方电缆,2014-10-15,2026-08-07,2
603993,洛阳钼业,2012-10-09,2026-08-07,637
605305,中际联合,2021-05-06,2026-08-07,30
688301,奕瑞科技,2020-09-18,2026-08-07,25
688516,奥特维,2020-05-21,2026-08-07,429
