period,signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,activation_date,anchor_date,stop_anchor,stop_line,qualification,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y
2009,2009-11-02,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
2009,2009-11-02,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
2009,2009-11-02,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
2010,2010-01-04,000022,深赤湾A,0.9977,15.22,15.2553,14.999000000000033,14.539166666666711,2009-10-31,2009-11-05,2009-11-06,13.532500000000047,13.532500000000047,continued,1,1,2010-01-05,15.29,2018-12-20,2011-01-05,2011-01-05,complete,14.32,-0.06344015696533545,2013-01-05,2013-01-07,complete,10.15,-0.3361674296926088
2010,2010-01-04,,无合格标的,,,,,,,,,,,,2,1,,,,,,,,,,,,,
2010,2010-01-04,,无合格标的,,,,,,,,,,,,3,1,,,,,,,,,,,,,
2011,2011-01-04,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
2011,2011-01-04,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
2011,2011-01-04,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
2012,2012-01-04,,无合格标的,,,,,,,,,,,,1,0,,,,,,,,,,,,,
2012,2012-01-04,,无合格标的,,,,,,,,,,,,2,0,,,,,,,,,,,,,
2012,2012-01-04,,无合格标的,,,,,,,,,,,,3,0,,,,,,,,,,,,,
2013,2013-01-04,000651,格力电器,0.6179,25.32,40.978,24.327500000000093,23.05099999999996,2012-10-31,2010-07-28,2010-07-29,12.644333333333353,12.644333333333353,continued,1,10,2013-01-07,26.36,2026-08-07,2014-01-07,2014-01-07,complete,29.97,0.18165892625595337,2016-01-07,2016-01-07,complete,19.58,0.7200813266000363
2013,2013-01-04,000338,潍柴动力,0.6442,25.41,39.4431,24.741499999999995,22.097833333333313,2012-10-29,2012-10-17,2012-10-18,18.964305555555534,18.964305555555534,continued,2,10,2013-01-07,25.05,2026-08-07,2014-01-07,2014-01-07,complete,17.75,-0.2791085036233074,2016-01-07,2016-01-07,complete,8.39,-0.29826319071512575
2013,2013-01-04,600066,宇通客车,0.6678,24.35,36.4636,22.60700000000014,21.657666666666614,2012-10-23,2012-12-24,2012-12-25,21.474166666666616,21.474166666666616,continued,3,10,2013-01-07,24.82,2026-08-07,2014-01-07,2014-01-07,complete,17.32,0.2821916085500269,2016-01-07,2016-01-07,complete,19.93,1.3500460177977045
2014,2014-01-02,000651,格力电器,0.6315,32.08,50.8023,32.494500000000066,30.431999999999963,2013-10-28,2010-07-28,2010-07-29,11.644333333333353,11.644333333333353,continued_below_ma20,1,6,2014-01-03,30.99,2026-08-07,2015-01-03,2015-01-05,complete,40.8,0.38361079290049815,2017-01-03,2017-01-03,complete,25.06,0.9403987514631076
2014,2014-01-02,600585,海螺水泥,0.6612,16.48,24.9248,17.350499999999975,16.487833333333324,2013-10-29,2013-11-25,2013-11-26,15.748333333333324,15.748333333333324,continued_below_ma20,2,6,2014-01-03,15.73,2026-08-07,2015-01-03,2015-01-05,complete,22.69,0.4740996642910551,2017-01-03,2017-01-03,complete,17.39,0.19736031527504472
