security_code,security_name,group,years,signals,complete,missing,signal_companies,complete_companies,median_return,mean_return,positive_fraction,max_company_fraction
000001,平安银行,daily_top3,1,118,78,40,1,1,0.13484500467505367,0.14266504048107465,0.9230769230769231,1.0
000022,深赤湾A,daily_top3,1,94,94,0,1,1,-0.001052395213628765,0.010703509377904801,0.5,1.0
000063,中兴通讯,daily_top3,1,4,4,0,1,1,0.24226888792395773,0.2330872575535961,1,1.0
000333,美的集团,daily_top3,1,49,49,0,1,1,0.9157389901628687,0.9143697408110277,1,1.0
000338,潍柴动力,daily_top3,1,838,835,3,1,1,0.3250837771461548,0.27017368138478165,0.7413173652694611,1.0
000423,东阿阿胶,daily_top3,1,2,2,0,1,1,0.05944611096119645,0.05944611096119645,1,1.0
000568,泸州老窖,daily_top3,1,26,26,0,1,1,0.19946629627176782,0.28205126076118253,1,1.0
000651,格力电器,daily_top3,1,673,565,108,1,1,0.24069855239196913,0.2893876338163201,0.815929203539823,1.0
000661,长春高新,daily_top3,1,9,9,0,1,1,-0.048882707003970904,-0.05510632529940924,0,1.0
000792,盐湖股份,daily_top3,1,304,291,13,1,1,-0.08919382504288231,0.01162639615957726,0.3127147766323024,1.0
000858,五 粮 液,daily_top3,1,31,31,0,1,1,0.40799396681749545,0.41461124246122466,1,1.0
000869,张  裕Ａ,daily_top3,1,5,5,0,1,1,0.4026282622018209,0.41372538083310106,1,1.0
000933,神火股份,daily_top3,1,662,512,150,1,1,0.051827671838227674,0.13302705312798616,0.599609375,1.0
002001,新 和 成,daily_top3,1,25,25,0,1,1,-0.18985569853704787,-0.1688417444561332,0.16,1.0
002024,ST易购,daily_top3,1,13,13,0,1,1,0.06851119894598012,0.20152361133926638,0.9230769230769231,1.0
002128,电投能源,daily_top3,1,962,938,24,1,1,0.29653727633032767,0.26730556177202247,0.755863539445629,1.0
002152,广电运通,daily_top3,1,53,53,0,1,1,0.42318237970411987,0.4361617583741856,1,1.0
002236,大华股份,daily_top3,1,5,5,0,1,1,0.1476153888228806,0.19996677179848693,1,1.0
002304,洋河股份,daily_top3,1,118,118,0,1,1,0.6062381856146849,0.5536984059718583,0.9322033898305084,1.0
002466,天齐锂业,daily_top3,1,353,344,9,1,1,0.4924451549361758,0.8415665898344219,0.7965116279069767,1.0
002532,天山铝业,daily_top3,1,32,28,4,1,1,0.44654669492370147,0.4473934022831948,1,1.0
002648,卫星化学,daily_top3,1,5,0,5,1,0,,,,
002714,牧原股份,daily_top3,1,12,12,0,1,1,0.7210098488420593,0.7138460104515417,1,1.0
002833,弘亚数控,daily_top3,1,14,14,0,1,1,0.22673993050937835,0.22854244727985776,1,1.0
002839,张家港行,daily_top3,1,1,0,1,1,0,,,,
300059,东方财富,daily_top3,1,16,4,12,1,1,0.9956086401453123,0.9610306444186713,1,1.0
600000,浦发银行,daily_top3,1,28,28,0,1,1,-0.13621969344131968,-0.12738038659846052,0,1.0
600015,华夏银行,daily_top3,1,1,1,0,1,1,0.11453252250897306,0.11453252250897306,1,1.0
600016,民生银行,daily_top3,1,14,14,0,1,1,-0.14058782737102632,-0.1602719117225972,0.14285714285714285,1.0
600031,三一重工,daily_top3,1,82,81,1,1,1,0.09664667094773294,-0.00970683597688104,0.5432098765432098,1.0
600036,招商银行,daily_top3,1,28,4,24,1,1,0.3998737716570715,0.3999914307518425,1,1.0
600066,宇通客车,daily_top3,1,196,173,23,1,1,0.2439088716969764,0.2500645226845957,0.8554913294797688,1.0
600176,中国巨石,daily_top3,1,64,64,0,1,1,-0.22246076379414298,-0.13531127258682302,0.234375,1.0
600188,兖矿能源,daily_top3,1,29,29,0,1,1,0.1513646269459905,0.1667051291319841,0.7586206896551724,1.0
600309,万华化学,daily_top3,1,415,375,40,1,1,0.31547527585544444,0.4123483789004229,0.768,1.0
600519,贵州茅台,daily_top3,1,20,20,0,1,1,0.4493369933788771,0.44715479825721416,1,1.0
600566,济川药业,daily_top3,1,11,11,0,1,1,-0.14643371040852604,-0.14110328831278113,0,1.0
600585,海螺水泥,daily_top3,1,802,796,6,1,1,0.18955537227911756,0.18968800013094717,0.657035175879397,1.0
600660,福耀玻璃,daily_top3,1,262,260,2,1,1,0.01738933514117391,0.05668750510976561,0.5423076923076923,1.0
600690,海尔智家,daily_top3,1,34,34,0,1,1,0.5905112752561307,0.5820224223119328,1,1.0
600897,厦门空港,daily_top3,1,93,93,0,1,1,0.05803340387965372,0.12041703731388222,0.5591397849462365,1.0
600919,江苏银行,daily_top3,1,86,35,51,1,1,0.17559433979891703,0.24553558187606916,1,1.0
600938,中国海油,daily_top3,1,253,244,9,1,1,0.4886729539138226,0.5136489763922699,1,1.0
600970,中材国际,daily_top3,1,138,10,128,1,1,0.12639304517955474,0.11751610953548594,0.8,1.0
601009,南京银行,daily_top3,1,40,39,1,1,1,0.1273100616016425,0.11965045306571293,0.9743589743589743,1.0
601077,渝农商行,daily_top3,1,9,9,0,1,1,0.03613312581488315,0.07885971708493236,1,1.0
601088,中国神华,daily_top3,1,962,925,37,1,1,0.21637011204813184,0.19815693223874278,0.6918918918918919,1.0
601166,兴业银行,daily_top3,1,111,83,28,1,1,0.3577491486505484,0.2940624158888709,0.9156626506024096,1.0
601169,北京银行,daily_top3,1,136,136,0,1,1,0.02999666903862941,0.07689032424918381,0.7279411764705882,1.0
601187,厦门银行,daily_top3,1,40,40,0,1,1,0.3588190504451668,0.3373025157036219,1,1.0
601225,陕西煤业,daily_top3,1,268,268,0,1,1,0.38276546522625643,0.4265691645492982,0.8619402985074627,1.0
601229,上海银行,daily_top3,1,81,55,26,1,1,0.4789667125920507,0.48219645541792217,1,1.0
601288,农业银行,daily_top3,1,94,94,0,1,1,0.30730449408701743,0.28653278161779894,1,1.0
601328,交通银行,daily_top3,1,289,285,4,1,1,0.12176008925846782,0.18405876183832623,0.9859649122807017,1.0
601398,工商银行,daily_top3,1,104,103,1,1,1,0.2245212439076072,0.18337049984503567,0.6213592233009708,1.0
