group,arm,start,key,m1,m2,diff
全样本,BASE,2009-11-01,年化,0.3149636862073115,0.3149636862073115,0.0
全样本,BASE,2009-11-01,最大回撤,0.6939598735177677,0.6939598735177677,0.0
全样本,BASE,2009-11-01,滚动5年年化中位,0.3544095416924453,0.3544095416924453,0.0
全样本,BASE,2009-11-01,滚动5年年化P25,0.20082014701853335,0.20082014701853335,0.0
全样本,BASE,2009-11-01,滚动5年回撤中位,0.4651105482444059,0.4651105482444059,0.0
全样本,BASE,2009-11-01,滚动5年Calmar中位,0.7612801861795017,0.7612801861795017,0.0
全样本,BASE,2009-11-01,互不重叠5年块中位,0.46125235329213066,0.46125235329213066,0.0
全样本,BASE,2009-11-01,年均换手,6.513478000300679,6.513478000300679,0.0
全样本,BASE,2009-11-01,平均仓位,1.6201870751414937,1.6201870751414937,0.0
全样本,BASE,2010-05-01,年化,0.3866543993675742,0.3866543993675742,0.0
全样本,BASE,2010-05-01,最大回撤,0.6639794430259043,0.6639794430259043,0.0
全样本,BASE,2010-05-01,滚动5年年化中位,0.43631861480444867,0.43631861480444867,0.0
全样本,BASE,2010-05-01,滚动5年年化P25,0.3370152301514475,0.3370152301514475,0.0
全样本,BASE,2010-05-01,滚动5年回撤中位,0.4514363504490311,0.4514363504490311,0.0
全样本,BASE,2010-05-01,滚动5年Calmar中位,0.8635596365736368,0.8635596365736368,0.0
全样本,BASE,2010-05-01,互不重叠5年块中位,0.5944150680978668,0.5944150680978668,0.0
全样本,BASE,2010-05-01,年均换手,6.919291787321462,6.919291787321462,0.0
全样本,BASE,2010-05-01,平均仓位,1.6439644061676786,1.6439644061676786,0.0
全样本,BASE,2010-11-01,年化,0.324960617198929,0.324960617198929,0.0
全样本,BASE,2010-11-01,最大回撤,0.7073058302168125,0.7073058302168125,0.0
全样本,BASE,2010-11-01,滚动5年年化中位,0.3859782705524575,0.3859782705524575,0.0
全样本,BASE,2010-11-01,滚动5年年化P25,0.2093945131704673,0.2093945131704673,0.0
全样本,BASE,2010-11-01,滚动5年回撤中位,0.43707239298249256,0.43707239298249256,0.0
全样本,BASE,2010-11-01,滚动5年Calmar中位,0.9175131113511399,0.9175131113511399,0.0
全样本,BASE,2010-11-01,互不重叠5年块中位,0.46246356300477887,0.46246356300477887,0.0
全样本,BASE,2010-11-01,年均换手,7.04426681505977,7.04426681505977,0.0
全样本,BASE,2010-11-01,平均仓位,1.6120293439874105,1.6120293439874105,0.0
全样本,BASE,2011-05-01,年化,0.3165555100905524,0.3165555100905524,0.0
全样本,BASE,2011-05-01,最大回撤,0.7023317803143032,0.7023317803143032,0.0
全样本,BASE,2011-05-01,滚动5年年化中位,0.3915129252096141,0.3915129252096141,0.0
全样本,BASE,2011-05-01,滚动5年年化P25,0.23817689934383024,0.23817689934383024,0.0
全样本,BASE,2011-05-01,滚动5年回撤中位,0.45236177635037567,0.45236177635037567,0.0
全样本,BASE,2011-05-01,滚动5年Calmar中位,0.885366133323385,0.885366133323385,0.0
全样本,BASE,2011-05-01,互不重叠5年块中位,0.45625980552626033,0.45625980552626033,0.0
全样本,BASE,2011-05-01,年均换手,6.70699280895714,6.70699280895714,0.0
全样本,BASE,2011-05-01,平均仓位,1.5963955783119406,1.5963955783119406,0.0
全样本,BASE,2011-11-01,年化,0.3608848052609199,0.3608848052609199,0.0
全样本,BASE,2011-11-01,最大回撤,0.7451721423429047,0.7451721423429047,0.0
全样本,BASE,2011-11-01,滚动5年年化中位,0.41101873589535254,0.41101873589535254,0.0
全样本,BASE,2011-11-01,滚动5年年化P25,0.24951872079865045,0.24951872079865045,0.0
全样本,BASE,2011-11-01,滚动5年回撤中位,0.4331368874631858,0.4331368874631858,0.0
全样本,BASE,2011-11-01,滚动5年Calmar中位,0.961479218273256,0.961479218273256,0.0
全样本,BASE,2011-11-01,互不重叠5年块中位,0.586368059841947,0.586368059841947,0.0
全样本,BASE,2011-11-01,年均换手,7.166606910517575,7.166606910517575,0.0
全样本,BASE,2011-11-01,平均仓位,1.6409041219435005,1.6409041219435005,0.0
全样本,BASE,2012-05-01,年化,0.36439883801762774,0.36439883801762774,0.0
全样本,BASE,2012-05-01,最大回撤,0.6950699498058672,0.6950699498058672,0.0
全样本,BASE,2012-05-01,滚动5年年化中位,0.42024317160378377,0.42024317160378377,0.0
全样本,BASE,2012-05-01,滚动5年年化P25,0.34132395026734996,0.34132395026734996,0.0
全样本,BASE,2012-05-01,滚动5年回撤中位,0.463296227270212,0.463296227270212,0.0
全样本,BASE,2012-05-01,滚动5年Calmar中位,0.8474836927943378,0.8474836927943378,0.0
全样本,BASE,2012-05-01,互不重叠5年块中位,0.5644099739092571,0.5644099739092571,0.0
全样本,BASE,2012-05-01,年均换手,7.017899465168698,7.017899465168698,0.0
全样本,BASE,2012-05-01,平均仓位,1.6552224371596893,1.6552224371596893,0.0
全样本,BASE,2012-11-01,年化,0.4622198599646965,0.4622198599646965,0.0
全样本,BASE,2012-11-01,最大回撤,0.6891243631217091,0.6891243631217091,0.0
全样本,BASE,2012-11-01,滚动5年年化中位,0.5617278124450173,0.5617278124450173,0.0
全样本,BASE,2012-11-01,滚动5年年化P25,0.3985163805767935,0.3985163805767935,0.0
全样本,BASE,2012-11-01,滚动5年回撤中位,0.542830013035188,0.542830013035188,0.0
全样本,BASE,2012-11-01,滚动5年Calmar中位,1.056311641531032,1.056311641531032,0.0
全样本,BASE,2012-11-01,互不重叠5年块中位,0.6346299832165936,0.6346299832165936,0.0
全样本,BASE,2012-11-01,年均换手,6.666921818237383,6.666921818237383,0.0
全样本,BASE,2012-11-01,平均仓位,1.6948657788620007,1.6948657788620007,0.0
全样本,BASE,2013-05-01,年化,0.4722889147369522,0.4722889147369522,0.0
全样本,BASE,2013-05-01,最大回撤,0.6537234577488722,0.6537234577488722,0.0
全样本,BASE,2013-05-01,滚动5年年化中位,0.5419085641395134,0.5419085641395134,0.0
全样本,BASE,2013-05-01,滚动5年年化P25,0.4377718666071879,0.4377718666071879,0.0
全样本,BASE,2013-05-01,滚动5年回撤中位,0.5100683901203671,0.5100683901203671,0.0
全样本,BASE,2013-05-01,滚动5年Calmar中位,1.0644052801284882,1.0644052801284882,0.0
全样本,BASE,2013-05-01,互不重叠5年块中位,0.6707125494576799,0.6707125494576799,0.0
