comparison,start,identical,guard_skips,d_cagr_pp,d_win5_pp,d_mdd_pp,d_p25_pp,d_roll5dd_pp,neg_flip,d_turnover,d_exposure_pp,buys_new,buys_ref
guard_full_vs_registered,2009-11-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2294.0,2294.0
guard_full_vs_registered,2010-05-01,False,1,-2.238673545205727,-1.5848739,1.8598996579886617,-0.5997689103467208,1.6515081532785358,False,-0.3736582966619393,0.6051085044157967,2128.0,2255.0
guard_full_vs_registered,2010-11-01,False,4,0.11883913884871422,-0.9328971900000038,-0.013057041936836988,-0.32695476787147904,0.08122473903698912,False,-0.3692776384505265,0.038534199760564825,2124.0,2135.0
guard_full_vs_registered,2011-05-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2175.0,2175.0
guard_full_vs_registered,2011-11-01,True,2,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2002.0,2002.0
guard_full_vs_registered,2012-05-01,False,1,-0.022180733771537398,-0.02163984999999924,0.0,-0.04873060854588829,-0.0006046259360847905,False,-0.020535036551026842,-0.0050771561143969635,1990.0,1965.0
guard_full_vs_registered,2012-11-01,False,2,-0.18854358906159607,-1.7766417100000043,-0.014584986099619446,-2.244097786930843,-0.24173837192511538,False,0.1130721759291804,-0.3561166095417123,1852.0,1807.0
guard_full_vs_registered,2013-05-01,True,1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1935.0,1935.0
guard_full_vs_registered,2013-11-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1959.0,1959.0
guard_full_vs_registered,2014-05-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1763.0,1763.0
guard_full_vs_registered,2014-11-01,False,2,0.19730042797505565,-1.5584113000000066,0.0,-1.951423134251562,1.5650402918816253,False,-0.06563293338318577,0.14387008970735415,1699.0,1779.0
guard_full_vs_registered,2015-05-01,False,1,1.436787463656941,0.111265429999996,0.2360088808574745,-0.04925497062269191,0.47021014678572115,False,-0.02972114752463728,0.19878683720480073,1609.0,1622.0
guard_full_vs_registered,2015-11-01,False,1,2.60759727424944,0.407724009999999,0.0,1.4838566999525904,0.735613479764663,False,0.10413949548877977,0.16652492386102224,1544.0,1582.0
guard_full_vs_registered,2016-05-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1461.0,1461.0
guard_A_vs_registered,2009-11-01,False,1,0.42639411671252514,-0.18921156000000217,-0.021798196931299696,-0.18432243537842563,-0.02535303695314628,False,0.01115267488044136,0.2329328156176036,2411.0,2420.0
guard_A_vs_registered,2010-05-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2354.0,2354.0
guard_A_vs_registered,2010-11-01,True,1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2307.0,2307.0
guard_A_vs_registered,2011-05-01,False,2,3.2621666312783626,2.778060600000001,-1.200888127185562,1.4352997051174876,-1.1401262740051266,False,0.525663253924046,0.8935085568926526,2262.0,2172.0
guard_A_vs_registered,2011-11-01,False,2,0.513813226483828,0.0,0.0,0.0,0.0,False,0.19177740416326472,0.004510038349270218,2300.0,2292.0
guard_A_vs_registered,2012-05-01,False,2,-0.5971353464800488,-1.17263876,-0.0035513321570146417,-0.7609541615872351,-0.5888802289557571,False,0.11757152968759499,0.04489192371590622,2191.0,2213.0
guard_A_vs_registered,2012-11-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,2156.0,2156.0
guard_A_vs_registered,2013-05-01,False,1,-0.8588678627270196,-2.3289999995235178e-05,0.0,0.0,0.0,False,0.3402931165922478,-0.037023527450452676,2029.0,2008.0
guard_A_vs_registered,2013-11-01,False,5,0.2937102499185551,0.11524212000000311,0.010102176119064499,0.11372115184906662,0.010102176119064499,False,-0.42634432829377733,0.04637032376193506,1925.0,1897.0
guard_A_vs_registered,2014-05-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1928.0,1928.0
guard_A_vs_registered,2014-11-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1808.0,1808.0
guard_A_vs_registered,2015-05-01,True,1,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1621.0,1621.0
guard_A_vs_registered,2015-11-01,False,1,1.169166057171811,0.00018756000000896833,0.0,0.24232048268015838,0.0,False,-0.1999582070472794,0.026882408567141525,1621.0,1663.0
guard_A_vs_registered,2016-05-01,True,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,1448.0,1448.0
