effective_from,effective_to,screen_year,security_code,security_name,mcap_rank,mcap_yi,close,shares_yi
2008-07-01,2008-12-31,2008,600315,上海家化,301,52.27,28.55,1.831
2008-07-01,2008-12-31,2008,600258,首旅酒店,302,52.25,22.58,2.314
2008-07-01,2008-12-31,2008,600166,福田汽车,303,52.18,6.44,8.102
2008-07-01,2008-12-31,2008,000951,中国重汽,304,52.18,16.00,3.261
2008-07-01,2008-12-31,2008,000917,电广传媒,308,51.80,16.18,3.201
2008-07-01,2008-12-31,2008,600741,华域汽车,309,51.77,5.43,9.534
2008-07-01,2008-12-31,2008,600868,梅雁吉祥,310,51.63,2.72,18.980
2008-07-01,2008-12-31,2008,600138,中青旅,312,51.19,16.95,3.020
2008-07-01,2008-12-31,2008,600066,宇通客车,316,51.07,13.27,3.849
2008-07-01,2008-12-31,2008,600595,中孚实业,317,50.98,11.15,4.572
2008-07-01,2008-12-31,2008,000897,津滨发展,319,50.94,4.80,10.613
2008-07-01,2008-12-31,2008,000581,威孚高科,320,50.70,8.59,5.902
2008-07-01,2008-12-31,2008,000931,中 关 村,321,50.68,7.50,6.757
2008-07-01,2008-12-31,2008,600806,-,323,50.21,11.83,4.244
2008-07-01,2008-12-31,2008,600078,澄星股份,325,49.49,11.28,4.388
2008-07-01,2008-12-31,2008,600386,北巴传媒,328,49.13,11.80,4.164
2008-07-01,2008-12-31,2008,600704,物产中大,337,48.42,12.99,3.727
2008-07-01,2008-12-31,2008,002032,苏 泊 尔,339,47.99,14.11,3.401
2008-07-01,2008-12-31,2008,000028,国药一致,345,47.41,16.35,2.900
2008-07-01,2008-12-31,2008,600121,郑州煤电,348,46.64,7.41,6.294
2008-07-01,2008-12-31,2008,600650,锦江在线,351,46.33,8.39,5.521
2008-07-01,2008-12-31,2008,600643,爱建集团,356,45.95,9.91,4.637
2008-07-01,2008-12-31,2008,600797,浙大网新,358,45.68,6.10,7.489
2008-07-01,2008-12-31,2008,600035,楚天高速,359,45.63,4.90,9.312
2008-07-01,2008-12-31,2008,002078,太阳纸业,360,45.54,16.15,2.820
2008-07-01,2008-12-31,2008,000036,华联控股,362,45.43,3.52,12.907
2008-07-01,2008-12-31,2008,600823,-,365,45.17,9.41,4.800
2008-07-01,2008-12-31,2008,600118,中国卫星,368,44.77,16.73,2.676
2008-07-01,2008-12-31,2008,600815,厦工股份,371,44.39,8.43,5.265
2008-07-01,2008-12-31,2008,000911,*ST广糖,376,44.03,16.80,2.621
2008-07-01,2008-12-31,2008,000503,国新健康,381,42.99,5.70,7.543
2008-07-01,2008-12-31,2008,600861,北京人力,386,42.34,13.36,3.169
2008-07-01,2008-12-31,2008,600780,通宝能源,387,42.30,4.85,8.722
2008-07-01,2008-12-31,2008,600088,中视传媒,395,41.19,17.52,2.351
2008-07-01,2008-12-31,2008,600818,ST中路,396,41.04,13.97,2.938
2008-07-01,2008-12-31,2008,600186,莲花控股,398,41.00,3.85,10.650
2008-07-01,2008-12-31,2008,600161,天坛生物,400,40.78,12.52,3.257
2008-07-01,2008-12-31,2008,600316,洪都航空,401,40.73,15.61,2.609
2008-07-01,2008-12-31,2008,600328,中盐化工,402,40.56,9.39,4.320
2008-07-01,2008-12-31,2008,600630,龙头股份,403,40.54,9.50,4.268
2008-07-01,2008-12-31,2008,600662,外服控股,404,40.32,6.44,6.262
2008-07-01,2008-12-31,2008,600609,金杯汽车,405,40.13,3.67,10.935
2008-07-01,2008-12-31,2008,600498,烽火通信,406,39.89,9.40,4.243
2008-07-01,2008-12-31,2008,600826,兰生股份,410,39.48,10.10,3.908
2008-07-01,2008-12-31,2008,601002,晋亿实业,414,39.20,6.78,5.781
2008-07-01,2008-12-31,2008,600239,ST云城,415,39.19,21.64,1.811
2008-07-01,2008-12-31,2008,002048,宁波华翔,416,39.12,8.35,4.685
2008-07-01,2008-12-31,2008,600729,重庆百货,421,38.75,19.00,2.039
2008-07-01,2008-12-31,2008,600695,-,423,38.74,5.88,6.589
2008-07-01,2008-12-31,2008,600067,冠城新材,426,38.31,7.18,5.336
2008-07-01,2008-12-31,2008,600087,-,427,38.16,7.32,5.213
2008-07-01,2008-12-31,2008,000005,ST星源,428,38.06,3.82,9.962
2008-07-01,2008-12-31,2008,600894,广日股份,429,38.01,5.15,7.381
2008-07-01,2008-12-31,2008,600549,厦门钨业,434,37.65,8.04,4.683
2008-07-01,2008-12-31,2008,600249,两面针,435,37.59,12.53,3.000
2008-07-01,2008-12-31,2008,000887,中鼎股份,436,37.46,11.70,3.202
2008-07-01,2008-12-31,2008,000667,ST美置,437,37.04,4.84,7.653
2008-07-01,2008-12-31,2008,600612,老凤祥,440,36.81,13.29,2.770
2008-07-01,2008-12-31,2008,002106,莱宝高科,441,36.80,14.50,2.538
2008-07-01,2008-12-31,2008,000685,中山公用,444,36.11,16.00,2.257
2008-07-01,2008-12-31,2008,600511,国药股份,447,36.04,27.10,1.330
2008-07-01,2008-12-31,2008,000875,电投绿能,449,35.80,4.58,7.817
2008-07-01,2008-12-31,2008,600858,银座股份,451,35.70,29.42,1.214
2008-07-01,2008-12-31,2008,600665,天地源,452,35.63,4.94,7.213
2008-07-01,2008-12-31,2008,000636,风华高科,454,35.40,5.15,6.874
2008-07-01,2008-12-31,2008,000970,中科三环,456,35.07,6.50,5.396
2008-07-01,2008-12-31,2008,600651,飞乐音响,457,35.06,6.23,5.628
2008-07-01,2008-12-31,2008,000518,*ST四环,458,34.91,3.75,9.310
2008-07-01,2008-12-31,2008,600535,天士力,463,34.44,11.29,3.050
2008-07-01,2008-12-31,2008,000939,凯迪退,464,34.37,9.35,3.676
2008-07-01,2008-12-31,2008,600750,华润江中,465,34.35,12.26,2.802
2008-07-01,2008-12-31,2008,600828,茂业商业,466,34.29,16.88,2.031
2008-07-01,2008-12-31,2008,600439,瑞贝卡,468,34.21,14.40,2.375
2008-07-01,2008-12-31,2008,000962,东方钽业,470,33.95,9.52,3.566
2008-07-01,2008-12-31,2008,600290,-,471,33.94,19.43,1.747
2008-07-01,2008-12-31,2008,601607,上海医药,472,33.93,6.73,5.041
2008-07-01,2008-12-31,2008,600555,-,475,33.78,8.38,4.031
2008-07-01,2008-12-31,2008,000723,美锦能源,478,33.32,23.86,1.397
2008-07-01,2008-12-31,2008,000400,许继电气,480,33.26,8.80,3.780
2008-07-01,2008-12-31,2008,600312,平高电气,481,33.24,9.05,3.673
2008-07-01,2008-12-31,2008,600060,海信视像,483,33.14,6.68,4.960
2008-07-01,2008-12-31,2008,000428,华天酒店,485,32.87,9.51,3.456
2008-07-01,2008-12-31,2008,600300,维维股份,489,32.66,4.85,6.734
2008-07-01,2008-12-31,2008,000708,中信特钢,491,32.45,7.20,4.507
2008-07-01,2008-12-31,2008,600298,安琪酵母,492,32.43,12.01,2.700
2008-07-01,2008-12-31,2008,600359,新农开发,495,32.31,9.61,3.363
2008-07-01,2008-12-31,2008,600106,重庆路桥,496,32.26,9.46,3.410
2008-07-01,2008-12-31,2008,001696,宗申动力,497,32.24,7.86,4.101
2008-07-01,2008-12-31,2008,600531,豫光金铅,500,31.98,13.69,2.336
2008-07-01,2008-12-31,2008,600624,ST复华,502,31.82,9.19,3.462
2008-07-01,2008-12-31,2008,000659,珠海中富,503,31.71,4.79,6.620
2008-07-01,2008-12-31,2008,000585,东电退,504,31.60,3.21,9.843
2008-07-01,2008-12-31,2008,600246,万通发展,505,31.57,10.96,2.880
2008-07-01,2008-12-31,2008,600872,中炬高新,506,31.55,3.98,7.927
2008-07-01,2008-12-31,2008,000990,诚志股份,509,31.30,12.90,2.427
2008-07-01,2008-12-31,2008,600429,三元股份,510,31.12,5.42,5.741
2008-07-01,2008-12-31,2008,000816,智慧农业,511,31.08,5.51,5.641
2008-07-01,2008-12-31,2008,600619,海立股份,517,30.76,6.54,4.704
2008-07-01,2008-12-31,2008,000799,酒鬼酒,518,30.61,10.79,2.837
2008-07-01,2008-12-31,2008,600884,杉杉股份,521,30.49,7.56,4.032
2008-07-01,2008-12-31,2008,000601,韶能股份,522,30.44,3.84,7.928
2008-07-01,2008-12-31,2008,000037,深南电A,523,30.41,5.55,5.480
2008-07-01,2008-12-31,2008,600557,康缘药业,524,30.39,19.56,1.554
2008-07-01,2008-12-31,2008,600125,铁龙物流,527,30.26,5.06,5.980
2008-07-01,2008-12-31,2008,000596,古井贡酒,529,30.06,12.55,2.395
2008-07-01,2008-12-31,2008,600317,-,531,29.90,9.94,3.008
2008-07-01,2008-12-31,2008,600052,东望时代,536,29.50,5.61,5.259
2008-07-01,2008-12-31,2008,002018,华信退,540,29.19,27.20,1.073
