security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,roe0_normalized,roe0_mode,growth_confirmed,roe_window,roe_efficiency,incremental_roe,incremental_roe_basis,cash_roe0,owner_earnings0,v_zero_growth,incremental_roe_used,ame_path,nopat_ps,roic0,incremental_roic,reinvestment_rate,wacc,cost_of_debt,tax_rate,net_debt_ps,fin_net_debt_ps,minority_book_ps,ev_ps,owner_earnings_true_ps,roic_path,minority_share,minority_share_basis,roic_nopat_mode,roic_g_source,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout,v_bear,v_bull,valuation_quality_score,valuation_quality_notes,bps_operating,external_equity_ps,external_equity_cum_ps,shares_est,bps_basis_date,equity_anchor_mode,peak_weight,growth_trust,trough_weight,ttm_factor,growth_damp,maintenance_ratio,maintenance_raw_ratio,maintenance_status,maintenance_intervals,maintenance_positive_intervals,maintenance_net_reinvestment,maintenance_growth_allowance,maintenance_nopat_total,cash_blocked,wc_aggregation,wc_first_period,wc_last_period,wc_start,wc_end,wc_change,wc_financing_start,wc_financing_end,wc_conflict_years,minority_claim_status,minority_claim_event,minority_fixed_claim_ps,minority_dividend_floor_ps
000938,紫光股份,L2,2002-03-31,2002-04-23,2002-04-23,unavailable,已披露年报 ROE 仅 1 年 < 要求 3 年,,,,2.8818,,,0.1291,,,,,5,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tier,,,,0.1000,0.0300,0.1200,,,,0.20,,,,,,,,,,2.5836,0.2982,,187213980,2002-04-23,shares_ref,0.000,0.00,0.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,,,,,,,,0,,,0.0000,0.0000
000938,紫光股份,L2,2002-06-30,2002-08-31,2002-08-31,unavailable,已披露年报 ROE 仅 2 年 < 要求 3 年,-0.1080,-0.0365,weightavg_ttm,2.9370,,,0.0450,,,,,5,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tier,,,,0.1000,0.0300,0.1200,,,,0.20,,,,,,,,,,2.8985,0.0385,,199347349,2002-08-31,shares_ref,0.000,0.00,0.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,,,,,,,,0,,,0.0000,0.0000
000938,紫光股份,L2,2002-09-30,2002-10-31,2002-10-31,unavailable,已披露年报 ROE 仅 2 年 < 要求 3 年,,,,2.9520,,,0.0450,,,,,5,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tier,,,,0.1000,0.0300,0.1200,,,,0.20,,,,,,,,,,2.9133,0.0387,,199347349,2002-10-31,shares_ref,0.000,0.00,0.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,,,,,,,,0,,,0.0000,0.0000
000938,紫光股份,L2,2002-12-31,2003-04-30,2003-04-30,ok,,0.0490,0.0165,weightavg_ttm,3.0370,0.0500,0.0165,0.0165,,0.016480,normalized,,5,0.5033,,,,,4.2361,,,0.3786,0.1724,-0.0538,1.8058,0.0732,0.0276,0.3931,0.9348,0.5082,0.4266,4.6054,-1.3931,growth,0.0657,earnings,trough_median,none,,-0.4356,,0.0000,,tier,,,,0.1000,0.0300,0.0932,3.6706,3.3035,4.0376,0.20,2.9365,9.69,74.91,0.7604,0.0000,2.0536,6.3240,47,hist12/cv5/term5/path20/legs5,2.4184,0.0000,0.6186,206084871,2003-04-30,annual_row|shares_backfill,0.000,0.50,1.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,1998-12-31,2002-12-31,127603728.4500,267732393.1900,140128664.7400,0.0000,0.0000,0,,,0.0000,0.0000
000938,紫光股份,L2,2003-03-31,2003-04-30,2003-04-30,ok,,,,,3.0310,0.0499,0.0165,0.0165,,0.016480,normalized(无TTM),,5,0.5033,,,,,4.2252,,,0.3776,0.1724,-0.0538,1.8058,0.0732,0.0276,0.3931,0.9318,0.5068,0.4255,4.5930,-1.3894,growth,0.0657,earnings,trough_median,none,,,,0.0000,,tier,,,,0.1000,0.0300,0.0932,3.6612,3.2951,4.0273,0.20,2.9290,9.70,,0.7604,0.0000,2.0486,6.3075,47,hist12/cv5/term5/path20/legs5,2.4119,0.0005,0.6186,206084871,2003-04-30,shares_ref|shares_backfill,0.000,0.50,1.000,1.4064,1.0000,0.000000,,off,0,0,,,,,operating,1998-12-31,2002-12-31,127603728.4500,267732393.1900,140128664.7400,0.0000,0.0000,0,,,0.0000,0.0000
000938,紫光股份,L2,2003-06-30,2003-08-31,2003-08-31,ok,,0.0610,0.0201,weightavg_ttm,3.0480,0.0725,0.0237,0.0165,,0.016480,lift2(孰高),,5,0.5033,,,,,4.2632,,,0.3820,0.1724,-0.0538,1.8058,0.0732,0.0276,0.3931,0.9536,0.5127,0.4304,4.6464,-1.4055,growth,0.0657,earnings,trough_median,none,,-0.4664,,0.0000,,tier,,,,0.1000,0.0300,0.0932,3.6927,3.3234,4.0620,0.20,2.9542,9.67,60.54,0.7604,0.0000,2.0614,6.3697,47,hist12/cv5/term5/path20/legs5,2.4400,-0.0105,0.6186,206084871,2003-08-31,shares_ref|shares_backfill,0.000,0.50,1.000,1.2328,1.0000,0.000000,,off,0,0,,,,,operating,1998-12-31,2002-12-31,127603728.4500,267732393.1900,140128664.7400,0.0000,0.0000,0,,,0.0000,0.0000
000938,紫光股份,L2,2003-09-30,2003-10-31,2003-10-31,ok,,,,,3.0920,0.0511,0.0165,0.0165,,0.016480,normalized(无TTM),,5,0.5033,,,,,4.3406,,,0.3889,0.1724,-0.0538,1.8058,0.0732,0.0276,0.3931,0.9711,0.5221,0.4382,4.7308,-1.4310,growth,0.0657,earnings,trough_median,none,,,,0.0000,,tier,,,,0.1000,0.0300,0.0932,3.7597,3.3837,4.1356,0.20,3.0077,9.67,,0.7604,0.0000,2.0987,6.4853,47,hist12/cv5/term5/path20/legs5,2.4843,-0.0109,0.6186,206084871,2003-10-31,shares_ref|shares_backfill,0.000,0.50,1.000,1.8504,1.0000,0.000000,,off,0,0,,,,,operating,1998-12-31,2002-12-31,127603728.4500,267732393.1900,140128664.7400,0.0000,0.0000,0,,,0.0000,0.0000
000938,紫光股份,L2,2003-12-31,2004-04-30,2004-04-30,ok,,0.1020,0.0331,weightavg_ttm,3.1570,0.1307,0.0414,0.0248,,0.024785,lift2(孰高),,5,0.3994,-1.0598,raw,,,2.1890,,,0.2023,0.0548,-0.0330,1.7510,0.0830,0.0439,0.1254,0.2502,-0.0763,0.3264,1.9041,0.5299,growth,0.0856,earnings,trough_median,none,,-0.3464,,0.0000,,tier,,,,0.1000,0.0300,0.0548,1.6539,1.4885,1.8193,0.20,1.3231,8.17,16.21,0.4968,0.4530,0.7321,1.9400,62,hist12/cv5/term20/path20/legs5,2.5384,0.0000,0.6186,206062750,2004-04-30,annual_row|shares_backfill,0.000,1.00,1.000,1.0000,1.0000,0.000000,,off,0,0,,,,,operating,1999-12-31,2003-12-31,123561618.2600,188130097.1300,64568478.8700,0.0000,0.0000,0,,,0.0000,0.0000
000938,紫光股份,L2,2004-03-31,2004-04-30,2004-04-30,ok,,0.1160,0.0376,weightavg_ttm,3.1640,0.1593,0.0504,0.0248,,0.024785,lift2(孰高),,5,0.3994,-1.0598,raw,,,2.1950,,,0.2029,0.0548,-0.0330,1.7510,0.0830,0.0439,0.1254,0.2514,-0.0765,0.3274,1.9097,0.5315,growth,0.0856,earnings,trough_median,none,,,,0.0000,,tier,,,,0.1000,0.0300,0.0548,1.6583,1.4924,1.8241,0.20,1.3266,8.17,14.30,0.4968,0.4530,0.7338,1.9452,62,hist12/cv5/term20/path20/legs5,2.5459,-0.0005,0.6186,206062750,2004-04-30,shares_ref|shares_backfill,0.000,1.00,1.000,1.1369,1.0000,0.000000,,off,0,0,,,,,operating,1999-12-31,2003-12-31,123561618.2600,188130097.1300,64568478.8700,0.0000,0.0000,0,,,0.0000,0.0000
000938,紫光股份,L2,2004-06-30,2004-08-31,2004-08-31,ok,,0.1300,0.0420,weightavg_ttm,3.1070,0.1842,0.0593,0.0248,,0.024785,lift2(孰高),,5,0.3994,-1.0598,raw,,,2.1459,,,0.1984,0.0548,-0.0330,1.7510,0.0830,0.0439,0.1254,0.2455,-0.0748,0.3200,1.8667,0.5195,growth,0.0856,earnings,trough_median,none,,-0.0835,,0.0000,,tier,,,,0.1000,0.0300,0.0548,1.6212,1.4591,1.7834,0.20,1.2970,8.17,12.47,0.4968,0.4530,0.7176,1.9017,62,hist12/cv5/term20/path20/legs5,2.4886,-0.0002,0.6186,206062750,2004-08-31,shares_ref|shares_backfill,0.000,1.00,1.000,1.2800,1.0000,0.000000,,off,0,0,,,,,operating,1999-12-31,2003-12-31,123561618.2600,188130097.1300,64568478.8700,0.0000,0.0000,0,,,0.0000,0.0000
