BASE|2009-11-01|0.348151|0.671990|0.691559|0.518090|1.576427|7.792512|5.000000|0.664883|0.961968|1.232523|1.474807|0.862000|0.371299|0.449875|0.857270|0.777044|0.048485|0.388992|0.236509|-0.021677|0.449875|0.833392|0.754654|0.021277|141.000000|0.515016|0.375256|81.000000|0.283552|0.812500|-0.281254|16.000000
BASE|2010-05-01|0.350895|0.692759|0.676651|0.506517|1.610391|9.820510|5.000000|0.671865|1.018502|1.231904|1.501464|0.869498|0.366604|0.449893|0.866461|0.734968|0.050314|0.394995|0.271815|-0.022529|0.449893|0.860615|0.699269|0.022222|135.000000|0.492069|0.363037|75.000000|0.292549|0.733333|-0.291058|15.000000
BASE|2010-11-01|0.316499|0.676301|0.623791|0.467986|1.578077|9.972059|5.000000|0.670473|0.897378|1.042779|1.467314|0.870477|0.382284|0.449899|0.872895|0.781448|0.071895|0.429817|0.281402|-0.032275|0.449899|0.955364|0.790308|0.054264|129.000000|0.518685|0.379441|69.000000|0.346959|0.800000|-0.305538|15.000000
BASE|2011-05-01|0.348321|0.676111|0.689664|0.515182|1.563658|9.099526|5.000000|0.662870|0.906783|1.042371|1.474103|0.856387|0.390219|0.437952|0.903381|0.793464|0.020408|0.445426|0.295453|-0.007712|0.449871|0.990119|0.829717|0.016260|123.000000|0.513682|0.385172|63.000000|0.355390|0.785714|-0.224316|14.000000
BASE|2011-11-01|0.400763|0.708166|0.785381|0.565917|1.609903|8.725564|5.000000|0.669387|0.916660|1.148345|1.492131|0.855615|0.421547|0.452617|0.980270|0.850715|0.007092|0.482157|0.348521|0.089502|0.452617|1.065263|0.894701|0.000000|117.000000|0.622399|0.410741|57.000000|0.329529|0.714286|-0.175463|14.000000
BASE|2012-05-01|0.376350|0.675226|0.730827|0.557369|1.627560|9.923480|5.000000|0.657648|0.880582|1.039785|1.475021|0.856444|0.415995|0.449882|0.983219|0.839501|0.014815|0.466967|0.332891|0.105847|0.449882|1.038997|0.871427|0.000000|111.000000|0.568888|0.400127|51.000000|0.362083|0.769231|-0.229155|13.000000
BASE|2012-11-01|0.430967|0.675388|0.836793|0.638102|1.647834|9.951343|5.000000|0.653714|0.854010|1.040578|1.480586|0.855569|0.434567|0.449878|1.055578|0.876773|0.015504|0.474700|0.358382|0.169220|0.449878|1.062062|0.903962|0.000000|105.000000|0.584991|0.411136|45.000000|0.362456|0.769231|-0.226519|13.000000
BASE|2013-05-01|0.409240|0.674594|0.797223|0.606647|1.639610|8.210125|6.000000|0.646485|0.848549|1.038167|1.461954|0.845727|0.435378|0.437973|1.053731|0.877278|0.016260|0.472751|0.359948|0.168273|0.449875|1.053065|0.895867|0.000000|99.000000|0.583170|0.406107|39.000000|0.416226|0.833333|-0.235186|12.000000
BASE|2013-11-01|0.430290|0.671587|0.831568|0.640706|1.642576|9.728913|6.000000|0.653123|0.848395|1.031469|1.462010|0.832051|0.468613|0.423233|1.075369|0.913134|0.000000|0.476500|0.388343|0.151112|0.448590|1.069215|0.913483|0.000000|93.000000|0.580867|0.425030|33.000000|0.397299|0.833333|-0.279366|12.000000
BASE|2014-05-01|0.512782|0.704102|0.991212|0.728278|1.648517|8.314085|5.000000|0.651433|0.900275|1.130781|1.479600|0.839560|0.510788|0.449685|1.166291|0.970795|0.000000|0.510397|0.450620|0.184253|0.453312|1.131738|0.986500|0.000000|87.000000|0.616495|0.469598|27.000000|0.362511|0.727273|-0.178935|11.000000
