arm,code,base,candidate,delta
WJ_WK3DP3,000933,0.752016,0.331925,-0.420091
WJ_WK3DP3,600309,0.04563099999999999,0.364113,0.31848200000000004
WJ_WK3DP3,002466,-0.18778099999999998,0.032888,0.22066899999999998
WJ_WK3DP3,002128,1.0304900000000001,0.8736249999999999,-0.15686500000000025
WJ_WK3DP3,601988,0.141347,-0.0011489999999999998,-0.142496
WJ_WK3DP3,000651,0.6874479999999998,0.562896,-0.12455199999999989
WJ_WK3DP3,000792,-0.202873,-0.08574999999999999,0.117123
WJ_WK3DP3,000338,0.6731839999999999,0.779247,0.10606300000000013
WJ_WK3DP3,601225,0.37962999999999997,0.45894,0.07931000000000005
WJ_WK3DP3,601166,0.07285100000000001,0.149797,0.076946
WJ_WK3DP3,002532,0.092117,0.015920999999999998,-0.07619600000000001
WJ_WK3DP3,601088,1.065887,1.004461,-0.06142599999999998
WJ_WK3DP3,600919,0.064248,0.11760799999999999,0.05335999999999999
WJ_WK3DP3,600660,0.326366,0.378367,0.05200100000000002
WJ_WK3DP3,601169,0.077455,0.127982,0.050527000000000016
WJ_WK3DP3,601229,0.050457,0,-0.050457
WJ_WK3DP3,688516,0.528339,0.485358,-0.04298099999999999
WJ_WK3DP3,601009,0.000626,0.041696,0.041069999999999995
WJ_WK3DP3,002648,0.080044,0.042371,-0.037673000000000005
WJ_WK3DP3,002304,0.107149,0.069539,-0.03760999999999999
WJ_WK3DP3,600188,-0.006021,-0.034628,-0.028607
WJ_WK3DP3,600585,0.39278899999999994,0.42014,0.02735100000000007
WJ_WK3DP3,600938,0.030672,0.057978999999999996,0.027306999999999994
WJ_WK3DP3,002001,-0.007454999999999996,-0.028345,-0.020890000000000002
WJ_WK3DP3,000001,0.015288000000000001,-0.004,-0.019288
WJ_WK3DP3,601838,-0.001525,0.0177,0.019225
WJ_WK3DP3,002152,-0.017509,-0.003201,0.014308000000000001
WJ_WK3DP3,601998,-0.002862,0.007733,0.010595
WJ_WK3DP3,601398,-0.001691,0.008853999999999999,0.010544999999999999
WJ_WK3DP3,300059,0.099053,0.089123,-0.009930000000000008
WJ_WK3DP3,600970,-0.06285,-0.071466,-0.008615999999999999
WJ_WK3DP3,601187,0.035086,0.026867,-0.008219
WJ_WK3DP3,601939,0.009222999999999999,0.0019820000000000003,-0.007240999999999998
WJ_WK3DP3,601328,0.340197,0.33318400000000004,-0.0070129999999999915
WJ_WK3DP3,600176,-0.005507,-0.012194,-0.006687
WJ_WK3DP3,002714,0.073449,0.080046,0.006597000000000006
WJ_WK3DP3,601963,-0.008335,-0.001758,0.006577
WJ_WK3DP3,601665,-0.000297,-0.004844,-0.004547
WJ_WK3DP3,002841,0,-0.003953,-0.003953
WJ_WK3DP3,600016,-1.3000000000000001e-05,-0.0037300000000000002,-0.0037170000000000003
WJ_WK3DP3,600031,0.0028519999999999995,-0.000741,-0.0035929999999999994
WJ_WK3DP3,002833,0.000334,-0.002574,-0.002908
WJ_WK3DP3,600897,-0.04300099999999999,-0.040197000000000004,0.002803999999999987
WJ_WK3DP3,002966,-0.005198,-0.003405,0.0017930000000000003
WJ_WK3DP3,000661,0.000451,-0.001147,-0.001598
WJ_WK3DP3,002236,0,-0.001557,-0.001557
WJ_WK3DP3,601288,-0.0005859999999999999,-0.0020989999999999993,-0.0015129999999999994
WJ_WK3DP3,002024,0.013792999999999998,0.012289,-0.0015039999999999984
WJ_WK3DP3,000568,-0.041608,-0.042795,-0.0011870000000000006
WJ_WK3DP3,000858,-0.001462,-0.00032,0.001142
WJ_WK3DP3,603156,0.000942,-0.000184,-0.001126
WJ_WK3DP3,600066,-0.0073170000000000015,-0.006456999999999999,0.0008600000000000023
WJ_WK3DP3,601818,-0.002607,-0.001804,0.0008029999999999999
WJ_WK3DP3,600519,0.000692,0,-0.000692
WJ_WK3DP3,601825,-0.004502,-0.004037000000000002,0.00046499999999999753
WJ_WK3DP3,601916,-0.0004919999999999999,-3.5e-05,0.00045699999999999994
WJ_WK3DP3,000063,0,-0.000374,-0.000374
WJ_WK3DP3,000333,0.036804,0.036551,-0.0002530000000000032
WJ_WK3DP3,600036,-0.0046429999999999996,-0.004414,0.00022899999999999917
WJ_WK3DP3,000022,4.3e-05,0,-4.3e-05
WJ_WK3DP3,600000,-0.005595,-0.00558,1.5000000000000256e-05
WJ_WK3DP3,600690,0,-1.3e-05,-1.3e-05
WJ_WK3DP3,601857,0,-4e-06,-4e-06
WJ_WK3DP3,002142,-0.001321,-0.001317,3.99999999999988e-06
WJ_WK3DP3,603993,1e-06,4e-06,3e-06
WJ_WK3DP3,601658,0.0,2e-06,2e-06
WJ_WK3DP3,002807,0.0,1e-06,1e-06
WJ_WK3DP3,002948,0,0.0,0.0
WJ_WK3DP3,002839,0.0,0,0.0
WJ_WK3DP3,600926,0.0,0,0.0
WJ_FLAT,002466,-0.18778099999999998,-0.05667300000000003,0.13110799999999995
WJ_FLAT,000651,0.6874479999999998,0.556711,-0.13073699999999988
WJ_FLAT,600309,0.04563099999999999,0.15795,0.11231900000000002
WJ_FLAT,000338,0.6731839999999999,0.5773489999999999,-0.095835
WJ_FLAT,601225,0.37962999999999997,0.298962,-0.08066799999999996
WJ_FLAT,601166,0.07285100000000001,-0.0030480000000000004,-0.07589900000000001
WJ_FLAT,002532,0.092117,0.020090999999999998,-0.072026
WJ_FLAT,601229,0.050457,0.094274,0.043816999999999995
WJ_FLAT,601169,0.077455,0.120976,0.043521000000000004
WJ_FLAT,600919,0.064248,0.088386,0.024138000000000007
WJ_FLAT,000933,0.752016,0.731155,-0.02086100000000002
WJ_FLAT,600585,0.39278899999999994,0.4090990000000001,0.016310000000000158
WJ_FLAT,601009,0.000626,0.016509,0.015882999999999998
WJ_FLAT,000423,0,0.014631,0.014631
