arm,signal_date,exec_date,source,trigger,base_matched,base_amount,classification,source20,source60,min20,recovery_days,trigger20,trigger60,basket20,basket60,source_minus_basket20,source_minus_basket60,next_sale,next_sale_reason,next_source,reason,same_day_source_sale,gap,run,slope5,crosses,source_pv,trigger_pv,base_buy_basket
WJ_RF5,2025-03-24,2025-03-25,601229,000661,True,3807834.0,假摔,0.10180275715800646,0.17391304347826098,0.0010604453870626251,0,-0.14305694305694294,-0.006193806193806051,-0.1162107994912445,2.542706767561272e-05,0.21801355664925098,0.17388761641058537,2025-06-10,换仓·减一档：让位给002466,,chop:repeat-flat;gap=-0.00508;run=2;slope=-5.3430220132710815e-05;cross=4,False,-0.005076142131980821,2,-5.3430220132710815e-05,4,0.7997,0.6105,002466:3733912;000792:1676;601187:588
WJ_RF3,2025-03-24,2025-03-25,601229,000661,True,3807834.0,假摔,0.10180275715800646,0.17391304347826098,0.0010604453870626251,0,-0.14305694305694294,-0.006193806193806051,-0.1162107994912445,2.542706767561272e-05,0.21801355664925098,0.17388761641058537,2025-06-10,换仓·减一档：让位给002466,,chop:repeat-flat;gap=-0.00508;run=2;slope=-5.3430220132710815e-05;cross=4,False,-0.005076142131980821,2,-5.3430220132710815e-05,4,0.7997,0.6105,002466:3733912;000792:1676;601187:588
WJ_RF4,2025-03-24,2025-03-25,601229,000661,True,3807834.0,假摔,0.10180275715800646,0.17391304347826098,0.0010604453870626251,0,-0.14305694305694294,-0.006193806193806051,-0.1162107994912445,2.542706767561272e-05,0.21801355664925098,0.17388761641058537,2025-06-10,换仓·减一档：让位给002466,,chop:repeat-flat;gap=-0.00508;run=2;slope=-5.3430220132710815e-05;cross=4,False,-0.005076142131980821,2,-5.3430220132710815e-05,4,0.7997,0.6105,002466:3733912;000792:1676;601187:588
WJ_RF6,2025-03-24,2025-03-25,601229,000661,True,3807834.0,假摔,0.10180275715800646,0.17391304347826098,0.0010604453870626251,0,-0.14305694305694294,-0.006193806193806051,-0.1162107994912445,2.542706767561272e-05,0.21801355664925098,0.17388761641058537,2025-06-10,换仓·减一档：让位给002466,,chop:repeat-flat;gap=-0.00508;run=2;slope=-5.3430220132710815e-05;cross=4,False,-0.005076142131980821,2,-5.3430220132710815e-05,4,0.7997,0.6105,002466:3733912;000792:1676;601187:588
WJ_RF7,2025-03-24,2025-03-25,601229,000661,True,3807834.0,假摔,0.10180275715800646,0.17391304347826098,0.0010604453870626251,0,-0.14305694305694294,-0.006193806193806051,-0.1162107994912445,2.542706767561272e-05,0.21801355664925098,0.17388761641058537,2025-06-10,换仓·减一档：让位给002466,,chop:repeat-flat;gap=-0.00508;run=2;slope=-5.3430220132710815e-05;cross=4,False,-0.005076142131980821,2,-5.3430220132710815e-05,4,0.7997,0.6105,002466:3733912;000792:1676;601187:588
WJ_RF5S04,2025-03-24,2025-03-25,601229,000661,True,3807834.0,假摔,0.10180275715800646,0.17391304347826098,0.0010604453870626251,0,-0.14305694305694294,-0.006193806193806051,-0.1162107994912445,2.542706767561272e-05,0.21801355664925098,0.17388761641058537,2025-06-10,换仓·减一档：让位给002466,,chop:repeat-flat;gap=-0.00508;run=2;slope=-5.3430220132710815e-05;cross=4,False,-0.005076142131980821,2,-5.3430220132710815e-05,4,0.7997,0.6105,002466:3733912;000792:1676;601187:588
WJ_RF5S06,2025-03-24,2025-03-25,601229,000661,True,3807834.0,假摔,0.10180275715800646,0.17391304347826098,0.0010604453870626251,0,-0.14305694305694294,-0.006193806193806051,-0.1162107994912445,2.542706767561272e-05,0.21801355664925098,0.17388761641058537,2025-06-10,换仓·减一档：让位给002466,,chop:repeat-flat;gap=-0.00508;run=2;slope=-5.3430220132710815e-05;cross=4,False,-0.005076142131980821,2,-5.3430220132710815e-05,4,0.7997,0.6105,002466:3733912;000792:1676;601187:588
WJ_RF5X3,2014-09-17,2014-09-18,600660,600031,True,161352.0,假摔,0.034136546184738936,0.24297188755020072,0.010040160642570184,1,-0.0190972222222221,0.5121527777777779,-0.024944744524684755,0.28306168520335206,0.059081290709423695,-0.04008979765315135,2014-09-19,换仓·减一档：让位给600031,,chop:repeat-flat;gap=-0.01060;run=2;slope=0.0012345679012346622;cross=3,False,-0.010604192355114006,2,0.0012345679012346622,3,0.7442,0.5657,000933:161980;601088:6100;002128:778;601398:356
WJ_RF5X3,2024-03-28,2024-03-29,601988,000001,False,0,假摔,0.04318181818181799,0.06136363636363629,0.013636363636363447,1,0.025665399239543696,0.052186311787072226,0.09094811535810472,0.09493534676791456,-0.047766297176286734,-0.03357171040427827,2024-04-01,换仓·减一档：让位给000001,,chop:repeat-flat;gap=-0.01240;run=1;slope=-0.003930376193150065;cross=3,False,-0.012401352874861993,1,-0.003930376193150065,3,0.856,0.6328,000933:1387030;600176:1078;601916:299
WJ_RF5X3,2024-11-14,2024-11-15,601818,002236,False,0,假摔,0.07826086956521738,0.14318840579710135,0.020289855072463725,1,-0.05819209039548012,-0.020903954802259928,nan,nan,nan,nan,2025-02-25,换仓：让位给空间更大的002236,,chop:repeat-flat;gap=-0.00087;run=1;slope=-0.0034532374100719743;cross=5,False,-0.0008663008951782514,1,-0.0034532374100719743,5,0.8654,0.6282,
WJ_RF5X3,2024-11-15,2024-11-18,601818,002236,False,0,假摔,0.03611111111111098,0.09277777777777785,-0.022222222222222254,0,-0.02078384798099775,0.038598574821852694,nan,nan,nan,nan,2025-02-25,换仓：让位给空间更大的002236,,chop:repeat-flat;gap=-0.00289;run=2;slope=-0.004316546762589968;cross=5,False,-0.0028901734104052057,2,-0.004316546762589968,5,0.8629,0.6361,
WJ_RF5X3,2024-11-20,2024-11-21,600919,002236,False,0,假摔,0.028761061946902755,0.03829646017699129,-0.030973451327433565,0,-0.010005885815185245,0.054738081224249724,nan,nan,nan,nan,2025-02-21,换仓·减一档：让位给002236,,chop:repeat-flat;gap=-0.00006;run=1;slope=0.001888154606541903;cross=5,False,-5.5429299928744236e-05,1,0.001888154606541903,5,0.8304,0.6167,
