metric,date,base,candidate,delta
selection,2012-12-04,-0.06267766148773535,-0.06267766148773535,0.0
selection,2012-12-05,-0.6818149694276763,-0.6818149694276763,0.0
selection,2012-12-25,0.05616732530454027,0.05616732530454027,0.0
selection,2013-01-18,0.4399665459404529,0.4399665459404529,0.0
selection,2013-05-20,-0.02604481857017038,-0.02604481857017038,0.0
selection,2013-08-22,-0.23151831991197114,-0.23151831991197114,0.0
selection,2013-09-02,-0.23876571825617954,-0.23876571825617954,0.0
selection,2013-10-23,0.09260239671128445,0.09260239671128445,0.0
selection,2013-11-28,-0.25129096200562917,-0.25129096200562917,0.0
selection,2014-03-17,-0.06390892533705805,-0.06390892533705805,0.0
selection,2014-04-08,0.18399896796442783,0.18399896796442783,0.0
selection,2014-04-16,-0.069867568559831,-0.069867568559831,0.0
selection,2014-05-13,-0.2961756098586439,-0.2961756098586439,0.0
selection,2014-05-14,0.0012261631956312913,0.0012261631956312913,0.0
selection,2014-05-19,0.007291875770798484,0.007291875770798484,0.0
selection,2014-05-21,0.3008062790090217,0.3008062790090217,0.0
selection,2014-05-28,-0.36837084241613605,-0.36837084241613605,0.0
selection,2014-05-30,-0.1466326841091461,-0.1466326841091461,0.0
selection,2014-06-06,0.35651319230549694,0.35651319230549694,0.0
selection,2014-06-16,0.879005909669486,0.879005909669486,0.0
selection,2014-06-17,1.1084112116372316,1.1084112116372316,0.0
selection,2014-06-19,0.5280465365599627,0.5280465365599627,0.0
selection,2014-07-23,0.48924496319677413,0.48924496319677413,0.0
selection,2014-07-31,0.06689526377904009,0.06689526377904009,0.0
selection,2014-09-25,-0.15243264643850363,-0.15243264643850363,0.0
selection,2014-09-26,0.05056415243340917,0.05056415243340917,0.0
selection,2014-09-29,-0.06995229757098187,-0.06995229757098187,0.0
selection,2014-11-04,0.4668386283984409,0.4668386283984409,0.0
selection,2014-11-12,0.06261320640872126,0.06261320640872126,0.0
selection,2014-12-04,-0.4164215217656736,-0.4164215217656736,0.0
selection,2015-03-20,0.23906575416196862,0.23906575416196862,0.0
selection,2015-11-19,0.6432607336706572,0.6432607336706572,0.0
selection,2015-11-20,0.01899171213946016,0.01899171213946016,0.0
selection,2015-11-26,-0.16831932741716926,-0.16831932741716926,0.0
selection,2016-03-30,-0.2383920920334892,-0.2383920920334892,0.0
selection,2016-03-31,0.11214834950707331,0.11214834950707331,0.0
selection,2016-04-11,-1.1487278239895984,-1.1487278239895984,0.0
selection,2016-06-23,0.14161172894443563,0.14161172894443563,0.0
selection,2016-06-28,0.4250663582416213,0.4250663582416213,0.0
selection,2016-07-11,-0.011311107834209633,-0.011311107834209633,0.0
selection,2016-07-12,0.09503895748707203,0.09503895748707203,0.0
selection,2016-07-28,0.3734087739820344,0.3734087739820344,0.0
selection,2016-08-01,0.2627293730800335,0.2627293730800335,0.0
selection,2019-09-27,-0.16347529375139414,-0.16347529375139414,0.0
selection,2019-10-25,0.037572252256140914,0.037572252256140914,0.0
selection,2020-05-29,-0.066816357490318,-0.066816357490318,0.0
selection,2020-06-01,0.2688609521450336,0.2688609521450336,0.0
selection,2020-06-05,0.05493653646334479,0.05493653646334479,0.0
selection,2020-06-08,-0.1415177461916015,-0.1415177461916015,0.0
selection,2020-06-15,0.7248350211645663,0.7248350211645663,0.0
selection,2020-07-02,-0.012147862159480272,-0.012147862159480272,0.0
selection,2020-07-06,0.18981060726898796,0.18981060726898796,0.0
selection,2020-07-07,-0.07464248936292095,-0.07464248936292095,0.0
selection,2020-07-09,0.5265518034018986,0.5265518034018986,0.0
selection,2020-07-20,-0.07356363367833901,-0.07356363367833901,0.0
selection,2020-11-09,-0.06780450179160413,-0.06780450179160413,0.0
selection,2020-11-16,4.10968919635482,4.10968919635482,0.0
selection,2020-11-18,-0.0877661460832081,-0.0877661460832081,0.0
selection,2020-11-19,-2.2786000768056582,-2.2786000768056582,0.0
selection,2020-12-02,-0.03303241280085656,-0.03303241280085656,0.0
selection,2021-03-15,-0.16110418079244,-0.16110418079244,0.0
selection,2021-10-14,0.11393477147971126,0.11393477147971126,0.0
selection,2021-12-24,-0.2644167831992523,-0.2644167831992523,0.0
selection,2022-01-20,-0.31700160863862037,-0.31700160863862037,0.0
selection,2022-02-08,-0.21527414200577333,-0.21527414200577333,0.0
selection,2022-02-21,0.14612451799435944,0.14612451799435944,0.0
selection,2022-04-22,0.14877206975351953,0.14877206975351953,0.0
selection,2022-06-07,-0.5292866834153912,-0.5292866834153912,0.0
selection,2022-06-08,-0.009301137482118138,-0.009301137482118138,0.0
selection,2022-07-28,0.18748005517209465,0.18748005517209465,0.0
selection,2022-08-12,0.11950856866272375,0.11950856866272375,0.0
selection,2022-09-09,0.24673321993263975,0.24673321993263975,0.0
selection,2022-10-12,0.11748033313635786,0.11748033313635786,0.0
selection,2022-11-25,-0.8649677612683464,-0.8649677612683464,0.0
selection,2023-01-18,0.22005788886044386,0.22005788886044386,0.0
selection,2023-03-02,0.47275568736979157,0.47275568736979157,0.0
selection,2023-05-04,-0.1967068263422187,-0.1967068263422187,0.0
selection,2023-07-14,0.45855111340539967,0.45855111340539967,0.0
selection,2023-08-04,0.0018348871509004105,0.0018348871509004105,0.0
selection,2023-08-08,-0.45488778613876113,-0.45488778613876113,0.0
selection,2023-08-11,-0.15426770402954926,-0.15426770402954926,0.0
selection,2023-10-13,0.08263087266515767,0.08263087266515767,0.0
selection,2023-10-17,-0.11917213099962787,-0.11917213099962787,0.0
selection,2023-12-04,0.0435511571454108,0.0435511571454108,0.0
selection,2024-01-03,-0.34755900564333786,-0.34755900564333786,0.0
selection,2024-01-04,-0.6090546068400745,-0.6090546068400745,0.0
selection,2024-01-23,-0.004137496077978531,-0.004137496077978531,0.0
selection,2024-03-07,0.07444421900313691,0.07444421900313691,0.0
selection,2024-03-14,-0.2994586269126178,-0.2994586269126178,0.0
selection,2024-04-15,0.0703532934369191,0.0703532934369191,0.0
selection,2024-04-26,-0.23836486116119637,-0.23836486116119637,0.0
selection,2024-04-29,0.3629142457021455,0.3629142457021455,0.0
selection,2024-07-24,0.1294283118727907,0.1294283118727907,0.0
selection,2024-09-19,-0.23749752758396436,-0.23749752758396436,0.0
selection,2024-09-24,0.6081112569127096,0.6081112569127096,0.0
selection,2024-09-25,0.11399491881405366,0.11399491881405366,0.0
selection,2024-10-08,0.10022370383709178,0.10022370383709178,0.0
selection,2024-10-30,0.3568707908363511,0.3568707908363511,0.0
selection,2024-11-06,-0.30957492285343113,-0.30957492285343113,0.0
selection,2024-11-12,0.18328998426394594,0.18328998426394594,0.0
selection,2025-03-07,0.34461026545648465,0.34461026545648465,0.0
selection,2025-03-20,0.13911096527268463,0.13911096527268463,0.0
selection,2025-04-07,-0.23008068146175398,-0.23008068146175398,0.0
selection,2025-04-17,-0.2729743974098269,-0.2729743974098269,0.0
selection,2025-04-24,0.09930613213502149,0.044827148364166236,-0.05447898377085525
selection,2025-05-16,0.02397102104341986,0.02397102104341986,0.0
selection,2025-06-10,1.0743941956199772,0.9443599537174223,-0.13003424190255486
selection,2025-07-10,-0.07801367438184831,-0.3568841249336272,-0.2788704505517789
swap_direction,2012-03-07,0.18793023500711414,0.18793023500711414,0.0
swap_direction,2012-05-21,-0.1973018349199125,-0.1973018349199125,0.0
swap_direction,2012-05-25,0.07116655821212126,0.07116655821212126,0.0
swap_direction,2012-10-24,-0.774180638963014,-0.774180638963014,0.0
swap_direction,2013-01-14,-0.9229461359729958,-0.9229461359729958,0.0
swap_direction,2013-03-25,0.1820752290360702,0.1820752290360702,0.0
swap_direction,2013-08-07,0.16445781150830296,0.16445781150830296,0.0
swap_direction,2013-08-22,-0.7337996281039214,-0.7337996281039214,0.0
swap_direction,2013-08-30,-0.01702409375484426,-0.01702409375484426,0.0
swap_direction,2013-09-02,-0.0014673099519533217,-0.0014673099519533217,0.0
swap_direction,2013-09-03,-0.16888220341289795,-0.16888220341289795,0.0
swap_direction,2013-09-23,-0.2244864912150205,-0.2244864912150205,0.0
swap_direction,2013-09-30,-0.1835324472829445,-0.1835324472829445,0.0
swap_direction,2013-10-08,-0.1777110172494052,-0.1777110172494052,0.0
swap_direction,2013-10-09,-0.1953585161973963,-0.1953585161973963,0.0
swap_direction,2013-10-16,-0.27308450490364167,-0.27308450490364167,0.0
swap_direction,2013-10-23,0.22124117641686902,0.22124117641686902,0.0
swap_direction,2013-10-24,0.0778777263419067,0.0778777263419067,0.0
swap_direction,2013-10-25,-0.22404800507059597,-0.22404800507059597,0.0
swap_direction,2014-03-06,-0.345690611024847,-0.345690611024847,0.0
swap_direction,2014-03-07,-0.5083729333726803,-0.5083729333726803,0.0
swap_direction,2014-04-16,-0.2439889387122791,-0.2439889387122791,0.0
swap_direction,2014-04-22,-0.1413810032364069,-0.1413810032364069,0.0
swap_direction,2014-05-13,-0.4222921915330824,-0.4222921915330824,0.0
swap_direction,2014-05-14,-0.09717049105118503,-0.09717049105118503,0.0
swap_direction,2014-05-19,-0.2787500345426397,-0.2787500345426397,0.0
swap_direction,2014-05-21,-0.2919267887234178,-0.2919267887234178,0.0
swap_direction,2014-05-22,-0.3452123965625604,-0.3452123965625604,0.0
swap_direction,2014-05-23,-0.2702289891538667,-0.2702289891538667,0.0
