arm,signal_date,blocked,close,gap,run,cross,slope,complete
WJ_FLAT,2026-08-19,True,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_FLAT,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_FLAT,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_FS04,2026-08-19,True,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_FS04,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_FS04,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_FS06,2026-08-19,True,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_FS06,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_FS06,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_FX3,2026-08-19,True,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_FX3,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_FX3,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_FX5,2026-08-19,True,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_FX5,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_FX5,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_FD15,2026-08-19,True,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_FD15,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_FD15,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_FD25,2026-08-19,True,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_FD25,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_FD25,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_R3,2026-08-19,False,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_R3,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_R3,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_R5,2026-08-19,False,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_R5,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_R5,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_R10,2026-08-19,False,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_R10,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_R10,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_RF5,2026-08-19,False,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_RF5,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_RF5,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
WJ_RF10,2026-08-19,False,38.84,-0.010445859872609042,1,5,-0.003427700901358688,True
WJ_RF10,2026-08-21,True,39.07,-0.005232269480971996,1,7,-0.0011444411947965083,True
WJ_RF10,2026-08-24,True,38.83,-0.010713239321790025,2,7,-0.0001018991453206608,True
