code,date,entry_price,price_20,old_adjusted_return20,corrected_return20,corrected_class,flat_protected,amount
600585,2012-03-07,16.86,16.78,-0.08510638297872153,-0.00474495848161316,中间,False,141624
600309,2012-05-21,14.31,14.72,-0.11781609195402298,0.028651292802236217,假摔,False,137376
600897,2012-05-25,13.38,13.15,-0.03776063043835176,-0.017189835575485812,中间,False,136476
600309,2012-10-24,13.76,13.05,0.17617866004962734,-0.05159883720930225,走坏,False,112832
000022,2013-01-14,10.02,13.97,0.3942115768463075,0.3942115768463075,假摔,False,1002
600585,2013-03-25,17.82,18.31,0.21777777777777696,0.02749719416386065,假摔,False,147906
601398,2013-08-07,3.89,3.93,0.11001100110011008,0.010282776349614497,假摔,False,32676
600660,2013-08-22,7.35,7.8,-0.07200000000000006,0.061224489795918435,假摔,False,122010
600066,2013-08-30,17.3,18.62,-0.6000000000000005,0.07630057803468215,假摔,False,117640
600066,2013-09-02,17.87,18.29,-0.2576687116564397,0.02350307778399552,假摔,False,117942
600585,2013-09-03,15.94,15.26,-1.0967741935483848,-0.042659974905897124,中间,False,7970
600066,2013-09-23,18.97,17.17,3.396226415094314,-0.09488666315234562,走坏,False,125202
600066,2013-09-30,18.4,16.39,1.827272727272725,-0.1092391304347825,走坏,False,130640
600066,2013-10-08,18.62,16.58,2.318181818181826,-0.10955961331901198,走坏,False,130340
600066,2013-10-09,18.29,16.5,1.479338842975201,-0.0978676872607982,走坏,False,110472
601988,2013-10-16,2.8,2.78,-0.12128562765312334,-0.0071428571428571175,中间,False,2240
002024,2013-10-23,11.36,11.74,0.03483043079743364,0.033450704225352235,中间,False,131776
002024,2013-10-24,11.13,11.42,0.027153558052434468,0.02605570530098822,中间,False,35616
601988,2013-10-25,2.78,2.83,0.34506556245686903,0.017985611510791477,假摔,True,278
600897,2014-03-06,14.68,14.46,-0.028274000771108976,-0.014986376021798309,中间,False,120376
600897,2014-03-07,14.34,14.47,0.017470770057788076,0.009065550906555142,中间,False,90342
002304,2014-04-16,52.6,55.85,1.5049438563329636,0.06178707224334601,假摔,False,131500
601988,2014-04-22,2.63,2.67,-7.843137254901807,0.015209125475285079,假摔,False,1578
000651,2014-05-13,29.44,29.45,-0.07542457542457537,0.05129076086956519,假摔,False,132480
000651,2014-05-14,29.39,29.2,-0.06527154957648229,0.044572984008165895,假摔,False,132255
000651,2014-05-19,29.09,29.5,-0.0937653411880216,0.06565830182193189,假摔,False,130905
000651,2014-05-21,29.29,29.3,-0.07486365889935553,0.051553431205189515,假摔,False,131805
000651,2014-05-22,29.24,29.05,-0.06478733926805158,0.04480164158686728,假摔,False,128656
000651,2014-05-23,29.3,28.85,-0.05208333333333337,0.03583617747440271,假摔,False,128920
000651,2014-05-26,29.88,29.18,-0.04085801838610825,0.02677376171352086,假摔,False,134460
000858,2014-05-29,16.79,17.84,-0.06415079469088025,0.0625372245384157,假摔,False,92345
600660,2014-06-04,8.05,8.4,-0.06930693069306926,0.04347826086956519,假摔,False,132825
600660,2014-06-05,8.1,8.48,-0.07600000000000018,0.04691358024691361,假摔,False,135270
002304,2014-06-16,55.0,51.3,-0.3713851962112933,-0.03078816363636372,中间,False,137500
600188,2014-06-17,6.64,6.88,-0.04254274727971852,0.03915662650602414,假摔,False,133464
601288,2014-06-26,2.53,2.4,-1.2947658402203979,0.018577075098814344,假摔,False,253
601398,2014-07-10,3.45,3.52,0.3777657852131664,0.020289855072463725,假摔,False,1035
601988,2014-07-11,2.55,2.69,1.262398557258793,0.05490196078431375,假摔,True,1020
000651,2014-07-18,28.64,29.57,-0.04813664596273293,0.0324720670391061,假摔,False,134608
600188,2014-07-23,7.02,7.79,-0.13481572266479913,0.10968660968660982,假摔,False,4914
