JobID|State|Elapsed|MaxRSS|AllocCPUS
26411900|COMPLETED|00:12:31||64
26411900.batch|COMPLETED|00:12:31|43853096K|64
26411900.extern|COMPLETED|00:12:31||64
26411978|COMPLETED|00:08:15||64
26411978.batch|COMPLETED|00:08:15|53272528K|64
26411978.extern|COMPLETED|00:08:15||64
26411988|COMPLETED|00:09:40||64
26411988.batch|COMPLETED|00:09:40|31517924K|64
26411988.extern|COMPLETED|00:09:41||64
26411995|COMPLETED|00:01:33||32
26411995.batch|COMPLETED|00:01:33|11632249K|32
26411995.extern|COMPLETED|00:01:33||32
26412005|COMPLETED|00:01:56||32
26412005.batch|COMPLETED|00:01:56|352118K|32
26412005.extern|COMPLETED|00:01:56||32
