code,signal_date,classification,range20,ma20_over_ma60,ma60_slope5
601398,2013-08-27,中间,0.015424164524421524,0.0008726932164062617,-0.0006168900233992636
601398,2013-08-28,中间,0.01804123711340222,0.0010049224165826764,-0.0008721585711914948
601398,2013-09-05,中间,0.02067183462532296,0.0020970258036463463,-0.0005324972416642648
601398,2013-09-06,走坏,0.02067183462532296,0.002144011048263339,-0.00023437966095918306
600660,2014-10-13,假摔,0.06325301204819267,0.040946529840667045,0.016452503902966376
000858,2015-11-13,中间,0.15911923556294139,-0.045771405221782246,0.003703431642609667
601818,2021-03-08,中间,0.09547738693467345,0.021098431984237775,-0.0048202614379082576
601818,2021-03-22,走坏,0.05970149253731338,0.01631301361462012,0.0031580674267903674
600919,2022-10-14,中间,0.040983606557376984,0.034039894478641086,0.004416139828932852
601818,2024-11-14,假摔,0.0535714285714286,0.043124654852150446,0.008761268104932718
601818,2024-11-15,假摔,0.0535714285714286,0.0404971932638325,0.008644659016227907
600919,2024-11-20,假摔,0.05107832009080582,0.07129708438075322,0.013440051353031945
601229,2025-03-24,假摔,0.04824561403508776,0.02237963435064616,0.006063936979023632
601229,2025-07-21,走坏,0.07728557964184724,0.027482462977398203,0.0052022940236295945
002714,2026-08-19,牧原,0.058390320883745295,0.05010634834992711,0.0020620952049026364
002714,2026-08-21,牧原,0.058390320883745295,0.04888036284166519,0.0033184788496656292
002714,2026-08-24,牧原,0.058390320883745295,0.04785825839721913,0.0032649511908990902
