arm,code,base,candidate,delta
WJ_RF5,688516,0.528339,0.485476,-0.042862999999999984
WJ_RF5,002466,-0.18778099999999998,-0.15703899999999998,0.03074199999999999
WJ_RF5,601187,0.035086,0.025631,-0.009454999999999998
WJ_RF5,002001,-0.007454999999999996,0.0006690000000000029,0.008124
WJ_RF5,600970,-0.06285,-0.055593,0.0072570000000000065
WJ_RF5,601229,0.050457,0.056631,0.006173999999999999
WJ_RF5,601665,-0.000297,-0.006084,-0.005787
WJ_RF5,002648,0.080044,0.075316,-0.00472800000000001
WJ_RF5,002128,1.0304900000000001,1.026234,-0.0042560000000000375
WJ_RF5,601988,0.141347,0.139095,-0.002252000000000004
WJ_RF5,000001,0.015288000000000001,0.013379000000000002,-0.0019089999999999992
WJ_RF5,600919,0.064248,0.062829,-0.0014190000000000036
WJ_RF5,000651,0.6874479999999998,0.688755,0.0013070000000001691
WJ_RF5,600309,0.04563099999999999,0.04435499999999999,-0.0012759999999999994
WJ_RF5,002532,0.092117,0.093082,0.0009649999999999936
WJ_RF5,600938,0.030672,0.029744,-0.0009280000000000017
WJ_RF5,601166,0.07285100000000001,0.07205399999999999,-0.0007970000000000199
WJ_RF5,000933,0.752016,0.7513620000000001,-0.0006539999999999324
WJ_RF5,601963,-0.008335,-0.008888,-0.0005529999999999997
WJ_RF5,000792,-0.202873,-0.20319,-0.0003170000000000117
WJ_RF5,601169,0.077455,0.077267,-0.00018799999999999373
WJ_RF5,300059,0.099053,0.09887900000000001,-0.0001739999999999936
WJ_RF5,601328,0.340197,0.340029,-0.00016800000000000148
WJ_RF5,601825,-0.004502,-0.0046370000000000005,-0.00013500000000000057
WJ_RF5,601939,0.009222999999999999,0.009340999999999999,0.00011800000000000005
WJ_RF5,600036,-0.0046429999999999996,-0.00453,0.00011299999999999939
WJ_RF5,601998,-0.002862,-0.0028350000000000007,2.6999999999999247e-05
WJ_RF5,002966,-0.005198,-0.005175,2.300000000000045e-05
WJ_RF5,000661,0.000451,0.000467,1.600000000000001e-05
WJ_RF5,601009,0.000626,0.000639,1.299999999999999e-05
WJ_RF5,601838,-0.001525,-0.001518,7.000000000000062e-06
WJ_RF5,002142,-0.001321,-0.001327,-6.000000000000146e-06
WJ_RF5,601398,-0.001691,-0.001688,2.9999999999999645e-06
WJ_RF5,601288,-0.0005859999999999999,-0.000587,-1.0000000000000243e-06
WJ_RF5,002807,0.0,1e-06,1e-06
WJ_RF5,603993,1e-06,0,-1e-06
WJ_RF5,600897,-0.04300099999999999,-0.04300099999999999,0.0
WJ_RF5,601225,0.37962999999999997,0.37962999999999997,0.0
WJ_RF5,600926,0.0,0.0,0.0
WJ_RF5,600989,0,0.0,0.0
WJ_RF5,002024,0.013792999999999998,0.013792999999999998,0.0
WJ_RF5,601818,-0.002607,-0.002607,0.0
WJ_RF5,600176,-0.005507,-0.005507,0.0
WJ_RF5,000333,0.036804,0.036804,0.0
WJ_RF5,601088,1.065887,1.065887,0.0
WJ_RF5,002304,0.107149,0.107149,0.0
WJ_RF5,601658,0.0,0.0,0.0
WJ_RF5,600000,-0.005595,-0.005595,0.0
WJ_RF5,600031,0.0028519999999999995,0.0028519999999999995,0.0
WJ_RF5,000338,0.6731839999999999,0.6731839999999999,0.0
WJ_RF5,000858,-0.001462,-0.001462,0.0
WJ_RF5,600519,0.000692,0.000692,0.0
WJ_RF5,601916,-0.0004919999999999999,-0.0004919999999999999,0.0
WJ_RF5,600585,0.39278899999999994,0.39278899999999994,0.0
WJ_RF5,600188,-0.006021,-0.006021,0.0
WJ_RF5,000022,4.3e-05,4.3e-05,0.0
