arm,signal_date,exec_date,source,trigger,base_matched,base_amount,classification,source20,source60,min20,recovery_days,trigger20,trigger60,basket20,basket60,source_minus_basket20,source_minus_basket60,next_sale,next_sale_reason,next_source,reason,same_day_source_sale,gap,run,slope5,crosses,source_pv,trigger_pv,base_buy_basket
WJ_WK3DP3,2012-03-06,2012-03-07,600585,000022,True,141624.0,中间,-0.00474495848161316,-0.016607354685646558,-0.08125741399762743,18,-0.1090400745573159,-0.06616961789375586,-0.09284601377860374,-0.057367047737042834,0.08810105529699058,0.040759693051396276,2012-03-08,换仓：让位给空间更大的000022,,连续1日<3,False,-0.02323995681572677,1,0.015492917111451066,1,1.0467,0.8726,000338:51150;000651:2121
WJ_WK3DP3,2012-05-18,2012-05-21,600309,600660,True,137376.0,假摔,0.028651292802236217,-0.0950384346610762,-0.00908455625436766,0,-0.038724373576309756,-0.09908883826879267,-0.038724373576309756,-0.09908883826879267,0.06737566637854597,0.0040504036077164685,2012-06-25,跌破建仓日MA60止损,,连续1日<3,False,-0.008345952037189908,1,0.012804051644197179,3,0.9656,0.7263,600660:114140
WJ_WK3DP3,2012-05-21,2012-05-22,600897,600660,False,0,中间,-0.032376747608535705,-0.06916850625459892,-0.032376747608535705,1,-0.05011389521640086,-0.10592255125284722,-0.05011389521640086,-0.10592255125284722,0.017737147607865156,0.0367540449982483,2012-06-07,换仓·减一档：让位给002001,,连续1日<3,False,-0.019159911569640475,1,0.011102004321585701,3,1.0197,0.7271,600660:44778
WJ_WK3DP3,2012-05-24,2012-05-25,600897,600660,True,136476.0,中间,-0.017189835575485812,-0.05530642750373693,-0.017937219730941756,2,-0.007092198581560294,-0.08747044917257685,-0.024682651622002786,-0.10014104372355426,0.007492816046516974,0.044834616219817325,2012-06-07,换仓·减一档：让位给002001,,连续1日<3,False,-0.01014855125753944,1,0.006439197690770504,5,1.0312,0.7221,600309:87916
WJ_WK3DP3,2012-06-04,2012-06-05,600897,002001,False,0,中间,-0.015671641791044855,-0.07462686567164178,-0.0194029850746269,14,-0.07874720357941845,-0.10067114093959728,nan,nan,nan,nan,2012-06-07,换仓·减一档：让位给002001,,连续1日<3,False,-0.02377787623689409,1,-0.0021736727701432423,7,1.0128,0.8084,
WJ_WK3DP3,2012-06-05,2012-06-06,600897,002001,False,0,中间,-0.03808812546676621,-0.06721433905899932,-0.03808812546676621,13,-0.09049977487618177,-0.11031067086897794,nan,nan,nan,nan,2012-06-07,换仓·减一档：让位给002001,,连续2日<3,False,-0.009095614878356861,2,-0.00500331101464202,7,1.0266,0.8345,
WJ_WK3DP3,2012-10-23,2012-10-24,600309,600188,True,112832.0,走坏,-0.05159883720930225,0.16715116279069764,-0.06904069767441856,6,-0.07943416757344923,0.02611534276387384,0.01593130331619682,0.15788185224940213,-0.06753014052549908,0.009269310541295511,2012-11-12,跌破建仓日MA60止损,,连续1日<3,False,-0.004143345206080062,1,0.018735189573459765,2,0.9808,0.7031,000338:51480;600585:1623
WJ_WK3DP3,2013-08-21,2013-08-22,600660,000933,True,122010.0,假摔,0.061224489795918435,0.14557823129251712,-0.0054421768707483276,2,-0.04332755632582319,-0.11265164644714032,-0.04332755632582319,-0.11265164644714032,0.10455204612174163,0.25822987773965744,2013-08-26,换仓·减一档：让位给000933,,连续1日<3,False,-0.0007457121551039947,1,0.004494382022471877,2,0.6357,0.4404,000933:61739
WJ_WK3DP3,2013-08-22,2013-08-23,600660,000933,False,0,假摔,0.1737346101231192,0.1450068399452804,0.008207934336525335,1,-0.053448275862068906,-0.12586206896551722,nan,nan,nan,nan,2013-08-26,换仓·减一档：让位给000933,,连续2日<3,False,-0.0043348685992915525,2,0.005174291938998099,2,0.634,0.4307,
WJ_WK3DP3,2013-08-29,2013-08-30,600066,000338,True,117640.0,假摔,0.07630057803468215,0.010404624277456698,0.03294797687861273,1,0.034428794992175105,0.08972352634324454,-0.02256944444444442,-0.07118055555555558,0.09887002247912657,0.08158517983301228,2013-10-08,换仓·减一档：让位给600188,600585,连续1日<3,False,-0.013905734352527288,1,0.005131549104105071,4,0.8705,0.4754,000933:65664
