date,price_and_dividend_pnl,trade_price_pnl,costs,net_change,residual
2026-08-31,-12226.999999999836,0.0,635.1267469863013,-12862.126746986061,-7.639755494892597e-11
2026-09-01,47517.99999999973,0.0,183.47663828545933,47334.52336171456,-2.837623469531536e-10
2026-09-02,-69024.99999999987,0.0,181.0758334753,-69206.07583347522,4.3655745685100555e-11
2026-09-03,-9334.000000000102,0.0,370.9641469113867,-9704.964146911632,1.4370016288012266e-10
2026-09-04,85687.99999999996,0.0,291.3696396175096,85396.63036038307,-6.257323548197746e-10
2026-09-07,-32044.999999999978,0.0,695.6184577138465,-32740.618457714096,2.6921043172478676e-10
2026-09-08,-4651.999999999871,0.0,384.62184461898437,-5036.621844619047,1.9190338207408786e-10
2026-09-09,2499.999999999851,0.0,275.6406401947313,2224.359359805938,-8.185452315956354e-10
2026-09-10,-32498.99999999971,0.0,269.0423881867757,-32768.04238818679,3.055902197957039e-10
2026-09-11,-63676.00000000012,0.0,262.94306151354624,-63938.943061513826,1.6007106751203537e-10
2026-09-14,764.0000000000305,0.0,1160.3048686198558,-396.304868619889,6.366462912410498e-11
2026-09-15,-45143.00000000006,0.0,173.16839252124373,-45316.16839252133,2.9103830456733704e-11
2026-09-16,-20393.999999999898,0.0,173.15046696726722,-20567.150466967374,2.0736479200422764e-10
2026-09-17,-20350.00000000016,0.0,173.1670704367025,-20523.16707043629,-5.711626727133989e-10
2026-09-18,21622.40000000019,0.0,173.18367549825143,21449.21632450167,2.6921043172478676e-10
