date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2014-04-08,601988,买入,500,2.640,1320,0.8623,3.015,首次建仓,
2014-04-09,002304,买入,300,52.890,15867,0.6530,82.683,定投加仓,
2014-04-09,000858,买入,200,17.330,3466,0.7483,23.013,定投加仓,五粮液
2014-04-09,601988,买入,100,2.630,263,0.8756,3.015,定投加仓,
2014-04-10,002304,买入,300,53.660,16098,0.6397,82.683,定投加仓,
2014-04-10,601988,买入,100,2.670,267,0.8722,3.015,定投加仓,
2014-04-11,002304,买入,1700,52.960,90032,0.6490,82.683,定投加仓,
2014-04-11,601988,买入,200,2.680,536,0.8855,3.015,定投加仓,
2014-04-16,002304,卖出,2600,52.600,136760,,,换仓·减一档：让位给601088,
2014-04-16,601088,买入,3900,14.600,56940,0.4437,32.702,首次建仓,中国神华
2014-04-16,601398,买入,200,3.500,700,0.8594,4.026,首次建仓,工商银行
2014-04-29,601088,买入,1200,14.160,16992,0.4141,33.925,定投加仓,中国神华
2014-04-29,601988,买入,100,2.610,261,0.8689,3.015,定投加仓,
2014-05-06,601088,卖出,5100,13.790,70329,,,跌破建仓日MA60止损,中国神华
2014-05-06,002304,买入,300,55.700,16710,0.5792,96.382,定投加仓,
2014-05-06,000858,买入,100,17.060,1706,0.6774,25.302,定投加仓,五粮液
2014-05-06,601398,买入,300,3.400,1020,0.8233,4.154,定投加仓,工商银行
2014-05-12,002304,买入,300,56.090,16827,0.5705,96.382,定投加仓,
2014-05-12,000858,买入,100,17.150,1715,0.6683,25.302,定投加仓,五粮液
2014-05-12,601398,买入,300,3.480,1044,0.8306,4.154,定投加仓,工商银行
2014-05-13,000651,卖出,4600,29.440,135424,,,换仓·减一档：让位给601088,格力电器
2014-05-13,601088,买入,8300,14.440,119852,0.4357,33.925,首次建仓,中国神华
2014-05-14,000651,卖出,4500,29.390,132255,,,换仓·减一档：让位给002128,格力电器
2014-05-14,002128,买入,18600,7.250,134850,0.4011,18.750,首次建仓,电投能源
2014-05-14,601088,买入,5300,14.510,76903,0.4256,33.925,定投加仓,中国神华
2014-05-14,601398,买入,200,3.450,690,0.8330,4.154,定投加仓,工商银行
2014-05-19,000651,卖出,4500,29.090,130905,,,换仓·减一档：让位给000338,格力电器
2014-05-19,002128,买入,14400,6.940,99936,0.3733,18.750,定投加仓,电投能源
2014-05-20,002128,买入,1400,6.760,9464,0.3701,18.750,定投加仓,电投能源
2014-05-21,000651,卖出,4500,29.290,131805,,,换仓·减一档：让位给000338,格力电器
2014-05-21,002128,买入,18800,7.140,134232,0.3625,18.650,定投加仓,电投能源
2014-05-21,601088,买入,900,14.290,12861,0.4177,33.925,定投加仓,中国神华
2014-05-21,601398,买入,100,3.490,349,0.8354,4.154,定投加仓,工商银行
2014-05-21,601988,买入,100,2.660,266,0.8518,3.111,定投加仓,
2014-05-22,000651,卖出,4500,29.240,131580,,,换仓·减一档：让位给000338,格力电器
2014-05-22,002128,买入,15900,6.910,109869,0.3828,18.650,定投加仓,电投能源
2014-05-22,601939,买入,100,4.010,401,0.8400,4.762,首次建仓,建设银行
2014-05-23,000651,卖出,4500,29.300,131850,,,换仓·减一档：让位给000338,格力电器
2014-05-23,002128,买入,19400,6.850,132890,0.3705,18.650,定投加仓,电投能源
2014-05-23,601088,买入,300,14.370,4311,0.4218,33.925,定投加仓,中国神华
2014-05-23,600188,买入,100,6.960,696,0.5798,11.970,首次建仓,
2014-05-23,601939,买入,100,4.020,402,0.8421,4.762,定投加仓,建设银行
2014-05-26,000651,卖出,4500,29.880,134460,,,换仓·减一档：让位给000338,格力电器
2014-05-26,002128,买入,19700,6.940,136718,0.3673,18.650,定投加仓,电投能源
2014-05-26,601088,买入,3400,14.390,48926,0.4236,33.925,定投加仓,中国神华
2014-05-26,601939,买入,100,4.020,402,0.8442,4.762,定投加仓,建设银行
2014-05-28,002128,买入,7700,6.900,53130,0.3646,18.650,定投加仓,电投能源
2014-05-29,000858,卖出,5300,16.790,88987,,,换仓：让位给空间更大的000333,五粮液
2014-05-29,002128,买入,6600,6.690,44154,0.3700,18.650,定投加仓,电投能源
2014-05-30,002128,买入,600,6.760,4056,0.3587,18.650,定投加仓,电投能源
2014-06-06,002128,卖出,123100,6.560,807536,,,跌破建仓日MA60止损,电投能源
2014-06-06,601088,买入,9400,14.330,134702,0.4239,33.925,定投加仓,中国神华
2014-06-06,000333,买入,7700,17.500,134750,0.4451,39.291,首次建仓,美的集团
2014-06-06,000338,买入,7700,17.490,134673,0.5386,32.769,首次建仓,潍柴动力
2014-06-06,000792,买入,8800,15.160,133408,0.5659,27.090,首次建仓,盐湖股份
2014-06-06,600188,买入,20100,6.710,134871,0.5714,11.970,定投加仓,
2014-06-06,002304,买入,2400,53.950,129480,0.5733,96.382,定投加仓,
2014-06-06,600660,买入,3600,8.000,28800,0.6768,11.968,定投加仓,福耀玻璃
2014-06-06,000651,买入,200,29.450,5890,0.7630,40.786,定投加仓,格力电器
