signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2012-03-06,2012-03-07,600585,17.1900,17.5990,17.3305,0,0,1.0467,000022,0.8726,均线未下行,,8400
2012-03-07,2012-03-08,600585,16.8600,17.5845,17.4005,0,0,1.0266,000022,0.8653,均线未下行,,8400
2012-03-09,2012-03-12,600585,17.4200,17.5670,17.5200,0,0,1.0607,000022,0.9016,均线未下行,,8400
2012-05-18,2012-05-21,600309,14.0800,14.1985,14.0190,0,0,0.9656,600660,0.7263,均线未下行,,51900
2012-05-21,2012-05-22,600897,13.3100,13.5700,13.5210,0,0,1.0197,600660,0.7271,均线未下行,,30500
2012-10-23,2012-10-24,600309,13.7000,13.7570,13.5040,0,0,0.9808,600188,0.7031,均线未下行,,23500
2012-11-22,2012-11-23,601939,4.1500,4.2125,4.2095,0,0,1.0358,600660,0.5813,均线未下行,,27000
2012-11-23,2012-11-26,601939,4.1500,4.2135,4.2115,0,0,1.0358,600660,0.5813,均线未下行,,27000
2012-11-26,2012-11-27,601939,4.1600,4.2150,4.2130,0,0,1.0383,600660,0.5846,均线未下行,,27000
2012-11-30,2012-12-03,601939,4.1700,4.2150,4.2135,0,0,1.0328,600660,0.5862,均线未下行,,27100
2013-08-21,2013-08-22,600660,7.3700,7.3755,7.3425,0,0,0.6357,000933,0.4404,均线未下行,,148400
2013-08-23,2013-08-26,600660,7.3100,7.3840,7.3560,0,0,0.6305,000933,0.4329,均线未下行,,148400
2013-08-28,2013-08-29,600585,15.6800,15.8000,15.4335,0,0,0.7233,000933,0.4628,均线未下行,,400
2013-08-29,2013-08-30,600066,17.4800,17.7265,17.6360,0,0,0.8705,000933,0.4419,均线未下行,,38240
2013-08-30,2013-09-02,600066,17.3000,17.7130,17.6260,0,0,0.8616,000933,0.4300,均线未下行,,38240
2013-09-02,2013-09-03,600585,15.6900,15.8340,15.6475,0,0,0.7238,000933,0.4374,均线未下行,,400
2013-09-05,2013-09-06,600585,15.8000,15.9210,15.8155,0,0,0.7289,600031,0.4814,均线未下行,,400
2013-09-06,2013-09-09,600585,15.8100,15.9350,15.8185,0,0,0.7293,600031,0.4808,均线未下行,,400
2013-09-16,2013-09-17,600585,15.9800,15.9805,15.9335,0,0,0.7372,000338,0.5223,均线未下行,,400
2013-09-17,2013-09-18,600585,15.5800,15.9530,15.9245,0,0,0.7187,000338,0.5121,均线未下行,,400
2013-09-18,2013-09-23,600066,18.2800,18.3905,18.1645,0,0,0.9104,000338,0.5070,均线未下行,600585,38240
2013-09-27,2013-09-30,600066,18.3800,18.5965,18.3905,0,0,0.9154,600188,0.5498,均线未下行,,38240
2013-09-30,2013-10-08,600066,18.4000,18.6425,18.4430,0,0,0.9163,600188,0.5437,均线未下行,,38240
2013-10-08,2013-10-09,600066,18.6200,18.7085,18.5230,0,0,0.9273,600188,0.5457,均线未下行,,38240
2013-10-09,2013-10-10,600066,18.2900,18.7295,18.5565,0,0,0.9109,000338,0.5093,均线未下行,,38240
2013-10-15,2013-10-16,601988,2.7900,2.8060,2.7690,0,0,1.0168,000338,0.5128,均线未下行,,200
2013-10-16,2013-10-17,601988,2.8000,2.8035,2.7775,0,0,1.0204,600585,0.7363,均线未下行,,200
2013-10-17,2013-10-18,600066,17.4100,18.4085,18.6925,0,0,0.8670,600188,0.5575,冷却余8日,,30540
2013-10-18,2013-10-21,601988,2.8000,2.8015,2.7925,0,0,1.0204,000338,0.5203,均线未下行,,200
2013-10-21,2013-10-22,600066,17.7800,18.2585,18.6415,0,0,0.8855,000338,0.5231,冷却余6日,,30540
2013-10-22,2013-10-23,002024,12.4100,12.4655,11.5205,0,0,1.4270,000338,0.5139,均线未下行,,15400
2013-10-23,2013-10-24,002024,11.3600,12.5205,11.7510,0,0,1.3062,000338,0.5111,均线未下行,,15400
2013-10-24,2013-10-25,002024,11.1300,12.5445,11.9165,0,0,1.2798,000338,0.5136,均线未下行,601988,15400
2013-10-29,2013-10-30,002024,11.5400,12.4995,12.3115,0,0,1.3269,601988,1.0241,均线未下行,,15400
2013-11-15,2013-11-18,002024,10.4500,10.9625,11.6310,0,0,1.2092,600897,0.9022,冷却余10日,601988,2200
2013-11-18,2013-11-19,002024,10.8500,10.8665,11.4810,0,0,1.2555,600897,0.9184,冷却余9日,,2200
2014-02-20,2014-02-21,600066,18.4200,18.5715,18.2120,0,0,0.8691,002304,0.6496,均线未下行,,30540
2014-02-21,2014-02-24,600066,18.4600,18.5805,18.3430,0,0,0.8710,002304,0.6192,均线未下行,,30540
2014-02-24,2014-02-25,600066,17.5200,18.5770,18.4710,0,0,0.8266,002304,0.6252,均线未下行,,30540
2014-02-25,2014-02-26,600066,17.0900,18.5470,18.5385,0,0,0.8063,002304,0.5894,均线未下行,,30540
2014-02-27,2014-02-28,600066,17.5900,18.4575,18.5715,0,0,0.8299,002304,0.5938,冷却余10日,,23740
2014-02-28,2014-03-03,600066,18.1000,18.4530,18.5805,0,0,0.8540,002304,0.6164,冷却余9日,,23740
2014-03-04,2014-03-05,600066,17.5900,18.4595,18.5470,0,0,0.8299,002304,0.5950,冷却余7日,,23740
2014-03-05,2014-03-06,600066,17.3900,18.4210,18.5020,0,0,0.8205,002304,0.6265,冷却余6日,,23740
2014-03-06,2014-03-07,600066,17.3300,18.3905,18.4575,0,0,0.8177,002304,0.6350,冷却余5日,,23740
2014-03-07,2014-03-10,600066,17.6600,18.3730,18.4530,0,0,0.8332,002304,0.6246,冷却余4日,,23740
2014-03-11,2014-03-12,600066,17.0900,18.1475,18.4595,0,0,0.8063,002304,0.6132,冷却余2日,,23740
2014-04-15,2014-04-16,002304,52.4100,52.8710,52.7100,0,0,0.6053,601088,0.4437,均线未下行,,3700
