date,actual_epoch,actual_net_assets,actual_return_pct,missing_300_on_0831_return_pct,missing_300_on_0831_net_assets,missing_300_on_0828_return_pct,missing_300_on_0828_net_assets
2026-08-28,E1,2811530.99,0.0,0.0,2802617.34,0.0,2810738.34
2026-08-31,E1,2797796.21,-0.4885160451317039,-0.4589326756604617,2789755.213253014,-0.45158817476358415,2798045.3780330135
2026-09-01,E1,2801094.28,-0.3712109180770695,1.2300072551013619,2837089.7366147283,1.2187200686136102,2844993.372225797
2026-09-02,E1,2744620.28,-2.3798674187831215,-1.239330062046451,2767883.660781253,-1.2496212064673662,2775614.757645051
2026-09-03,E1,2750876.84,-2.1573352815862257,-1.5856122322306931,2758178.6966343415,-1.5912217414300933,2766013.2604392087
2026-09-04,E1,2780184.84,-1.1149139067465952,1.4614191673674837,2843575.3269947246,1.4477285552588093,2851430.201561787
2026-09-07,E1,2720585.36,-3.234736886183154,0.29320337171006017,2810834.7085370105,0.27760063291955017,2818540.967421552
2026-09-08,E1,2709775.94,-3.619204282717159,0.11349200788115521,2805798.0866923914,0.09294759724376433,2813350.853751839
2026-09-09,E1,2763474.84,-1.709252011481488,0.19285922394947086,2808022.4460521974,0.18456299596991688,2815925.922889179
2026-09-10,E2,2759382.59,-1.854804381864572,-0.9763350831187401,2775254.4036640106,-0.9828019141300826,2783114.3497932917
2026-09-11,E3,2697041.98,-4.072123352266521,-3.257736191609484,2711315.4606024968,-3.2610091776834826,2719079.9047719315
2026-09-14,E3,2717482.2,-3.3451094913949375,-3.2718767188574915,2710919.155733877,-3.277292831146361,2718622.2138808975
2026-09-15,E4,2669156.53,-5.063947739021735,-4.888799862297444,2665602.9873413555,-4.892230088018801,2673230.5532350396
2026-09-16,E4,2650850.83,-5.715041398138743,-5.62265496885892,2645035.836874388,-5.626295751937526,2652597.8881785003
2026-09-17,E4,2632343.18,-6.373317976480852,-6.354940706819723,2624512.669803952,-6.356306134524492,2632079.206469148
2026-09-18,E4,2660026.61,-5.388678998697449,-5.589612667976507,2645961.8861284535,-5.590115937103379,2653614.808105385
