group,arm,metric,level_median,base_level_median,paired_delta_median,positive_starts,negative_flips
full,MA60_1M10,年化,0.46647097224850886,0.4522173275500333,0.020813488498276356,8,0
full,MA60_1M10,最大回撤,0.4606375333035341,0.46234257954981917,0.0002379545941740835,7,0
full,MA60_1M10,Sharpe,1.0198586833007148,1.0162630653408953,0.0036221064897465904,7,0
full,MA60_1M10,Calmar,0.9603726931585119,0.9826680682561915,0.017870673552688066,7,0
full,MA60_1M10,平均仓位,1.5682352858219288,1.5750076773458161,-0.010983576264369965,3,0
full,MA60_1M10,年均换手,7.603202146902095,6.442062708227521,1.1780274369342845,13,0
full,MA60_1M10,持仓数中位,7.0,7.0,0.0,4,0
full,MA60_1M10,单票权重中位,0.6236095660394877,0.6282212248030954,-0.004940297909424629,3,0
full,MA60_1M10,单票权重P90,0.72229145888506,0.7294064572020779,-0.0012763872243459207,6,0
full,MA60_1M10,单票权重最大,0.860680140305945,0.917860452009332,-0.03651477061447422,0,0
full,MA60_1M10,前三权重中位,1.4039679989742353,1.4311572389585825,-0.02675454587897952,2,0
full,MA60_1M10,单票超60%天数占比,0.6557393079434077,0.6958091602579974,-0.029429573120067,2,0
full,MA60_1M10,滚动3年年化中位,0.48382212135561264,0.47045772367160477,0.00042653881326215615,7,0
full,MA60_1M10,滚动3年回撤中位,0.4423182547164676,0.42909517248183904,0.015498175862103947,14,0
full,MA60_1M10,滚动3年Calmar中位,1.0730703800283503,1.1553612522201917,-0.08215444756237456,2,0
full,MA60_1M10,滚动3年Sharpe中位,0.9944702040562319,1.0084958386776646,-0.0171563497189674,4,0
full,MA60_1M10,滚动3年为负的窗口占比,0.0,0.0,0.0,0,0
full,MA60_1M10,滚动5年年化中位,0.4892096631543894,0.503280507009283,0.008322167726904861,8,0
full,MA60_1M10,滚动5年年化P25,0.4098771975331873,0.4212344192134505,-0.02827821667208008,5,0
full,MA60_1M10,滚动5年年化最差,0.30715791101657286,0.2594033733764016,0.0005972299239188628,7,0
full,MA60_1M10,滚动5年回撤中位,0.4485495103605047,0.43893119595986746,0.008218577653716141,12,0
full,MA60_1M10,滚动5年Calmar中位,1.0707530223620303,1.1511262460601799,-0.06046136545629022,5,0
full,MA60_1M10,滚动5年Sharpe中位,1.029992524478561,1.0623193539646845,-0.016121546844014012,6,0
full,MA60_1M10,滚动5年为负的窗口占比,0.0,0.0,0.0,0,0
full,MA60_1M10,滚动5年窗口数,102.0,102.0,0.0,0,0
full,MA60_1M10,互不重叠5年块中位,0.6258231523026345,0.612813208179275,0.03747062980318183,10,0
full,MA60_1M10,滚动10年年化中位,0.4796017336357451,0.4852973371698348,0.0074226191669323205,7,0
full,MA60_1M10,滚动10年窗口数,42.0,42.0,0.0,0,0
full,MA60_1M10,逐年收益中位,0.4171483884809958,0.418879880907686,-0.05414073194349672,4,0
full,MA60_1M10,逐年为正比例,0.8153409090909092,0.8,0.0,3,0
full,MA60_1M10,逐年最差,-0.18201577789649204,-0.1660505656082219,-0.012922003334769727,4,0
full,MA60_1M10,完整自然年数,12.5,12.5,0.0,0,0
full,MA60_1M10,强平次数,0.0,0.0,0.0,0,0
full,MA60_1M10,最低担保比例,1.8561877097854524,1.8695022054402162,-0.015024846747001885,1,0
full,MA60_1M10,最低股票同跌缓冲,0.299639770390678,0.30462771323534105,-0.005644633446832387,1,0
full,MA60_1M10,最低总资产冲击缓冲,0.2996397703906781,0.30462771323534105,-0.005644633446832414,1,0
full,MA60_1M10,rf覆盖率,1.0,1.0,0.0,0,0
full,MA60_1M10,年化_交易日口径,0.468254762625796,0.4540042265768597,0.02092389727468702,8,0
full,MA60_1M10,最低担保比例日,20200323.0,20200323.0,0.0,5,0
full,MA60_1M10,最低股票同跌缓冲日,20200323.0,20200323.0,0.0,5,0
full,MA60_1M10,滚动5年年化最差窗口末日,20190878.5,20181228.0,0.0,6,0
full,MA60_1M10,最大回撤起日,20205512.5,20140317.5,89304.0,11,0
full,MA60_1M10,最大回撤止日,20205719.5,20145577.5,69698.0,12,0
full,MA60_1M10,末次净值日,20260828.0,20260828.0,0.0,0,0
full,MA60_1M10,最低现金,-1.4551915228366852e-11,-5.684341886080802e-14,0.0,6,0
full,MA60_1M10,负现金日数,0.0,0.0,0.0,0,0
full,MA60_1M10,最低现金日,20160315.5,20145812.5,0.0,5,0
