dose,excluded,n_excluded,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,negflips,P_positive,CAGR_positive,BASE_CAGR_level_pct,ARM_CAGR_level_pct
K1,002128,1,1.4678754799999971,-0.9938854110749684,2.217708471204294,-0.7752999530035665,0.6342293832787282,0,10,5,51.568589802004794,50.02982692916422
K3,000651/002128/601088,3,-4.225997209999999,-3.5332469826640733,-3.4859268366638885,-1.3147392410726488,-1.3201136240556077,0,0,0,48.421954385089215,45.52931062904707
K5,000338/000651/000933/002128/601088,5,-1.7959453650000012,-1.0247485129258438,1.2951899115012377,-0.25386425371345944,-0.11234774602683073,0,3,4,54.87056496624471,54.19857170296076
K10,000338/000651/000933/002128/002714/600585/600660/601088/601328/688516,10,-6.5521618,-3.327062302506223,-4.561615086727833,-0.4931662061803399,-0.4899111535083378,0,1,1,39.13638833345799,35.99169036017747
