arm,margin,verdict,reasons,U_group,U_reused_A,U_excellent,U_inferior,full_P_pp,full_CAGR_pp,full_P25_pp,full_DD5_pp,full_MDD_pp,full_worst5_pp,full_negflips,full_P_positive,full_CAGR_positive,full_turnover_delta,full_CAGR_level_pct,full_BASE_CAGR_level_pct,A_P_pp,A_CAGR_pp,A_P25_pp,A_DD5_pp,A_MDD_pp,A_worst5_pp,A_negflips,A_P_positive,A_CAGR_positive,A_turnover_delta,A_CAGR_level_pct,A_BASE_CAGR_level_pct,U_P_pp,U_CAGR_pp,U_P25_pp,U_DD5_pp,U_MDD_pp,U_worst5_pp,U_negflips,U_P_positive,U_CAGR_positive,U_turnover_delta,U_CAGR_level_pct,U_BASE_CAGR_level_pct
MA60_1M10,0.1,不采纳,主读数 -7.12pp < −1pp,U1,True,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -5.2236, ""beyond_limit"": true}, {""metric"": ""滚动5年年化P25"", ""delta"": -1.8564, ""beyond_limit"": true}, {""metric"": ""滚动5年Calmar中位"", ""delta"": -0.085, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.0645, ""beyond_limit"": true}, {""metric"": ""年化"", ""delta"": -3.5607, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""delta"": -0.0799, ""beyond_limit"": true}, {""metric"": ""Sharpe"", ""delta"": -0.0754, ""beyond_limit"": true}, {""metric"": ""互不重叠5年块中位"", ""delta"": -5.6095, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""delta"": -2.3183, ""beyond_limit"": true}, {""metric"": ""逐年收益中位"", ""delta"": -2.7513, ""beyond_limit"": true}]",-0.5286588099999989,2.0813488498276356,-2.827821667208008,0.8218577653716141,0.02379545941740835,0.059722992391886276,0,7,8,1.1780274369342845,46.64709722485089,45.22173275500333,-7.116916224999997,-3.560713827705031,-1.856416038346953,-0.028133699392185463,-0.05974929885854685,2.172614498809,0,3,3,1.2986719148908752,50.71076058601689,54.87056496624471,-7.116916224999997,-3.560713827705031,-1.856416038346953,-0.028133699392185463,-0.05974929885854685,2.172614498809,0,3,3,1.2986719148908752,50.71076058601689,54.87056496624471
MA60_1M11,0.11,不采纳,主读数 -3.47pp < −1pp,U1,True,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -4.8328, ""beyond_limit"": true}, {""metric"": ""滚动5年年化P25"", ""delta"": -0.22, ""beyond_limit"": false}, {""metric"": ""滚动5年Calmar中位"", ""delta"": -0.0329, ""beyond_limit"": false}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.0426, ""beyond_limit"": true}, {""metric"": ""年化"", ""delta"": -1.7097, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""delta"": -0.0406, ""beyond_limit"": true}, {""metric"": ""Sharpe"", ""delta"": -0.039, ""beyond_limit"": true}, {""metric"": ""互不重叠5年块中位"", ""delta"": -3.2148, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""delta"": -0.6775, ""beyond_limit"": false}]",0.4003323499999989,0.7077396521978363,-1.9161727965544606,1.4792161999860498,0.905504076992697,-0.5514521774567793,0,7,8,0.6469478583461976,46.141764192974286,45.22173275500333,-3.4684402050000007,-1.7097220285966053,-0.219977038694541,-0.028091953443409867,-0.019943812615513812,2.6825539374129903,0,4,4,0.7161497081920514,53.30970091523635,54.87056496624471,-3.4684402050000007,-1.7097220285966053,-0.219977038694541,-0.028091953443409867,-0.019943812615513812,2.6825539374129903,0,4,4,0.7161497081920514,53.30970091523635,54.87056496624471
MA60_1M12,0.12,不采纳,主读数 -1.73pp < −1pp,U1,True,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -1.7963, ""beyond_limit"": true}, {""metric"": ""滚动5年Calmar中位"", ""delta"": -0.023, ""beyond_limit"": false}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.015, ""beyond_limit"": false}, {""metric"": ""年化"", ""delta"": -0.64, ""beyond_limit"": false}, {""metric"": ""Calmar"", ""delta"": -0.0392, ""beyond_limit"": true}, {""metric"": ""Sharpe"", ""delta"": -0.0253, ""beyond_limit"": false}, {""metric"": ""互不重叠5年块中位"", ""delta"": -3.0846, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""delta"": -0.4244, ""beyond_limit"": false}]",-0.45095545500000167,0.27690106950968296,-0.20792430702265552,1.020178999764143,1.0379343749944037,0.1827458045814745,0,7,7,0.5962572200305476,48.89541770269358,45.22173275500333,-1.7347792449999981,-0.6400459174322082,0.12569454538707836,0.05103647163378078,0.1335265299625965,3.066716573540107,0,4,4,0.2630579097010748,53.56288400678174,54.87056496624471,-1.7347792449999981,-0.6400459174322082,0.12569454538707836,0.05103647163378078,0.1335265299625965,3.066716573540107,0,4,4,0.2630579097010748,53.56288400678174,54.87056496624471
MA60_1M13,0.13,报用户裁定,主读数两表反向（+3.57／-0.59）,U1,True,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -2.3801, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.0387, ""beyond_limit"": true}, {""metric"": ""最大回撤"", ""delta"": -0.3323, ""beyond_limit"": false}, {""metric"": ""Calmar"", ""delta"": -0.0205, ""beyond_limit"": false}, {""metric"": ""Sharpe"", ""delta"": -0.0165, ""beyond_limit"": false}, {""metric"": ""互不重叠5年块中位"", ""delta"": -1.4614, ""beyond_limit"": true}]",3.572084015000004,0.6322046303422701,0.8915125518858424,1.4966759812500952,2.557282913843506,-0.17596075563053315,0,8,8,-0.3291407201184118,49.14442477158889,45.22173275500333,-0.5902055199999978,-0.06958547988743513,1.3401509649022536,-0.1301729641294158,0.3322983557909942,3.133205285047369,0,6,6,-0.30104774257851163,53.915329455310776,54.87056496624471,-0.5902055199999978,-0.06958547988743513,1.3401509649022536,-0.1301729641294158,0.3322983557909942,3.133205285047369,0,6,6,-0.30104774257851163,53.915329455310776,54.87056496624471
MA60_1M14,0.14,不采纳,主读数 -2.14pp < −1pp,U1,True,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -2.2637, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.0308, ""beyond_limit"": false}, {""metric"": ""年化"", ""delta"": -1.2873, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""delta"": -0.0247, ""beyond_limit"": false}, {""metric"": ""Sharpe"", ""delta"": -0.0318, ""beyond_limit"": false}, {""metric"": ""互不重叠5年块中位"", ""delta"": -3.8173, ""beyond_limit"": true}]",3.920529365000003,2.772681432786428,0.6590524350290616,1.0677183290148329,0.2067027011448508,-0.16590988673702567,0,8,8,-0.3604131985095673,48.50681745830455,45.22173275500333,-2.136264824999995,-1.287270254804307,1.4057280351457702,-0.13708502470874406,-0.045930203421534754,3.060276475629786,0,4,5,-0.4070210891341066,53.514565194738175,54.87056496624471,-2.136264824999995,-1.287270254804307,1.4057280351457702,-0.13708502470874406,-0.045930203421534754,3.060276475629786,0,4,5,-0.4070210891341066,53.514565194738175,54.87056496624471
MA60_1M15,0.15,不采纳,主读数 -1.80pp < −1pp,U1,True,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -2.1946, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.0169, ""beyond_limit"": false}, {""metric"": ""年化"", ""delta"": -1.0247, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""delta"": -0.0314, ""beyond_limit"": false}, {""metric"": ""Sharpe"", ""delta"": -0.0299, ""beyond_limit"": false}, {""metric"": ""互不重叠5年块中位"", ""delta"": -3.8652, ""beyond_limit"": true}]",1.2651791799999978,1.2260214427760596,-0.34590587290109776,1.547445094227684,0.6382183625934124,-0.37891014366929765,0,8,8,-0.5422724209312042,46.73226361922943,45.22173275500333,-1.7959453650000012,-1.0247485129258438,1.2951899115012377,-0.25386425371345944,-0.11234774602683073,3.063208460348543,0,3,4,-0.5978343772232249,54.19857170296076,54.87056496624471,-1.7959453650000012,-1.0247485129258438,1.2951899115012377,-0.25386425371345944,-0.11234774602683073,3.063208460348543,0,3,4,-0.5978343772232249,54.19857170296076,54.87056496624471
MA60_1M16,0.16,不采纳,主读数 -1.58pp < −1pp,U1,True,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -1.2682, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.01, ""beyond_limit"": false}, {""metric"": ""年化"", ""delta"": -1.1499, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""delta"": -0.0287, ""beyond_limit"": false}, {""metric"": ""Sharpe"", ""delta"": -0.0236, ""beyond_limit"": false}, {""metric"": ""互不重叠5年块中位"", ""delta"": -3.9431, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""delta"": -0.4975, ""beyond_limit"": false}]",2.028405744999995,1.0515840962400436,0.33484706987237933,1.6331824804268869,1.0921544527293492,-0.4823622793108995,0,8,8,-0.6477968132272767,48.443997827049934,45.22173275500333,-1.578646265,-1.1499261831371732,0.7503885006919786,-0.44265133620167707,0.08311568954302295,2.485774688064124,0,3,3,-0.6105681977130488,53.319378161269704,54.87056496624471,-1.578646265,-1.1499261831371732,0.7503885006919786,-0.44265133620167707,0.08311568954302295,2.485774688064124,0,3,3,-0.6105681977130488,53.319378161269704,54.87056496624471
MA60_1M17,0.17,不采纳,复利读数 -1.18pp < −1pp,U2,False,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -3.5848, ""beyond_limit"": true}, {""metric"": ""滚动5年年化P25"", ""delta"": -1.5552, ""beyond_limit"": true}, {""metric"": ""滚动5年回撤中位"", ""delta"": -0.1641, ""beyond_limit"": false}, {""metric"": ""滚动5年Calmar中位"", ""delta"": -0.0593, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.0666, ""beyond_limit"": true}, {""metric"": ""年化"", ""delta"": -3.8242, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""delta"": -0.0716, ""beyond_limit"": true}, {""metric"": ""Sharpe"", ""delta"": -0.0603, ""beyond_limit"": true}, {""metric"": ""互不重叠5年块中位"", ""delta"": -7.7099, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""delta"": -0.8478, ""beyond_limit"": false}, {""metric"": ""逐年收益中位"", ""delta"": -5.7896, ""beyond_limit"": true}]",1.288829775,0.41902820542970565,-0.22211547331260073,2.46321714842328,1.8072680874321845,-0.8985776722135741,0,7,7,-0.8018549429006514,47.35326182539239,45.22173275500333,0.27047763499999933,-1.18126103644407,0.5386330530684602,0.10567526896935187,0.4779298570752266,1.7015804506668286,0,8,3,-0.5867686506264831,53.15351741725024,54.87056496624471,-4.420394085000002,-3.8242287869405756,-1.5551725950544881,0.1640525745926269,-0.4345332780583244,0.6890290805692922,0,2,1,-0.5277551458770344,48.18730567496433,52.47180584720855
MA60_1M18,0.18,不采纳,主读数 -3.69pp < −1pp,U2,False,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -4.1971, ""beyond_limit"": true}, {""metric"": ""滚动5年年化P25"", ""delta"": -2.644, ""beyond_limit"": true}, {""metric"": ""滚动5年回撤中位"", ""delta"": -0.2534, ""beyond_limit"": false}, {""metric"": ""滚动5年Calmar中位"", ""delta"": -0.0784, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.0701, ""beyond_limit"": true}, {""metric"": ""年化"", ""delta"": -4.3697, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""delta"": -0.0767, ""beyond_limit"": true}, {""metric"": ""Sharpe"", ""delta"": -0.0727, ""beyond_limit"": true}, {""metric"": ""互不重叠5年块中位"", ""delta"": -8.5941, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""delta"": -1.249, ""beyond_limit"": true}, {""metric"": ""逐年收益中位"", ""delta"": -4.9291, ""beyond_limit"": true}]",-3.6920862,-4.66355566482628,-3.9242225942053954,2.135262791719655,2.4480135818983784,-3.15058154915302,0,3,3,-0.8298847881752307,42.15298957500482,45.22173275500333,0.6106088050000014,-0.9886112380254497,0.9662888380153722,-0.03719724160343718,0.4700471279234286,2.4418353345710297,0,8,2,-1.0443069822811868,51.11152765605369,54.87056496624471,-6.336427190000002,-4.369732166614049,-2.644009027707639,0.2534014811510221,-0.3845090716935895,-0.09786870288355232,0,1,1,-1.3297824628137098,47.63911785331382,52.47180584720855
MA60_1M19,0.19,不采纳,主读数 -4.43pp < −1pp,U2,False,False,"[{""metric"": ""滚动5年年化中位"", ""delta"": -4.2875, ""beyond_limit"": true}, {""metric"": ""滚动5年年化P25"", ""delta"": -2.2, ""beyond_limit"": true}, {""metric"": ""滚动5年Calmar中位"", ""delta"": -0.0867, ""beyond_limit"": true}, {""metric"": ""滚动5年Sharpe中位"", ""delta"": -0.0742, ""beyond_limit"": true}, {""metric"": ""年化"", ""delta"": -7.24, ""beyond_limit"": true}, {""metric"": ""Calmar"", ""delta"": -0.1584, ""beyond_limit"": true}, {""metric"": ""Sharpe"", ""delta"": -0.1323, ""beyond_limit"": true}, {""metric"": ""互不重叠5年块中位"", ""delta"": -11.64, ""beyond_limit"": true}, {""metric"": ""滚动3年年化中位"", ""delta"": -1.078, ""beyond_limit"": true}, {""metric"": ""逐年收益中位"", ""delta"": -13.2247, ""beyond_limit"": true}]",-4.431821135,-7.572462845385386,-5.2238338476216395,1.9688038261756469,2.3352330192882964,-3.561026081731067,0,2,1,-1.4323732388845745,37.34943607509743,45.22173275500333,0.5302347699999987,-5.284971034227892,-0.19026792609756482,-0.11239788785281091,0.2629807029384479,1.8523437258423758,0,9,0,-1.4299262808679285,48.444712600928796,54.87056496624471,-5.661595869999999,-7.239979175338851,-2.1999529881725377,-0.3614216667594261,-0.3920933025879647,0.5379555353176801,0,1,0,-1.7229960744247252,42.216473977519556,52.47180584720855
