臂名,台账,计量版本,批次,起点数,行数,剔除赢家行数,策略示例
005,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.05_sp_lot100_lrc
010,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.1_sp_lot100_lrc
015,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.15_sp_lot100_lrc
017,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.17_sp_lot100_lrc
018,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.18_sp_lot100_lrc
019,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.19_sp_lot100_lrc
020,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.2_sp_lot100_lrc
022,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.22_sp_lot100_lrc
025,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.25_sp_lot100_lrc
030,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.3_sp_lot100_lrc
035,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.35_sp_lot100_lrc
040,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.4_sp_lot100_lrc
045,archive,m1,,23,23,0,trend_x1_w0.55_x1c_sma20_swap_corr0.85_tranche_sl0.5696_sp_lot100_lrc
050,archive,m1,,23,23,0,trend_x1_w-0.0893_x1c_sma20_swap_corr0.85_tranche_sl0.7894_sp_lot100_lrc
055,archive,m1,,23,23,0,trend_x1_w0.45_x1c_sma20_swap_corr0.85_tranche_sl0.5696_sp_lot100_lrc
06,archive,m1,,23,23,0,trend_x1_w-0.2_x1c_sma20_swap_corr0.85_tranche_sl1.4_bf0.6_sp_lot100_lrc
060,archive,m1,,23,23,0,trend_x1_w0.4_x1c_sma20_swap_corr0.85_tranche_sl0.453_sp_lot100_lrc
065,archive,m1,,23,23,0,trend_x1_w0.35_x1c_sma20_swap_corr0.85_tranche_sl0.5696_sp_lot100_lrc
07,archive,m1,,23,23,0,trend_x1_w-0.2_x1c_sma20_swap_corr0.85_tranche_sl1.4_bf0.7_sp_lot100_lrc
070,archive,m1,,23,23,0,trend_x1_w0.3_x1c_sma20_swap_corr0.85_tranche_sl0.5696_sp_lot100_lrc
075,archive,m1,,23,23,0,trend_x1_w0.0918_x1c_sma20_swap_corr0.85_tranche_sl0.6706_sp_lot100_lrc
07545,archive,m1,,23,23,0,trend_x1_w0.2455_x1c_sma20_swap_corr0.85_tranche_sl0.5696_sp_lot100_lrc
08,archive,m1,,23,23,0,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_bf0.8_sp_lot100_lrc
09,archive,m1,,23,23,0,trend_x1_w-0.2_x1c_sma20_swap_corr0.85_tranche_sl1.4_bf0.9_sp_lot100_lrc
