start,first_signal_date,return_1m,return_3m,return_6m,return_12m,return_36m
2010-01-01,2010-01-04,-0.0025323061766667765,0.014662711596666433,-0.015727807473333577,0.5058574645510732,0.2877528933587077
2010-04-01,2010-04-01,0.0,0.0,-0.019803690600166735,0.6112112539402674,0.2797638534550215
2010-07-01,2010-07-01,-6.705167999987438e-05,-0.019803690600166735,0.5295358270802673,0.6345446184169343,-0.044810293168441984
2010-10-01,2010-10-08,0.04873407353666681,0.03665200503666677,0.09728956203333294,-0.04537453451909401,-0.16209506808425533
2011-01-01,2011-01-04,0.0,0.012957899876666179,0.024053509663332973,-0.21359092673876778,-0.2082463089083082
2011-04-01,2011-04-01,-0.02164849801000024,0.025216712626666693,-0.1529855367472589,-0.2588751581947285,-0.36469475188564626
2011-07-01,2011-07-01,-0.023669091220895777,-0.0998136395216831,-0.13187749552732586,-0.27783764973112224,-0.2507825467925904
2011-10-01,2011-10-10,0.0,-0.03372677625999976,-0.11970814248101869,-0.2639626612742306,0.02693747734736185
2012-01-01,2012-01-04,0.0,-0.08986889907163942,-0.16807906211056067,-0.012391742780900605,0.5875577378383303
2012-04-01,2012-04-05,0.024308145316666918,-0.11224758653602596,-0.1879451163896909,-0.003024622651506381,0.852663884582537
2012-07-01,2012-07-02,-0.027335975626666675,-0.0819604207133331,0.1135082634091038,-0.2686348768052357,1.519157405761185
2012-10-01,2012-10-08,0.003101300839751575,0.2099582940306104,0.11656417872485725,-0.05082739581852125,1.3381378813556943
2013-01-01,2013-01-04,0.04846177517329475,-0.03444975149634144,-0.1424748267343775,0.037212552194350934,1.4714506508489262
2013-04-01,2013-04-01,-0.011443806809346535,0.006887907348358979,0.03774582066713372,-0.23662751565094475,0.4820709767843554
2013-07-01,2013-07-01,-0.05573381922380749,0.09016264848494271,0.09852365102602922,-0.1267640465060874,0.3465640216866026
2013-10-01,2013-10-08,-0.03772623051819657,0.0176178467745709,-0.24378823878980416,-0.020585707809580023,0.7616407615377865
2014-01-01,2014-01-02,-0.010428124696666208,-0.09297567249205119,-0.03600294901377199,0.8639878728820656,0.9367458809285876
2014-04-01,2014-04-01,-0.0004924991145655033,-0.042176262135780074,0.26348358791640103,0.9841207964742531,1.57698183620036
2014-07-01,2014-07-01,0.1970071522902177,0.22341554305641198,0.8773489292666303,1.5481036004301583,2.333701338120047
2014-10-01,2014-10-08,0.0024569824071984936,0.5843833776647129,0.6895970861427241,0.974825984200115,2.768675468695751
2015-01-01,2015-01-05,-0.12440938419002479,0.049084718201858335,0.2823921142482926,0.26561141851942494,1.838495543758663
2015-04-01,2015-04-01,0.11304860378676707,0.145741960421506,0.10768606276483927,-0.20900523827320217,2.24551745808436
2015-07-01,2015-07-01,0.0,0.0,0.06603459222063446,-0.36268261503538446,1.9325227591558392
2015-10-01,2015-10-08,0.0005101252899999409,0.06603459222063446,-0.28289551422723946,-0.17731290337986128,1.9758075996237485
2016-01-01,2016-01-04,-0.007503938696666768,-0.00018929940210998808,-0.13462393710192655,0.1815433353294278,1.6944153150278942
2016-04-01,2016-04-01,-0.026711529731903383,-0.08850259290410145,0.14637940667333194,0.643188396879897,4.021933201049409
2016-07-01,2016-07-01,0.08084977954951844,0.10391239274185393,0.17171262277397314,0.9304586531939656,3.8365473042641636
2016-10-01,2016-10-10,0.05665824618474136,0.08031054211129884,0.4606863117111115,1.1244945042151677,3.229447251460784
2017-01-01,2017-01-03,0.036322707401633014,0.17930206984702846,0.5895758542244665,1.2963018208039987,5.112272851045218
2017-04-01,2017-04-05,-0.01674259445843973,0.20918382662610724,0.30371983312252104,0.9611285930457212,1.8602693650228792
2017-07-01,2017-07-03,0.022804342926666887,0.2687757074129764,0.8005104259351572,1.1889901977741264,2.326254093054627
2017-10-01,2017-10-09,0.08680913577352634,0.1734413968089783,0.32953517817917555,0.4663621086125269,1.500446881935836
2018-01-01,2018-01-02,-0.011145497499999935,-0.05341637908666674,-0.14524452756596107,-0.3372851625118597,0.7279589819553556
