group,months,count,mean,median,p10,p25,p75,positive_count,zero_count,positive_share,worst,worst_start,best,best_start
all_available,1,67,0.0057360742226658075,-0.0008873265600000124,-0.0538446978339105,-0.02702375267928503,0.035712770720114695,25,6,0.373134328358209,-0.12492879676965218,2020-01-01,0.2613974723095067,2026-01-01
all_available,3,66,0.04548609571084971,0.013810305736666306,-0.10769144735185099,-0.06624895388072174,0.10322093106444985,36,2,0.5454545454545454,-0.379114753090368,2020-01-01,0.5843833776647129,2014-10-01
all_available,6,65,0.13068822333816163,0.08088422834755615,-0.17546974882240976,-0.11970814248101869,0.30371983312252104,42,0,0.6461538461538462,-0.3901557631896104,2020-01-01,0.8773489292666303,2014-07-01
all_available,12,63,0.3569632683188597,0.1815433353294278,-0.23202019786850936,-0.09101467147517861,0.7751109141172379,39,0,0.6190476190476191,-0.36268261503538446,2015-07-01,2.0385007461987237,2025-04-01
all_available,36,55,1.6091565143304856,1.500446881935836,0.1280680277904258,0.7242365631511857,2.3299777155873374,50,0,0.9090909090909091,-0.36469475188564626,2011-04-01,5.112272851045218,2017-01-01
same_starts_with_36m,1,55,-0.0017389347314598674,-0.0025323061766667765,-0.054474404963876163,-0.029278379273626864,0.023279634868333288,18,6,0.32727272727272727,-0.12492879676965218,2020-01-01,0.1970071522902177,2014-07-01
same_starts_with_36m,3,55,0.032750770032305476,0.0,-0.10375438959647613,-0.07134621288383136,0.08886088883806476,27,2,0.4909090909090909,-0.379114753090368,2020-01-01,0.5843833776647129,2014-10-01
same_starts_with_36m,6,55,0.10523857199250408,0.06603459222063446,-0.17546974882240976,-0.12579281900417227,0.26767970075230485,34,0,0.6181818181818182,-0.3901557631896104,2020-01-01,0.8773489292666303,2014-07-01
same_starts_with_36m,12,55,0.3147889681397256,0.1815433353294278,-0.249976101177215,-0.0994231819566953,0.7127043218424765,33,0,0.6,-0.36268261503538446,2015-07-01,1.5481036004301583,2014-07-01
same_starts_with_36m,36,55,1.6091565143304856,1.500446881935836,0.1280680277904258,0.7242365631511857,2.3299777155873374,50,0,0.9090909090909091,-0.36469475188564626,2011-04-01,5.112272851045218,2017-01-01
