security_code,security_name,reference_score,source
000063,中兴通讯,66,维持
000333,美的集团,78,维持
000338,潍柴动力,71,维持
000408,藏格矿业,70,维持
000423,东阿阿胶,75,维持
000425,徐工机械,66,维持
000426,兴业银锡,66,新增
000538,云南白药,75,维持
000568,泸州老窖,83,维持
000651,格力电器,71,维持
000786,北新建材,75,维持
000792,盐湖股份,74,维持
000858,五 粮 液,84,维持
000893,亚钾国际,66,维持
000895,双汇发展,70,维持
000933,神火股份,72,维持
000951,中国重汽,70,维持
000975,山金国际,66,新增
000999,华润三九,75,维持
002001,新和成,76,维持
002027,分众传媒,73,维持
002032,苏泊尔,73,维持
002050,三花智控,76,维持
002128,电投能源,70,维持
002130,沃尔核材,70,维持
002138,顺络电子,70,维持
002142,宁波银行,68,维持
002158,汉钟精机,72,维持
002179,中航光电,77,维持
002222,福晶科技,74,维持
002223,鱼跃医疗,70,维持
002262,恩华药业,75,维持
002270,华明装备,77,维持
002273,水晶光电,69,维持
002311,海大集团,68,维持
002352,顺丰控股,73,维持
002371,北方华创,80,维持
002372,伟星新材,74,维持
002379,宏桥控股,74,新增
002409,雅克科技,70,维持
002415,海康威视,78,维持
002463,沪电股份,70,维持
002466,天齐锂业,66,维持
002475,立讯精密,68,维持
002484,江海股份,70,维持
002532,天山铝业,68,维持
002568,百润股份,72,新增
002594,比亚迪,76,维持
002595,豪迈科技,76,维持
002648,卫星化学,68,维持
002683,广东宏大,73,维持
002690,美亚光电,75,维持
002714,牧原股份,70,维持
002837,英维克,72,维持
002906,华阳集团,68,维持
002916,深南电路,68,维持
002920,德赛西威,71,维持
002938,鹏鼎控股,70,维持
300015,爱尔眼科,68,维持
300033,同花顺,72,维持
300059,东方财富,73,维持
300124,汇川技术,77,维持
300274,阳光电源,76,维持
300308,中际旭创,68,维持
300316,晶盛机电,67,维持
300346,南大光电,68,维持
300357,我武生物,73,维持
300360,炬华科技,68,维持
300394,天孚通信,70,维持
300408,三环集团,70,维持
300415,伊之密,69,维持
300435,中泰股份,68,维持
300470,中密控股,73,维持
300476,胜宏科技,68,维持
300487,蓝晓科技,74,维持
300502,新易盛,70,维持
300529,健帆生物,70,维持
300573,兴齐眼药,71,维持
300604,长川科技,66,维持
300627,华测导航,71,维持
300628,亿联网络,70,维持
300661,圣邦股份,64,维持
300685,艾德生物,72,维持
300699,光威复材,75,维持
300750,宁德时代,88,维持
300760,迈瑞医疗,79,维持
300776,帝尔激光,68,维持
300811,铂科新材,73,维持
300832,新产业,74,维持
300866,安克创新,72,维持
300896,爱美客,76,维持
300910,瑞丰新材,72,维持
301498,乖宝宠物,70,维持
301589,诺瓦星云,74,维持
600031,三一重工,66,维持
600036,招商银行,70,维持
600066,宇通客车,75,维持
600085,同仁堂,73,维持
600132,重庆啤酒,73,维持
600160,巨化股份,75,维持
600176,中国巨石,66,维持
600183,生益科技,70,维持
600276,恒瑞医药,74,维持
600285,羚锐制药,71,维持
600298,安琪酵母,75,维持
600309,万华化学,82,维持
600406,国电南瑞,74,维持
600415,小商品城,78,维持
600426,华鲁恒升,68,维持
600436,片仔癀,79,维持
600486,扬农化工,64,维持
600519,贵州茅台,90,维持
600563,法拉电子,76,维持
600570,恒生电子,68,维持
600600,青岛啤酒,74,维持
600660,福耀玻璃,80,维持
600690,海尔智家,74,维持
600750,华润江中,71,维持
600809,山西汾酒,78,维持
600862,中航高科,76,维持
600885,宏发股份,74,维持
600887,伊利股份,76,维持
600900,长江电力,87,维持
600938,中国海油,76,维持
600970,中材国际,72,维持
600988,赤峰黄金,68,新增
600989,宝丰能源,72,维持
600993,马应龙,71,维持
601088,中国神华,76,维持
601100,恒立液压,76,维持
601138,工业富联,68,新增
601225,陕西煤业,72,维持
601899,紫金矿业,78,维持
601958,金钼股份,71,维持
601965,中国汽研,72,维持
603067,振华股份,73,维持
603129,春风动力,71,维持
603156,养元饮品,67,维持
603195,公牛集团,77,维持
603259,药明康德,80,维持
603279,景津装备,72,维持
603288,海天味业,78,维持
603501,豪威集团,67,维持
603505,金石资源,75,维持
603508,思维列控,72,新增
603529,爱玛科技,70,维持
603556,海兴电力,70,维持
603993,洛阳钼业,72,维持
605305,中际联合,70,维持
605499,东鹏饮料,76,维持
688008,澜起科技,74,维持
688012,中微公司,74,维持
688018,乐鑫科技,72,维持
688019,安集科技,75,维持
688072,拓荆科技,70,维持
688082,盛美上海,74,维持
688100,威胜信息,71,维持
688111,金山办公,76,维持
688120,华海清科,76,维持
688122,西部超导,76,维持
688188,柏楚电子,75,维持
688190,云路股份,73,维持
688200,华峰测控,66,维持
688208,道通科技,70,维持
688256,寒武纪,70,维持
688278,特宝生物,72,维持
688300,联瑞新材,72,维持
688301,奕瑞科技,74,维持
688516,奥特维,63,维持
688617,惠泰医疗,74,维持
688630,芯碁微装,68,维持
688692,达梦数据,72,维持
688708,佳驰科技,74,维持
689009,九号公司,71,维持
920394,民士达,71,维持
920982,锦波生物,75,维持
