group,months,count,mean,median,p10,p25,p75,positive_count,zero_count,positive_share,worst,worst_start,best,best_start
all_available,1,201,0.009862737173803144,0.0,-0.06388597936546092,-0.031220782920587054,0.037650528385931636,89,17,0.4427860696517413,-0.14911724388145986,2026-06-01,0.28788794613053104,2024-09-01
all_available,3,199,0.055460899682349005,0.01137135369666642,-0.12212787736018935,-0.053475841157823,0.15992488939287486,106,3,0.5326633165829145,-0.379114753090368,2020-01-01,0.6535789158935656,2025-08-01
all_available,6,196,0.14220267542469994,0.0953666611816747,-0.18686587667554944,-0.08391884799160568,0.30544999908662307,124,0,0.6326530612244898,-0.3901557631896104,2020-01-01,1.78563270014347,2025-08-01
all_available,12,190,0.3510437336701076,0.239392106069939,-0.21541157301446762,-0.08095192845570343,0.6468162409722588,125,0,0.6578947368421053,-0.3741363506070492,2015-06-01,2.2703512473982075,2025-02-01
all_available,36,166,1.5897774810165815,1.456459466970981,0.03714882613955284,0.6990550453826895,2.3517587648586904,153,0,0.9216867469879518,-0.3667375687341582,2011-03-01,5.814884160148052,2023-02-01
same_starts_with_36m,1,166,0.004298431022140274,0.0,-0.0649874882037555,-0.036390521787743324,0.028769333513665174,68,17,0.40963855421686746,-0.14486663241873077,2012-03-01,0.28529891729610446,2014-12-01
same_starts_with_36m,3,166,0.04072771081956531,0.0,-0.12599097675416165,-0.0558862378862022,0.12301509105572395,82,3,0.4939759036144578,-0.379114753090368,2020-01-01,0.5843833776647129,2014-10-01
same_starts_with_36m,6,166,0.10914525465999325,0.0756566145466292,-0.19107297477746366,-0.11159758622558699,0.2893344761491926,100,0,0.6024096385542169,-0.3901557631896104,2020-01-01,1.1068737292970119,2014-11-01
same_starts_with_36m,12,166,0.2976957059607937,0.1951875798301902,-0.23137452968973898,-0.10084599647078657,0.6287112772977677,104,0,0.6265060240963856,-0.3741363506070492,2015-06-01,1.6164259748324818,2014-06-01
same_starts_with_36m,36,166,1.5897774810165815,1.456459466970981,0.03714882613955284,0.6990550453826895,2.3517587648586904,153,0,0.9216867469879518,-0.3667375687341582,2011-03-01,5.814884160148052,2023-02-01
