code,month_samples,spearman,rho_ci_low,rho_ci_high,cold_months,hot_months,cold_minus_hot,gap_ci_low,gap_ci_high,bootstrap_valid_gap,bootstrap_valid_rho,effective_nonoverlap_blocks
000300,188,-0.166247663463853,-0.4777535740245895,0.08044187938336377,22,15,0.16457000130666544,0.02088139109469878,0.34800810293677165,997,1000,15.666666666666666
600519,208,0.1937959117681975,-0.11488414283218548,0.4174809069682248,18,19,-0.03504928572793353,-0.628010823592205,0.36541562279366485,997,1000,17.333333333333332
000651,191,-0.3880111310627773,-0.6637500393429099,-0.21877366350019797,21,7,-0.41876651327598724,-0.7657573264311963,0.9158209805036913,900,1000,15.916666666666666
300750,26,0.094017094017094,-0.3468495048316851,0.2426559294333718,5,0,,,,0,1000,2.1666666666666665
300308,91,-0.07806365817623753,-0.3866685228116478,0.21091117211052757,12,4,0.8355191292854317,-0.5888774223329863,2.2464697281141084,796,1000,7.583333333333333
600036,198,-0.027222258296745783,-0.30415039890553763,0.28415953029714697,24,16,-0.05195768304725157,-0.18353112537811844,0.13089814607104172,993,1000,16.5
601318,160,-0.20624970706959356,-0.4542600097995757,0.060054770617059106,20,14,0.27114856548169364,-0.14766419762545785,0.36481908799617185,998,1000,13.333333333333334
