signal,year,N,mean20,win20,excess20,excess_win20,days_with_signal
"vol_down(r=-0.05,k=2)",2005,1277,0.017439458519220352,0.566953797963978,0.0008420302183367312,0.48707909162098667,187
"vol_down(r=-0.05,k=2)",2006,448,0.062303248792886734,0.5803571428571429,-0.007983745075762272,0.41517857142857145,141
"vol_down(r=-0.05,k=2)",2007,521,0.13685055077075958,0.7677543186180422,-0.005080129951238632,0.40307101727447214,117
"vol_down(r=-0.05,k=2)",2008,1827,-0.006896660663187504,0.5292829775588396,-0.005911778658628464,0.4126984126984127,186
"vol_down(r=-0.05,k=2)",2009,468,0.032316550612449646,0.5341880341880342,-0.03264212980866432,0.2799145299145299,121
"vol_down(r=-0.05,k=2)",2010,579,0.011947165243327618,0.5250431778929189,6.330115866148844e-05,0.44041450777202074,136
"vol_down(r=-0.05,k=2)",2011,832,-0.00613720016553998,0.4651442307692308,-0.0028589428402483463,0.44591346153846156,159
"vol_down(r=-0.05,k=2)",2012,1628,0.018329009413719177,0.5024570024570024,-0.004660988226532936,0.4226044226044226,181
"vol_down(r=-0.05,k=2)",2013,1694,0.028740761801600456,0.5708382526564345,0.005839042831212282,0.46221959858323497,208
"vol_down(r=-0.05,k=2)",2014,1650,0.025217648595571518,0.536969696969697,-0.006009685806930065,0.39515151515151514,207
"vol_down(r=-0.05,k=2)",2015,1043,0.03177819773554802,0.5704697986577181,-0.013085169717669487,0.36433365292425696,175
"vol_down(r=-0.05,k=2)",2016,1275,0.014116152189671993,0.5050980392156863,-0.017419392243027687,0.35764705882352943,202
"vol_down(r=-0.05,k=2)",2017,2109,-0.015251487493515015,0.4613560929350403,-0.011971798725426197,0.40018966334755807,227
"vol_down(r=-0.05,k=2)",2018,5687,0.004655580036342144,0.4946368911552664,-0.003505185479298234,0.43221382099525235,236
"vol_down(r=-0.05,k=2)",2019,4076,0.013981124386191368,0.4585377821393523,-0.016886597499251366,0.3469087340529931,241
"vol_down(r=-0.05,k=2)",2020,5417,0.007618720177561045,0.46335610116300535,-0.014368063770234585,0.36570057227247554,240
"vol_down(r=-0.05,k=2)",2021,5278,0.019570065662264824,0.49014778325123154,-0.003911878913640976,0.39901477832512317,243
"vol_down(r=-0.05,k=2)",2022,6781,-0.0014674464473500848,0.4525881138475151,-0.013224015943706036,0.38902816693702996,242
"vol_down(r=-0.05,k=2)",2023,5529,-0.010198798030614853,0.42901067100741547,-0.010424813255667686,0.40567914631940677,242
"vol_down(r=-0.05,k=2)",2024,13664,0.08136525750160217,0.6357581967213115,-0.00012410663475748152,0.40807962529274006,240
"vol_down(r=-0.05,k=2)",2025,6252,0.031366024166345596,0.5351887396033269,-0.020129447802901268,0.32741522712731924,243
