signal,H,N,days,dw_mean,dw_excess,mean,median,win,p_ge_2,p_ge_5,mean_excess,excess_win,mkt_mean,mfe_ge_2,mfe_ge_3,mfe_ge_5,mfe_ge_10,mfe_mean
limit_up_dry_pullback,3,586,453,0.0006027283379808068,-0.000538469001185149,-0.0009490993106737733,-0.006473451852798462,0.42662116040955633,0.2645051194539249,0.1348122866894198,-0.0015496803680434823,0.3839590443686007,0.000600581057369709,0.6723549488054608,0.537542662116041,0.34812286689419797,0.10238907849829351,0.04510704427957535
limit_up_dry_pullback,5,586,453,0.0029538769740611315,0.00026553054340183735,0.0009008798515424132,-0.009484648704528809,0.4249146757679181,0.3122866894197952,0.189419795221843,-0.0007853492861613631,0.39761092150170646,0.0016862291377037764,0.7201365187713311,0.6177474402730375,0.4351535836177474,0.16552901023890784,0.05729875713586807
limit_up_dry_pullback,10,586,453,0.0032451078295707703,-0.0026444215327501297,-0.0007683575968258083,-0.012554705142974854,0.44880546075085326,0.3532423208191126,0.24744027303754265,-0.003961861599236727,0.42150170648464164,0.0031935039442032576,0.7901023890784983,0.71160409556314,0.5563139931740614,0.27303754266211605,0.08012998849153519
limit_up_dry_pullback,20,586,453,0.003536739619448781,-0.007572021801024675,-0.004103770479559898,-0.01638457179069519,0.447098976109215,0.3890784982935154,0.295221843003413,-0.01040277723222971,0.40102389078498296,0.006299006752669811,0.8344709897610921,0.7747440273037542,0.6552901023890785,0.4044368600682594,0.11261512339115143
limit_up_dry_pullback,60,586,453,0.038158416748046875,0.003110028337687254,0.02809620276093483,-0.032144367694854736,0.44197952218430037,0.40273037542662116,0.3515358361774744,-0.004023933783173561,0.3839590443686007,0.03212013840675354,0.8976109215017065,0.8532423208191127,0.7713310580204779,0.6143344709897611,0.22282807528972626
"limit_up_dry_pullback(k=1.0,dry=0.8,pull_max=0.02)",3,1714,1024,0.0011697799200192094,0.00015604146756231785,0.0012374396901577711,-0.00446513295173645,0.4533255542590432,0.3115519253208868,0.17852975495915985,0.0002972989168483764,0.42707117852975496,0.0009401408024132252,0.6983663943990666,0.5805134189031506,0.3984830805134189,0.1441073512252042,0.05183424800634384
"limit_up_dry_pullback(k=1.0,dry=0.8,pull_max=0.02)",5,1714,1024,0.0035236915573477745,0.0008958337130025029,0.003126146038994193,-0.004747867584228516,0.46674445740956827,0.35939323220536756,0.24212368728121353,0.0009728313889354467,0.42298716452742124,0.0021533146500587463,0.7450408401400234,0.6528588098016336,0.48833138856476077,0.22287047841306884,0.06701461225748062
"limit_up_dry_pullback(k=1.0,dry=0.8,pull_max=0.02)",10,1714,1024,0.004655417986214161,-0.0002753152512013912,0.0026451097801327705,-0.008787006139755249,0.4632438739789965,0.38331388564760793,0.2806301050175029,0.0008901514811441302,0.4364060676779463,0.0017549582989886403,0.8063010501750292,0.7304550758459744,0.5962660443407235,0.35064177362893817,0.09624484181404114
"limit_up_dry_pullback(k=1.0,dry=0.8,pull_max=0.02)",20,1714,1024,0.007975404150784016,0.0008552861399948597,0.00450994772836566,-0.01309993863105774,0.46382730455075843,0.4054842473745624,0.3220536756126021,-0.0010481039062142372,0.42707117852975496,0.005558051634579897,0.837222870478413,0.7812135355892649,0.6837806301050176,0.46732788798133024,0.1356016993522644
"limit_up_dry_pullback(k=1.0,dry=0.8,pull_max=0.02)",60,1714,1024,0.020416762679815292,-0.002872299402952194,0.025282587856054306,-0.032420217990875244,0.4393232205367561,0.40956826137689617,0.36406067677946324,-0.002963033737614751,0.39323220536756126,0.028245622292160988,0.868144690781797,0.8278879813302217,0.7590431738623103,0.617852975495916,0.24555057287216187
any,3,1279202,4398,0.0009007778135128319,0.0,0.0009051829692907631,-0.0006006956100463867,0.48221312974807734,0.27207821751373124,0.10872168742700528,-8.293941922143944e-11,0.4560890305049554,0.000905183027498424,0.5328439136274021,0.39476173426870814,0.22078608382413412,0.05769221749184257,0.033131908625364304
any,5,1279202,4398,0.0015938790747895837,0.0,0.0016007779631763697,-0.0006288886070251465,0.486452491475154,0.3169155457855757,0.1562388113839722,1.5096837668870933e-10,0.4541495401039085,0.0016007778467610478,0.6233042162223011,0.4967049770091041,0.3157038528707741,0.10670245981479079,0.04413966089487076
any,10,1279202,4398,0.003287503495812416,0.0,0.003321350086480379,-0.0006344914436340332,0.4904073008015935,0.3662150309333475,0.22386065687827256,-7.678885305395511e-11,0.45034247913933845,0.003321350086480379,0.7252451137506039,0.6227671626529665,0.4559186117595188,0.2081758783991895,0.06498384475708008
any,20,1279202,4398,0.006954003591090441,0.0,0.007006538566201925,-0.001594841480255127,0.48994529401924014,0.40332879404503746,0.2923572664833232,-6.858810047694064e-11,0.4455723177418422,0.007006538566201925,0.7998212948385008,0.7222158814635999,0.5859371702045494,0.3434860170637632,0.09641287475824356
any,60,1279202,4398,0.02343585155904293,0.0,0.023565623909235,-0.004464268684387207,0.4866979570075719,0.43622352060112474,0.36685683730951013,4.771346165388657e-11,0.4340166760214571,0.023565623909235,0.8759374985342424,0.8298767512871306,0.7435917079554285,0.5596293626807963,0.18484489619731903
