signal,H,N,days,dw_mean,dw_excess,mean,median,win,p_ge_2,p_ge_5,mean_excess,excess_win,mkt_mean,mfe_ge_2,mfe_ge_3,mfe_ge_5,mfe_ge_10,mfe_mean
limit_up_dry_pullback,3,2200,1469,-0.0007406224031001329,-0.002227849094197154,-0.0007971948944032192,-0.0060468316078186035,0.4381818181818182,0.29318181818181815,0.1590909090909091,-0.003011793363839388,0.39045454545454544,0.0022145984694361687,0.6968181818181818,0.5736363636363636,0.37681818181818183,0.13318181818181818,0.05063939094543457
limit_up_dry_pullback,5,2200,1469,0.0008772481232881546,-0.002392201218754053,0.002015914535149932,-0.0042442381381988525,0.4722727272727273,0.36272727272727273,0.21545454545454545,-0.002279350534081459,0.415,0.004295265302062035,0.7672727272727272,0.6709090909090909,0.48363636363636364,0.21681818181818183,0.0664709210395813
limit_up_dry_pullback,10,2200,1469,0.0012144692009314895,-0.005718586500734091,0.0045188008807599545,-0.0056723058223724365,0.4627272727272727,0.37772727272727274,0.28045454545454546,-0.003951437771320343,0.4,0.008470239117741585,0.8327272727272728,0.7577272727272727,0.6118181818181818,0.3572727272727273,0.0964750275015831
limit_up_dry_pullback,20,2200,1469,0.0022862758487462997,-0.010929972864687443,0.0067957318387925625,-0.014837890863418579,0.4495454545454545,0.40045454545454545,0.3259090909090909,-0.00982603244483471,0.38272727272727275,0.01662176474928856,0.8731818181818182,0.8195454545454546,0.6981818181818182,0.47363636363636363,0.13739486038684845
limit_up_dry_pullback,60,2200,1469,0.017745820805430412,-0.01566602662205696,0.01948205754160881,-0.03479638695716858,0.43863636363636366,0.4040909090909091,0.3568181818181818,-0.016998549923300743,0.365,0.036480605602264404,0.9081818181818182,0.8736363636363637,0.8018181818181818,0.6536363636363637,0.25978341698646545
limit_up_dry_pullback(dry=0.5),3,243,227,0.005068704020231962,0.0014998327242210507,0.004015838727355003,-0.0010592341423034668,0.48148148148148145,0.3374485596707819,0.1646090534979424,0.00039443562855012715,0.4279835390946502,0.0036214031279087067,0.691358024691358,0.551440329218107,0.38271604938271603,0.13580246913580246,0.048798125237226486
limit_up_dry_pullback(dry=0.5),5,243,227,0.00925361830741167,0.004248887300491333,0.007564598694443703,0.0,0.49382716049382713,0.34156378600823045,0.21810699588477367,0.002604496432468295,0.4279835390946502,0.004960102029144764,0.7777777777777778,0.6502057613168725,0.49382716049382713,0.21810699588477367,0.06460142880678177
limit_up_dry_pullback(dry=0.5),10,243,227,0.012650852091610432,0.005472037009894848,0.011308075860142708,-0.0034363865852355957,0.4732510288065844,0.4074074074074074,0.3004115226337449,0.003574842819944024,0.411522633744856,0.007733233273029327,0.8353909465020576,0.757201646090535,0.6296296296296297,0.36213991769547327,0.09791319072246552
limit_up_dry_pullback(dry=0.5),20,243,227,0.018695984035730362,0.006775264162570238,0.01800479367375374,-0.0238531231880188,0.43209876543209874,0.39094650205761317,0.34156378600823045,0.003971390891820192,0.41975308641975306,0.014033403247594833,0.8477366255144033,0.7818930041152263,0.691358024691358,0.4567901234567901,0.1464930772781372
limit_up_dry_pullback(dry=0.5),60,243,227,0.04993217810988426,0.013000273145735264,0.04720399156212807,-0.038095176219940186,0.448559670781893,0.4279835390946502,0.3868312757201646,0.008297951892018318,0.39094650205761317,0.0389060378074646,0.9135802469135802,0.8724279835390947,0.8148148148148148,0.6419753086419753,0.2752401530742645
any,3,3997139,4399,0.001624695840291679,0.0,0.0014281211188063025,0.0,0.4905393582760069,0.29859031672403685,0.12758625606965382,7.563278475730684e-11,0.43983959527051725,0.0014281210023909807,0.5772523797646266,0.4423463882541988,0.2605320955813646,0.07712266198398404,0.03775177150964737
any,5,3997139,4399,0.0028871060349047184,0.0,0.002590607851743698,0.0,0.49447817551503714,0.34305787214305034,0.18054713633926667,5.415975445899335e-10,0.4365695063394093,0.002590607386082411,0.6650181542348165,0.5468031009179316,0.3657716181498817,0.1374227916517289,0.05081840232014656
any,10,3997139,4399,0.005996795371174812,0.0,0.0054113962687551975,0.0,0.496891151396036,0.38907703735096527,0.25374148859972095,1.3217843486401648e-10,0.4320059922859826,0.0054113962687551975,0.759827716774423,0.6692489302973952,0.5132696160929104,0.2572384898298508,0.07584654539823532
any,20,3997139,4399,0.012282750569283962,0.0,0.011251668445765972,-0.0004094243049621582,0.494372850181092,0.4214817147965082,0.32108365508429904,9.395644262610858e-10,0.4268483032488988,0.011251667514443398,0.8253065505102525,0.7589255715150262,0.6385006876168179,0.4059400986555634,0.11411041021347046
any,60,3997139,4399,0.03827103227376938,0.0,0.03435089439153671,-0.006116211414337158,0.48410475592667657,0.44083130459060843,0.3801761710063123,-3.893776134855642e-10,0.412526309442829,0.03435089439153671,0.8931130491083747,0.8549645133681866,0.78189224843069,0.6191213265287997,0.2235170155763626
