signal,universe,hold,k,target,seeds,cagr_median,cagr_p10,cagr_p90,cagr_pos_share,mdd_median,sharpe_median,trades_mean,win_rate_mean,avg_gross_mean,turnover_mean,avg_positions,yearly_median
"vol_up(r=0.05,k=2)",all,20,10,0.0,20,-0.09891557560387348,-0.10692113820229271,-0.09199672959698629,0.0,0.9666787468623236,-0.22850263063656248,43224.2,0.436572315291966,-0.0022511739053734806,17.394166033664582,165.0183031458532,"{""2005"": -0.3414, ""2006"": 0.6221, ""2007"": 1.5226, ""2008"": -0.7102, ""2009"": 0.9014, ""2010"": 0.0288, ""2011"": -0.4087, ""2012"": -0.1647, ""2013"": -0.0497, ""2014"": 0.2786, ""2015"": 0.223, ""2016"": -0.3503, ""2017"": -0.3384, ""2018"": -0.4672, ""2019"": -0.1371, ""2020"": -0.0535, ""2021"": 0.0959, ""2022"": -0.2651, ""2023"": -0.1328, ""2024"": -0.2054, ""2025"": -0.0239, ""2026"": -0.0871}"
"vol_up(r=0.05,k=2)",all,20,10,0.05,20,-0.07535026335899575,-0.07914499962012791,-0.07136332202586104,0.0,0.8619794489554711,-0.1398572414220945,46064.45,0.6911800836531892,-0.004004324478820258,12.850467575887532,175.93892278360343,"{""2005"": -0.2081, ""2006"": 0.1699, ""2007"": 0.2923, ""2008"": -0.4939, ""2009"": 0.3885, ""2010"": 0.0237, ""2011"": -0.2551, ""2012"": -0.025, ""2013"": -0.0529, ""2014"": 0.1264, ""2015"": 0.0259, ""2016"": -0.144, ""2017"": -0.176, ""2018"": -0.311, ""2019"": -0.0818, ""2020"": -0.0562, ""2021"": 0.0335, ""2022"": -0.1589, ""2023"": -0.0612, ""2024"": -0.1766, ""2025"": 0.0358, ""2026"": -0.0543}"
"vol_up(r=0.05,k=2)",all,20,20,0.0,20,-0.09322235691839703,-0.09515335863603111,-0.09064002891335035,0.0,0.9598433776362841,-0.23039973467262176,69590.15,0.44112688139487943,-0.00025378638287115333,16.541684765254125,265.59246901811247,"{""2005"": -0.339, ""2006"": 0.6288, ""2007"": 1.4992, ""2008"": -0.7087, ""2009"": 0.8833, ""2010"": 0.0271, ""2011"": -0.4084, ""2012"": -0.1693, ""2013"": -0.0563, ""2014"": 0.2582, ""2015"": 0.1775, ""2016"": -0.341, ""2017"": -0.3201, ""2018"": -0.4549, ""2019"": -0.1304, ""2020"": -0.061, ""2021"": 0.0329, ""2022"": -0.2211, ""2023"": -0.085, ""2024"": -0.1214, ""2025"": -0.0339, ""2026"": -0.0562}"
"vol_up(r=0.05,k=2)",all,20,20,0.05,20,-0.0763267783153681,-0.07776374624465704,-0.07475563336478175,0.0,0.8607064765148769,-0.17207457842670668,74728.05,0.6927816644522509,-0.0030968007950313023,11.918472522573033,285.31776930409916,"{""2005"": -0.2065, ""2006"": 0.1687, ""2007"": 0.2913, ""2008"": -0.4903, ""2009"": 0.3763, ""2010"": 0.0153, ""2011"": -0.2567, ""2012"": -0.0346, ""2013"": -0.0581, ""2014"": 0.1101, ""2015"": 0.0004, ""2016"": -0.1379, ""2017"": -0.1701, ""2018"": -0.3065, ""2019"": -0.0835, ""2020"": -0.0838, ""2021"": -0.0007, ""2022"": -0.1404, ""2023"": -0.0541, ""2024"": -0.1453, ""2025"": 0.002, ""2026"": -0.0366}"
any(),all,20,10,0.0,20,0.1348629114906741,0.12739112301209696,0.14473345529266485,1.0,0.7134174732250442,0.5811696866090912,52237.2,0.5115224195941837,0.015846144523752333,171.3728447073841,199.58875119161107,"{""2005"": -0.1541, ""2006"": 0.7683, ""2007"": 2.0873, ""2008"": -0.5844, ""2009"": 1.427, ""2010"": 0.1082, ""2011"": -0.3031, ""2012"": 0.0424, ""2013"": 0.2315, ""2014"": 0.432, ""2015"": 0.7165, ""2016"": -0.1299, ""2017"": -0.1261, ""2018"": -0.2977, ""2019"": 0.2745, ""2020"": 0.1632, ""2021"": 0.2669, ""2022"": -0.0898, ""2023"": 0.0635, ""2024"": 0.0183, ""2025"": 0.3772, ""2026"": -0.0063}"
any(),all,20,10,0.05,20,0.032053188960103784,0.025555671767253086,0.03584209712545628,1.0,0.49809208915551284,0.25367674497090525,52172.75,0.7027995774044289,0.004200573994947439,36.256853989903604,199.3367397521449,"{""2005"": -0.0666, ""2006"": 0.2627, ""2007"": 0.3791, ""2008"": -0.4178, ""2009"": 0.5064, ""2010"": 0.0435, ""2011"": -0.2058, ""2012"": 0.0732, ""2013"": 0.0921, ""2014"": 0.1977, ""2015"": 0.1525, ""2016"": -0.0192, ""2017"": -0.086, ""2018"": -0.1883, ""2019"": 0.1367, ""2020"": 0.0659, ""2021"": 0.1194, ""2022"": -0.0728, ""2023"": 0.0447, ""2024"": -0.1074, ""2025"": 0.2051, ""2026"": -0.0063}"
any(),all,20,20,0.0,20,0.13555805263368226,0.13251700929829696,0.14137954206508324,1.0,0.7080245832566778,0.5870867133862933,104469.05,0.5116017682392971,0.01589904390578676,168.52697457288187,399.15709246901804,"{""2005"": -0.1585, ""2006"": 0.754, ""2007"": 2.0508, ""2008"": -0.5798, ""2009"": 1.4174, ""2010"": 0.1161, ""2011"": -0.288, ""2012"": 0.0299, ""2013"": 0.2256, ""2014"": 0.4364, ""2015"": 0.6876, ""2016"": -0.1213, ""2017"": -0.1443, ""2018"": -0.2987, ""2019"": 0.2665, ""2020"": 0.1751, ""2021"": 0.2857, ""2022"": -0.1048, ""2023"": 0.0754, ""2024"": 0.0415, ""2025"": 0.3772, ""2026"": 0.0084}"
any(),all,20,20,0.05,20,0.025276842188855286,0.023503914840021123,0.029066968687006735,1.0,0.4885101632637973,0.22855317509228737,103910.15,0.7024788342162452,0.004252246023681879,33.240495081669465,396.99063870352717,"{""2005"": -0.0738, ""2006"": 0.2523, ""2007"": 0.3663, ""2008"": -0.4091, ""2009"": 0.4981, ""2010"": 0.0376, ""2011"": -0.2032, ""2012"": 0.0593, ""2013"": 0.076, ""2014"": 0.191, ""2015"": 0.1226, ""2016"": -0.0151, ""2017"": -0.095, ""2018"": -0.1912, ""2019"": 0.1315, ""2020"": 0.0611, ""2021"": 0.1004, ""2022"": -0.0761, ""2023"": 0.0435, ""2024"": -0.111, ""2025"": 0.1947, ""2026"": -0.0031}"
three_up(n=3),all,20,10,0.0,20,-0.025390073957728243,-0.032499356979717696,-0.017454980878846022,0.0,0.8731042344916138,0.045908818566145496,46570.95,0.47395050583615317,0.005339259814921315,28.348459799268454,177.93913250714965,"{""2005"": -0.2333, ""2006"": 0.7167, ""2007"": 1.4698, ""2008"": -0.6825, ""2009"": 0.991, ""2010"": -0.0318, ""2011"": -0.4115, ""2012"": -0.1505, ""2013"": 0.0693, ""2014"": 0.4256, ""2015"": 0.1113, ""2016"": -0.2265, ""2017"": -0.1582, ""2018"": -0.3797, ""2019"": 0.0327, ""2020"": 0.0552, ""2021"": 0.2139, ""2022"": -0.2373, ""2023"": -0.0639, ""2024"": -0.1383, ""2025"": 0.1372, ""2026"": -0.1039}"
three_up(n=3),all,20,10,0.05,20,-0.03184201959649746,-0.035323448118359614,-0.027584982185752723,0.0,0.6928759526202968,0.013512025462869667,46063.1,0.6947375161801859,-6.0395020513725376e-05,16.788301812583533,175.98936129647285,"{""2005"": -0.156, ""2006"": 0.1977, ""2007"": 0.2838, ""2008"": -0.5025, ""2009"": 0.4064, ""2010"": 0.0244, ""2011"": -0.2711, ""2012"": 0.0228, ""2013"": 0.0195, ""2014"": 0.1487, ""2015"": 0.0215, ""2016"": -0.0329, ""2017"": -0.105, ""2018"": -0.2246, ""2019"": 0.014, ""2020"": 0.0175, ""2021"": 0.084, ""2022"": -0.1133, ""2023"": -0.0251, ""2024"": -0.0921, ""2025"": 0.1125, ""2026"": -0.0657}"
three_up(n=3),all,20,20,0.0,20,-0.02850182942831081,-0.03286854683422667,-0.025627154529255434,0.0,0.8780787415796789,0.02637254758001479,83277.05,0.47722631426719647,0.006830221430511631,26.820844875229874,318.1858055290753,"{""2005"": -0.2325, ""2006"": 0.7062, ""2007"": 1.4822, ""2008"": -0.68, ""2009"": 0.9755, ""2010"": -0.0414, ""2011"": -0.4085, ""2012"": -0.144, ""2013"": 0.0708, ""2014"": 0.4217, ""2015"": 0.1088, ""2016"": -0.2238, ""2017"": -0.1545, ""2018"": -0.3706, ""2019"": 0.0115, ""2020"": 0.0398, ""2021"": 0.197, ""2022"": -0.2335, ""2023"": -0.0669, ""2024"": -0.1254, ""2025"": 0.0949, ""2026"": -0.0904}"
