signal,year,N,mean20,win20,excess20,excess_win20,days_with_signal
"breakout(n=120,k=1.5)",2005,0,,,,,
"breakout(n=120,k=1.5)",2006,0,,,,,
"breakout(n=120,k=1.5)",2007,0,,,,,
"breakout(n=120,k=1.5)",2008,7,-0.0379098579287529,0.42857142857142855,-0.10367107391357422,0.2857142857142857,7
"breakout(n=120,k=1.5)",2009,3554,0.020339304581284523,0.5092853123241418,-0.01503390446305275,0.37084974676420934,231
"breakout(n=120,k=1.5)",2010,1941,-0.027283618226647377,0.37300360638845953,-0.001456673489883542,0.42040185471406494,197
"breakout(n=120,k=1.5)",2011,876,-0.032574363052845,0.3344748858447489,-0.016809610649943352,0.3801369863013699,182
"breakout(n=120,k=1.5)",2012,627,-0.022861609235405922,0.3508771929824561,-0.009264164604246616,0.4130781499202552,179
"breakout(n=120,k=1.5)",2013,3298,-0.006594727281481028,0.4214675560946028,-0.0063537126407027245,0.39751364463311095,235
"breakout(n=120,k=1.5)",2014,4417,0.020871371030807495,0.5376952682816392,-0.010304296389222145,0.39891328956305183,239
"breakout(n=120,k=1.5)",2015,4701,0.0595962256193161,0.6490108487555839,-0.024496519938111305,0.3711976175281855,153
"breakout(n=120,k=1.5)",2016,1329,-0.02366439253091812,0.3491346877351392,-0.014677543193101883,0.36644093303235514,187
"breakout(n=120,k=1.5)",2017,1289,-0.027335120365023613,0.3483320403413499,-0.006765074096620083,0.41505042668735453,211
"breakout(n=120,k=1.5)",2018,608,-0.060452673584222794,0.29276315789473684,-0.011914358474314213,0.4605263157894737,182
"breakout(n=120,k=1.5)",2019,3250,0.010011330246925354,0.5095384615384615,-0.01871410571038723,0.34923076923076923,235
"breakout(n=120,k=1.5)",2020,3085,0.004979354795068502,0.43111831442463533,-0.0031755848322063684,0.3980551053484603,236
"breakout(n=120,k=1.5)",2021,2860,0.022803708910942078,0.45174825174825173,0.0066290260292589664,0.4206293706293706,240
"breakout(n=120,k=1.5)",2022,1412,-0.03710956871509552,0.334985835694051,-0.01924118585884571,0.4065155807365439,226
"breakout(n=120,k=1.5)",2023,1873,-0.0047869072295725346,0.397223705285638,0.007508746348321438,0.4383342231713828,221
"breakout(n=120,k=1.5)",2024,2211,0.0026638482231646776,0.42017186793306194,-0.011799863539636135,0.3545906829488919,211
"breakout(n=120,k=1.5)",2025,2912,0.027927320450544357,0.45913461538461536,3.610207568272017e-05,0.37190934065934067,242
"breakout(n=120,k=1.5)",2026,1619,-0.014348593540489674,0.39530574428659665,0.011290667578577995,0.44471896232242125,134
"breakout(n=240,k=1.5)",2005,0,,,,,
"breakout(n=240,k=1.5)",2006,0,,,,,
"breakout(n=240,k=1.5)",2007,0,,,,,
"breakout(n=240,k=1.5)",2008,1,-0.14130091667175293,0.0,0.002597033977508545,1.0,1
"breakout(n=240,k=1.5)",2009,1902,0.0007499654311686754,0.47213459516298634,-0.01515103131532669,0.3669821240799159,189
"breakout(n=240,k=1.5)",2010,1513,-0.027783697471022606,0.3694646397884997,-0.0011585020693019032,0.41771315267680104,187
"breakout(n=240,k=1.5)",2011,616,-0.02968268282711506,0.32954545454545453,-0.018769249320030212,0.3652597402597403,150
"breakout(n=240,k=1.5)",2012,214,-0.021613264456391335,0.42990654205607476,-0.006266109179705381,0.45794392523364486,111
"breakout(n=240,k=1.5)",2013,2148,-0.0037894200067967176,0.42830540037243947,-0.005561791360378265,0.4064245810055866,234
"breakout(n=240,k=1.5)",2014,3383,0.014396624639630318,0.5019213715637009,-0.012745145708322525,0.3890038427431274,238
"breakout(n=240,k=1.5)",2015,4555,0.06356722116470337,0.6548847420417124,-0.023687368258833885,0.37277716794731064,149
"breakout(n=240,k=1.5)",2016,356,-0.03518389165401459,0.3258426966292135,-0.025318080559372902,0.351123595505618,129
"breakout(n=240,k=1.5)",2017,820,-0.026824066415429115,0.3524390243902439,-0.0085779819637537,0.41585365853658535,197
"breakout(n=240,k=1.5)",2018,316,-0.06776350736618042,0.2848101265822785,-0.013934536837041378,0.4810126582278481,132
"breakout(n=240,k=1.5)",2019,1174,-0.02729467861354351,0.38160136286201024,-0.021914450451731682,0.35604770017035775,213
"breakout(n=240,k=1.5)",2020,2240,0.006592971738427877,0.4401785714285714,-0.0033073138911277056,0.409375,230
"breakout(n=240,k=1.5)",2021,1945,0.017345033586025238,0.4467866323907455,0.005362818017601967,0.4205655526992288,237
"breakout(n=240,k=1.5)",2022,692,-0.043144792318344116,0.3208092485549133,-0.02210848405957222,0.4031791907514451,204
"breakout(n=240,k=1.5)",2023,1130,-0.00021810615726280957,0.38849557522123895,0.013388827443122864,0.4389380530973451,212
"breakout(n=240,k=1.5)",2024,1148,-0.005917772650718689,0.3989547038327526,-0.014263787306845188,0.35714285714285715,183
"breakout(n=240,k=1.5)",2025,1999,0.029972176998853683,0.47073536768384194,0.003355019725859165,0.39119559779889945,241
