observed_on,spread,cap
2005-04-29,0.030814628305932817,
2005-05-31,0.041022255961844195,
2005-06-30,0.04183990595611286,
2005-07-29,0.04340575270479134,
2005-08-31,0.042031751552795024,
2005-09-30,0.0467725637371338,
2005-10-31,0.05427664346349746,
2005-11-30,0.051133185654008435,
2005-12-30,0.04706614115781127,
2006-01-25,0.04415731268436578,
2006-02-28,0.04175672727272728,
2006-03-31,0.04187583749109053,
2006-04-28,0.03319113924050632,
2006-05-31,0.026297175141242937,0.3
2006-06-30,0.02456135469364812,0.3
2006-07-31,0.021395680345572356,0.3
2006-08-31,0.02135455131649651,0.3
2006-09-29,0.021572975760701392,0.3
2006-10-31,0.025132808743169397,0.3
2006-11-30,0.013303877208099956,0.3
2006-12-29,0.002413786040443573,0.3
2007-01-31,-0.0020586967095851255,0.3
2007-02-28,-0.0030164978662873404,0.3
2007-03-30,-0.006842811657959854,0.3
2007-04-30,-0.0072462752293578035,0.3
2007-05-31,-0.015135268652915711,0.3
2007-06-29,-0.017683159023866992,0.3
2007-07-31,-0.020575161150422273,0.3
2007-08-31,-0.019290842401500943,0.3
2007-09-28,-0.02203251694729936,0.3
2007-10-31,-0.024033989966555182,0.3
2007-11-30,-0.0202844126984127,0.3
2007-12-28,-0.02119276557794765,0.3
2008-01-31,-0.01409735634743875,0.3
2008-02-29,-0.012906155505107833,0.3
2008-03-31,-0.0032714540721457824,0.3
2008-04-30,-0.004241964611455672,0.3
2008-05-30,-0.002063308300395257,0.3
2008-06-30,0.004244470034670628,0.3
2008-07-31,0.00466671344455348,0.3
2008-08-29,0.016658815076560654,0.3
2008-09-26,0.024637504643962853,0.3
2008-10-31,0.05209904142502071,
2008-11-28,0.04725549382716049,
2008-12-31,0.05299429790660225,
2009-01-23,0.04289307326007326,
2009-02-27,0.038618227208976154,
2009-03-31,0.026901750731421883,0.3
2009-04-30,0.02120191531625719,0.3
2009-05-27,0.018798391539596657,0.3
2009-06-30,0.01029554824935952,0.3
2009-07-31,0.0020619881305637966,0.3
2009-08-31,0.015496810865191148,0.3
2009-09-30,0.012577923664122137,0.3
2009-10-30,0.008547893684688772,0.3
2009-11-30,0.007515877208099951,0.3
2009-12-31,0.005262035014589418,0.3
2010-01-29,0.010496296296296295,0.3
2010-02-26,0.012202882352941168,0.3
2010-03-31,0.011954684752104781,0.3
2010-04-30,0.024778057176196036,0.3
2010-05-31,0.03183735218508997,0.3
2010-06-30,0.03612798759476224,
2010-07-30,0.02993666205160478,0.3
2010-08-31,0.035726210884353744,
2010-09-30,0.03484421088435375,
2010-10-29,0.025600972534332085,0.3
2010-11-30,0.027766383265856946,0.3
2010-12-31,0.027912140760507007,0.3
2011-01-31,0.026346599467731213,0.3
2011-02-28,0.02541091909385114,0.3
2011-03-31,0.027457896138482027,0.3
2011-04-29,0.03190846892655367,0.3
2011-05-31,0.0365953670411985,
2011-06-30,0.03560316381236038,
2011-07-29,0.035395534142640364,
2011-08-31,0.04235283569641367,
2011-09-30,0.05124225965858041,
2011-10-31,0.05151955971479501,
2011-11-30,0.05789396240601503,
2011-12-30,0.06316288693957116,
2012-01-31,0.05835744177449168,
2012-02-29,0.052765726872246704,
2012-03-30,0.058142644920782846,
2012-04-27,0.05365819501335708,
2012-05-31,0.05880792250922509,
2012-06-29,0.06478621568627452,
2012-07-31,0.06799317356205853,
2012-08-31,0.07166862090813093,
2012-09-28,0.06873078512396694,
2012-10-31,0.06996924524312895,
2012-11-30,0.07371925408942202,
2012-12-31,0.05959088465204957,
2013-01-31,0.0540360900900901,
2013-02-28,0.05570202841429881,
2013-03-29,0.06361790099009901,
2013-04-26,0.06825110256410256,
2013-05-31,0.06510348756218905,
2013-06-28,0.0800823732718894,
2013-07-31,0.07694125114155252,
2013-08-30,0.07380125114155252,
2013-09-30,0.07091074501108648,
2013-10-31,0.07393474074074072,
2013-11-29,0.06887393925759278,
2013-12-31,0.0704912807424594,
2014-01-30,0.07693221951219513,
2014-02-28,0.0778241221001221,
2014-03-31,0.07830056226880396,
2014-04-30,0.08262614070351756,
2014-05-30,0.08397427930174564,
2014-06-30,0.08208738650306749,
2014-07-31,0.07202389908256879,
2014-08-29,0.0759821952662722,
2014-09-30,0.07459247597254004,
2014-10-31,0.07620664277588168,
2014-11-28,0.0664803997965412,
2014-12-31,0.04227393563579278,
2015-01-30,0.045237821829855536,
2015-02-27,0.044319012490242005,
2015-03-31,0.03267329322268325,
2015-04-30,0.02681063088057902,0.3
2015-05-29,0.025245510403916767,0.3
2015-06-30,0.026097246430788333,0.3
2015-07-31,0.0376069001447178,
2015-08-31,0.0522911993156544,
2015-09-30,0.05676455971479501,
2015-10-30,0.049785852090032154,
2015-11-30,0.05017617727639001,
2015-12-31,0.04865195080707148,
2016-01-29,0.06709198376313276,
2016-02-29,0.06896388693957116,
2016-03-31,0.05899358741258742,
2016-04-29,0.05942622261484099,
2016-05-31,0.05817716901408451,
2016-06-30,0.05953974758135445,
2016-07-29,0.05770208547008547,
2016-08-31,0.05348114886731392,
2016-09-30,0.05572955186721991,
2016-10-31,0.055356456953642386,
2016-11-30,0.048929372549019606,
2016-12-30,0.05111976848090982,
2017-01-26,0.044782261345852906,
2017-02-28,0.04418000231303006,
2017-03-31,0.044993011673151756,
2017-04-28,0.04413420646178093,
2017-05-31,0.04171901167315176,
2017-06-30,0.03899959895444361,
2017-07-31,0.03630894049346879,
2017-08-31,0.03578110951008646,
2017-09-29,0.03617057989877079,
2017-10-31,0.03333733526011561,
2017-11-30,0.033510296162201296,
2017-12-29,0.03236737722419928,
2018-01-31,0.02669278472679395,0.3
2018-02-28,0.032619529745042494,0.3
2018-03-30,0.037387315632011975,
2018-04-27,0.04212893563579278,
2018-05-31,0.04355227490039841,
2018-06-29,0.0499180050804403,
2018-07-31,0.049010296730930436,
2018-08-31,0.05442032551848513,
2018-09-28,0.05020278583765112,
2018-10-31,0.05925362264150944,
2018-11-30,0.06223544061302683,
2018-12-28,0.06679302775024776,
2019-01-31,0.0620728696461825,
2019-02-28,0.05118773963515755,
2019-03-29,0.049317,
2019-04-30,0.047630592502037494,
2019-05-31,0.05435701393728222,
2019-06-28,0.049579060556464806,
2019-07-31,0.05082032289950576,
2019-08-30,0.05489708547008547,
2019-09-30,0.05391323208191126,
2019-10-31,0.052809802913453295,
2019-11-29,0.055610034904013964,
2019-12-31,0.04993581300813008,
2020-01-23,0.053680040133779264,
2020-02-28,0.05905442350907519,
2020-03-31,0.06626689861751152,
2020-04-30,0.05958176720475786,
2020-05-29,0.05915389655172415,
2020-06-30,0.05254544426494346,
2020-07-31,0.04348888953913679,
2020-08-31,0.03902715224913496,
2020-09-30,0.04061605335255949,
2020-10-30,0.04002908045977011,
2020-11-30,0.03548096532970768,
2020-12-31,0.03242796040868455,
2021-01-29,0.03090992476489029,
2021-02-26,0.030213972274732208,
2021-03-31,0.03655926967830253,
2021-04-30,0.04232449704142012,
2021-05-31,0.040522320794889995,
2021-06-30,0.03905440223463687,
2021-07-30,0.04785651219512195,
2021-08-31,0.05213017727639001,
2021-09-30,0.05052614115781127,
2021-10-29,0.049194598263614844,
2021-11-30,0.053382653061224486,
2021-12-31,0.04704031563201197,
2022-01-28,0.05336485209003215,
2022-02-28,0.05180449482895784,
2022-03-31,0.057446232081911255,
2022-04-29,0.06082006601248884,
2022-05-31,0.060913222614840994,
2022-06-30,0.053029768480909824,
2022-07-29,0.05985258741258742,
2022-08-31,0.06451910163339383,
2022-09-30,0.06790998376313276,
2022-10-31,0.07762527263267431,
2022-11-30,0.0657573793755913,
2022-12-30,0.06607570632672333,
2023-01-31,0.05983294671403197,
2023-02-28,0.06050851477170993,
2023-03-31,0.06020314463176575,
2023-04-28,0.05939595815170009,
2023-05-31,0.06464130832570907,
2023-06-30,0.06480670282588878,
2023-07-31,0.06143116901408452,
2023-08-31,0.06541681073703366,
2023-09-28,0.06524532014719413,
2023-10-31,0.06704696240601503,
2023-11-30,0.06873984732824426,
2023-12-29,0.07078611368015414,
2024-01-31,0.0740951968503937,
2024-02-29,0.06828402841429881,
2024-03-29,0.06630506601248884,
2024-04-30,0.06295652278589853,
2024-05-31,0.06350442350907519,
2024-06-28,0.06505001393728221,
2024-07-31,0.066845222614841,
2024-08-30,0.07037703130755064,
2024-09-30,0.057533383399209485,
2024-10-31,0.06436090987124463,
2024-11-29,0.0649003829787234,
2024-12-31,0.06528245447087777,
2025-01-27,0.06887987563884157,
2025-02-28,0.06745036886632826,
2025-03-31,0.06676064346349747,
2025-04-30,0.07078920191470844,
