group,start,identical,nav_days,windows
full,2009-11-01,True,4089,141
full,2010-05-01,True,3966,135
full,2010-11-01,True,3848,129
full,2011-05-01,True,3726,123
full,2011-11-01,True,3603,117
full,2012-05-01,True,3484,111
full,2012-11-01,True,3359,105
full,2013-05-01,True,3242,99
full,2013-11-01,True,3121,93
full,2014-05-01,True,2999,87
full,2014-11-01,True,2876,81
full,2015-05-01,True,2755,75
full,2015-11-01,True,2633,69
full,2016-05-01,True,2510,63
A,2009-11-01,True,4089,141
A,2010-05-01,True,3966,135
A,2010-11-01,True,3848,129
A,2011-05-01,True,3726,123
A,2011-11-01,True,3603,117
A,2012-05-01,True,3484,111
A,2012-11-01,True,3359,105
A,2013-05-01,True,3242,99
A,2013-11-01,True,3121,93
A,2014-05-01,True,2999,87
A,2014-11-01,True,2876,81
A,2015-05-01,True,2755,75
A,2015-11-01,True,2633,69
A,2016-05-01,True,2510,63
legacy,2009-11-01,True,4089,141
legacy,2011-11-01,True,3603,117
