signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2013-09-27,2013-09-30,600066,18.3800,18.5965,18.3905,0,0,0.9154,600188,0.5498,chop:repeat;gap=-0.01164;run=2;slope=0.011201435523775505;cross=4,,20140
2014-06-04,2014-06-05,600660,8.0500,8.0985,8.0350,0,0,0.6566,000333,0.4408,chop:repeat;gap=-0.00599;run=2;slope=0.007902924704418446;cross=2,,170300
2015-11-19,2015-11-20,002304,64.9800,65.0185,63.7715,0,0,1.2115,600188,0.7760,chop:repeat;gap=-0.00059;run=2;slope=0.01955418956744004;cross=1,,2980
2016-07-29,2016-08-01,002128,7.9600,8.0630,7.9365,0,0,0.8172,600585,0.6365,chop:repeat;gap=-0.01277;run=1;slope=0.015939015939016032;cross=3,,74500
2020-06-04,2020-06-05,603156,22.0100,22.0255,21.5982,0,0,0.9433,601169,0.7575,chop:repeat;gap=-0.00070;run=2;slope=0.019785629953159578;cross=1,,28980
2022-04-22,2022-04-25,601225,16.5700,16.6640,16.1230,0,0,0.9746,601998,0.8070,chop:repeat;gap=-0.00564;run=2;slope=0.03355454940147595;cross=1,,434200
2023-08-09,2023-08-10,601328,5.6200,5.6255,5.5619,0,0,0.7364,000933,0.5491,chop:repeat;gap=-0.00098;run=2;slope=0.011434941297038925;cross=1,601169,5006000
2024-10-29,2024-10-30,000651,46.5900,47.3545,45.8295,0,0,0.8621,002236,0.5905,chop:repeat;gap=-0.01614;run=2;slope=0.03327551031540832;cross=1,601328,73700
2024-11-12,2024-11-13,600919,8.8400,9.0065,8.8615,0,0,0.8139,002236,0.6408,chop:repeat;gap=-0.01849;run=2;slope=0.01636291824183278;cross=1,,45200
2025-03-18,2025-03-19,601229,9.3100,9.3570,9.3165,0,0,0.7997,000661,0.6442,chop:repeat;gap=-0.00502;run=2;slope=0.00434712606665566;cross=3,,1414600
2025-03-24,2025-03-25,601229,9.3100,9.3575,9.3580,0,0,0.7997,000661,0.6105,chop:repeat;gap=-0.00508;run=2;slope=-5.3430220132710815e-05;cross=4,,946300
2025-07-02,2025-07-03,601998,8.5100,8.5230,8.3790,0,0,0.8750,000792,0.5926,chop:repeat;gap=-0.00153;run=1;slope=0.0171858216970997;cross=3,,26800
2026-03-26,2026-03-27,600938,40.9300,41.3030,39.8800,0,0,1.9086,002966,0.8257,chop:repeat;gap=-0.00903;run=2;slope=0.03568204613841508;cross=1,000933,95300
