number,security_code,as_of_year,cutoff_notice
1,002746,2019,2020-03-24
2,002965,2019,2020-03-21
3,603681,2019,2020-04-28
4,688008,2019,2020-04-25
5,603053,2019,2020-04-23
6,601512,2019,2020-04-16
7,002959,2019,2020-04-29
8,300674,2019,2020-03-31
9,300394,2019,2020-04-28
10,002960,2019,2020-04-23
11,002398,2019,2020-03-31
12,000818,2019,2020-04-07
13,688128,2019,2020-04-28
14,601860,2019,2020-03-25
15,300782,2019,2020-04-28
16,603916,2019,2020-04-16
17,300791,2019,2020-04-24
18,002950,2019,2020-04-28
19,002449,2019,2020-04-09
20,002926,2019,2020-03-31
21,688006,2019,2020-04-29
22,002953,2019,2020-04-28
23,603186,2019,2020-03-12
24,300422,2019,2020-04-29
25,002967,2019,2020-03-27
26,300464,2019,2020-04-30
27,603317,2019,2020-03-31
28,603983,2019,2020-04-22
29,002968,2019,2020-04-01
30,300552,2019,2020-04-11
31,300805,2019,2020-04-21
32,002234,2019,2020-04-21
33,600984,2019,2020-04-28
34,002957,2019,2020-04-23
35,600909,2019,2020-03-30
36,688029,2019,2020-03-31
37,603992,2019,2020-04-14
38,603610,2019,2020-04-30
39,000897,2019,2020-03-12
40,603915,2019,2020-04-28
41,688139,2019,2020-03-26
42,603489,2019,2020-04-14
43,300801,2019,2020-03-09
44,603109,2019,2020-04-21
45,688366,2019,2020-03-27
46,603867,2019,2020-04-23
47,300765,2019,2020-03-23
48,688015,2019,2020-02-25
49,688018,2019,2020-03-10
50,603267,2019,2020-03-20
51,002970,2019,2020-04-20
52,300573,2019,2020-04-20
53,688066,2019,2020-04-21
54,603327,2019,2020-03-20
55,603127,2019,2020-04-13
56,688001,2019,2020-04-16
57,300775,2019,2020-04-23
58,002956,2019,2020-04-20
59,603380,2019,2020-04-17
60,300803,2019,2020-04-29
