number,security_code,as_of_year,cutoff_notice
1,002287,2021,2022-04-29
2,002585,2021,2022-03-28
3,300463,2021,2022-04-20
4,002832,2021,2022-04-16
5,603010,2021,2022-04-30
6,300451,2021,2022-04-15
7,300661,2021,2022-04-23
8,300705,2021,2022-04-27
9,002901,2021,2022-03-30
10,600163,2021,2022-04-22
11,002605,2021,2022-04-30
12,300850,2021,2022-04-22
