number,security_code,as_of_year,cutoff_notice
1,002082,2006,2007-04-30
2,000767,2006,2007-04-30
3,002085,2006,2007-04-30
4,600308,2006,2007-04-30
5,000680,2006,2007-04-30
6,000661,2006,2007-04-30
7,002051,2006,2007-04-30
8,600067,2006,2007-04-30
9,002062,2006,2007-04-30
10,000918,2006,2007-04-30
11,000042,2006,2007-04-30
12,000690,2006,2007-04-30
13,002068,2006,2007-04-30
14,600591,2006,2007-04-30
15,600521,2006,2007-04-30
16,000726,2006,2007-04-30
17,600983,2006,2007-04-30
18,000731,2006,2007-04-30
19,002035,2006,2007-04-30
20,600303,2006,2007-04-30
21,000970,2006,2007-04-30
22,600331,2006,2007-04-30
23,002083,2006,2007-04-30
24,000531,2006,2007-04-30
25,600479,2006,2007-04-30
26,600993,2006,2007-04-30
27,000989,2006,2007-04-30
28,002053,2006,2007-04-30
29,600035,2006,2007-04-30
30,002069,2006,2007-04-30
31,000915,2006,2007-04-30
32,600456,2006,2007-04-30
33,002052,2006,2007-04-30
34,600439,2006,2007-04-30
35,600978,2006,2007-04-30
36,000428,2006,2007-04-30
37,002084,2006,2007-04-30
38,600840,2006,2007-04-30
39,000667,2006,2007-04-30
40,600818,2006,2007-04-30
