number,security_code,as_of_year,cutoff_notice
1,600236,2015,2016-03-31
2,002062,2015,2016-03-26
3,600521,2015,2016-04-19
4,002249,2015,2016-03-19
5,002508,2015,2016-04-08
6,002367,2015,2016-03-30
7,600828,2015,2016-03-15
8,002572,2015,2016-01-28
9,300146,2015,2016-02-27
10,002411,2015,2016-04-26
11,002624,2015,2016-04-29
12,000957,2015,2016-04-23
