number,security_code,as_of_year,cutoff_notice
1,300158,2011,2012-04-27
2,002545,2011,2012-04-13
3,002628,2011,2012-02-29
4,002127,2011,2012-02-21
5,600268,2011,2012-04-06
6,300203,2011,2012-04-10
7,000516,2011,2012-03-23
8,300251,2011,2012-03-15
9,002647,2011,2012-04-18
10,600366,2011,2012-04-17
11,300005,2011,2012-04-10
12,002479,2011,2012-01-19
13,600621,2011,2012-03-15
14,002292,2011,2012-04-17
15,002226,2011,2012-04-26
16,002626,2011,2012-04-18
17,601222,2011,2012-04-26
18,002458,2011,2012-03-09
19,300071,2011,2012-03-30
20,300119,2011,2012-03-30
21,300144,2011,2012-02-28
22,601566,2011,2012-04-23
23,002630,2011,2012-04-30
24,000982,2011,2012-02-29
25,000880,2011,2012-03-30
26,002268,2011,2012-03-27
27,002610,2011,2012-04-24
28,002617,2011,2012-04-25
29,300267,2011,2012-03-10
30,601011,2011,2012-03-29
31,000669,2011,2012-03-17
32,002376,2011,2012-04-19
33,000665,2011,2012-02-11
34,002063,2011,2012-04-07
35,600225,2011,2012-04-18
36,600561,2011,2012-03-20
37,600503,2011,2012-02-24
38,002561,2011,2012-02-01
39,002038,2011,2012-04-21
40,600693,2011,2012-04-14
41,000935,2011,2012-04-16
42,002535,2011,2012-03-27
43,300240,2011,2012-04-16
44,300257,2011,2012-04-05
45,300128,2011,2012-04-20
46,002585,2011,2012-03-26
47,002313,2011,2012-03-15
48,002181,2011,2012-04-24
49,002550,2011,2012-04-24
50,002565,2011,2012-02-29
51,002538,2011,2012-02-23
52,601599,2011,2012-02-28
53,002586,2011,2012-03-30
54,000561,2011,2012-04-10
55,002477,2011,2012-04-30
