security_code,security_name,quote_price,quote_change_pct,total_market_cap,float_market_cap,pe_ttm_provider,pe_dynamic_provider,pb_provider,ttm_parent_profit,ttm_deducted_profit,pe_ttm_computed,pe_ttm_deducted_computed,fy_latest_report_date,fy_parent_profit,fy_profit_yoy_pct,latest_quarter_report_date,latest_quarter_notice_date,latest_quarter_revenue_yoy_pct,latest_quarter_profit_yoy_pct,latest_quarter_deducted_yoy_pct,pe_ttm_pct_rank_5y,pb_pct_rank_5y,pe_ttm_5y_median,pb_5y_median,latest_predict_report_date,latest_predict_notice_date,latest_predict_type,latest_predict_summary,latest_express_report_date,latest_express_summary,forecast_years,forecast_profit_means,evidence_available_at,retrieved_at_utc,fetch_status,fetch_error
600938,XD中国海,28.15,1,1337968204650,84168500000,10.73,8.55,1.6,124663000000,122390000000,10.732681,10.932006,2025-12-31,122082000000,-11.493736,2026-03-31,2026-04-29,8.633275,7.059049,5.431172,78.8,52.9,9,1.58,2022-12-31,2023-01-20,预增,"预增 004 金额[139600000000,143600000000] 幅度[99,104]%",,,2023A;2024A;2025A;2026E;2027E;2028E,123843000000;137936000000;122082000000;161613065500;159014360500;162405965263.15799,2026-04-29,2026-07-10T10:13:06+00:00,fetched,
601088,中国神华,42.04,-0.21,911823818140,693283235628,17.68,21.37,1.99,51567000000,47596000000,17.682313,19.157572,2025-12-31,52849000000,-5.297016,2026-03-31,2026-04-25,1.166918,-10.728931,-8.483554,94.6,71,11.58,1.66,2025-12-31,2026-01-31,略减,"略减 004 金额[49500000000,54500000000] 幅度[-11.3,-2.3]%",2016-06-30,营收78723000000(同比-12.530972%) 净利9828000000(同比-18.628912%),2023A;2024A;2025A;2026E;2027E;2028E,59694000000;55805000000;52849000000;57899464166.666702;60205333333.333298;63079315217.391296,2026-04-25,2026-07-10T10:13:06+00:00,fetched,
601899,紫金矿业,27.72,0.36,737094609322,571081705841,11.95,9.18,3.89,61689942197,59301128443,11.948376,12.429689,2025-12-31,51777327785,61.548688,2026-03-31,2026-04-22,24.79377,97.500066,86.806572,6.7,57.7,16.44,3.51,2026-06-30,2026-07-10,预增,"预增 005 金额[37900000000,37900000000] 幅度[75,75]%",2018-06-30,营收49813890000(同比32.753388%) 净利2523040000(同比67.599309%),2023A;2024A;2025A;2026E;2027E;2028E,21119419571;32050602437;51777327785;83379523181.818207;98799725000;113383687894.737,2026-07-10,2026-07-10T10:12:51+00:00,fetched,
603195,公牛集团,37.47,0.05,67575121957,67452120912,16.27,15.96,4.7,4153960464.89,3752954245.83,16.267637,18.005848,2025-12-31,4070632747.77,-4.718215,2026-03-31,2026-04-30,3.516517,8.547166,15.010259,0.2,0.2,25.89,6.75,2021-06-30,2021-07-02,预增,"预增 005 金额[1200000000,1440000000] 幅度[49.24,79.09]%",2022-12-31,营收14081373030.940001(同比13.697765%) 净利3174038717.44(同比14.159241%),2023A;2024A;2025A;2026E;2027E;2028E,3870135376.47;4272204565.03;4070632747.77;4280005500;4533751500;4812447500,2026-04-30,2026-07-10T10:12:51+00:00,fetched,
603288,海天味业,33.72,1.17,197323537112,187503450344,27.1,20.19,5.28,7280005363.940001,7045898936.029999,27.104862,28.005445,2025-12-31,7038465194.15,10.953336,2026-03-31,2026-04-28,8.565783,10.968252,9.335172,0.7,0.7,38.91,8.27,2013-12-31,2014-01-15,略增,"略增 004 金额[1580000000,1620000000] 幅度[30,35]%",,,2023A;2024A;2025A;2026E;2027E;2028E,5626626091.97;6343626494.69;7038465194.15;7873541212.12121;8713512727.27273;9557271875,2026-04-28,2026-07-10T10:12:51+00:00,fetched,
688008,澜起科技,268.06,-6.21,327177421909,306865577499,127.92,96.53,15.7,2557619214.5,2122861538.79,127.922648,154.120943,2025-12-31,2235569970.18,58.351278,2026-03-31,2026-04-28,19.514563,61.30464,20.141721,96.8,98.3,71.5,7.54,2025-12-31,2026-01-17,预增,"预增 005 金额[1920000000,2120000000] 幅度[53.81,69.83]%",2025-12-31,营收5456316800(同比49.943669%) 净利2235570000(同比58.351283%),2023A;2024A;2025A;2026E;2027E;2028E,450909813.13;1411778923.59;2235569970.18;3282991333.33333;4380282000;5722608571.42857,2026-04-28,2026-07-10T10:21:58+00:00,fetched,
688012,中微公司,434.51,-7.86,416192078629,409394034981,152.51,111.82,15.13,2728877851.88,1729053145.55,152.514001,240.705197,2025-12-31,2111472990.43,30.68668,2026-03-31,2026-04-28,34.128538,197.201998,60.092377,96.5,99,73.48,5.76,2025-12-31,2026-01-24,略增,"略增 004 金额[2080000000,2180000000] 幅度[28.74,34.93]%",2025-12-31,营收12384638300(同比36.617901%) 净利2111473000(同比30.686684%),2023A;2024A;2025A;2026E;2027E;2028E,1785907974.46;1615675746.81;2111472990.43;3113305200;4226415600;5425780434.78261,2026-04-28,2026-07-10T10:21:58+00:00,fetched,
688041,海光信息,353,-2.88,820491346123,820491346123,300.98,298.54,35.44,2726091047.04,2459391122.78,300.977235,333.615641,2025-12-31,2544890905.62,31.791994,2026-03-31,2026-04-08,68.055921,35.817794,34.992273,99.6,99.6,157.72,12.03,2026-03-31,2026-02-26,略增,"略增 005 金额[520000000,600000000] 幅度[17.6,35.7]%",2025-12-31,营收14375899400(同比56.905338%) 净利2542264100(同比31.655961%),2023A;2024A;2025A;2026E;2027E;2028E,1263178600.37;1930990510.51;2544890905.62;4488924444.44445;6679877777.77778;9068238695.65217,2026-04-08,2026-07-10T10:21:58+00:00,fetched,
688111,金山办公,233.76,2.71,108467780566,108467780566,29.89,12.35,7.41,3628825126.7,3583724320.59,29.890606,30.266776,2025-12-31,1836468727.81,11.633973,2026-03-31,2026-04-24,23.954025,444.965952,456.908939,1.9,2.4,94.37,12.67,2026-03-31,2026-04-14,预增,"预增 005 金额[1999440000,2281970000] 幅度[412.89,485.36]%",2025-12-31,营收5928744673.06(同比15.776827%) 净利1842976801.74(同比12.029581%),2023A;2024A;2025A;2026E;2027E;2028E,1317737042.69;1645080509.02;1836468727.81;2534614827.58621;2624880689.65517;3131480357.14286,2026-04-24,2026-07-10T10:22:03+00:00,fetched,
688981,中芯国际,163.02,-5.77,1395582593305,325968686738,276.6,256.31,9.32,5045569000,4186568000,276.595681,333.347647,2025-12-31,5040734000,36.285227,2026-03-31,2026-05-15,8.073898,0.356465,5.323171,99.9,99.9,73.64,3.65,2022-12-31,2022-11-11,略增,"略增 006 金额[49400000000,49400000000] 幅度[38,38]%",2025-12-31,营收67323200000(同比16.484992%) 净利5040700000(同比36.283018%),2023A;2024A;2025A;2026E;2027E;2028E,4822814000;3698665000;5040734000;6477700000;7922400000;9380500000,2026-05-15,2026-07-10T10:21:58+00:00,fetched,
