number,security_code,as_of_year,cutoff_notice
1,601668,2009,2010-04-30
2,601766,2009,2010-04-30
3,000877,2009,2010-04-30
4,002311,2009,2010-04-30
5,000961,2009,2010-04-30
6,600612,2009,2010-04-30
7,601888,2009,2010-04-30
8,601989,2009,2010-04-30
9,600522,2009,2010-04-30
10,600021,2009,2010-04-30
11,000401,2009,2010-04-30
12,000776,2009,2010-02-09
13,000411,2009,2010-04-30
14,002304,2009,2010-04-30
15,000009,2009,2010-04-30
16,601139,2009,2010-04-30
17,600141,2009,2010-04-30
18,600999,2009,2010-04-30
19,000537,2009,2010-04-30
20,000786,2009,2010-04-30
21,000418,2009,2010-04-30
22,300015,2009,2010-04-30
23,000652,2009,2010-04-30
24,002299,2009,2010-04-30
25,002309,2009,2010-04-30
26,002276,2009,2010-04-30
27,000501,2009,2010-04-30
28,000759,2009,2010-04-30
29,601788,2009,2010-04-30
30,600486,2009,2010-04-30
31,002204,2009,2010-04-30
32,000987,2009,2010-04-30
33,002300,2009,2010-04-30
34,600720,2009,2010-04-30
35,600631,2009,2010-03-31
36,002307,2009,2010-04-30
37,002314,2009,2010-04-30
38,002318,2009,2010-04-30
39,600388,2009,2010-04-30
40,601107,2009,2010-04-30
41,000417,2009,2010-04-30
42,300003,2009,2010-04-30
43,000783,2009,2010-04-30
44,600449,2009,2010-04-30
45,600743,2009,2010-04-30
46,002096,2009,2010-04-30
47,000598,2009,2010-04-30
48,000910,2009,2010-04-30
49,000597,2009,2010-04-30
50,002285,2009,2010-04-30
