number,security_code,as_of_year,cutoff_notice
1,603866,2015,2016-03-25
2,603996,2015,2016-03-30
3,002002,2015,2016-04-26
4,002769,2015,2016-03-29
5,000018,2015,2016-04-30
6,600446,2015,2016-03-23
7,300415,2015,2016-04-08
8,300033,2015,2016-02-05
9,603589,2015,2016-04-28
10,603686,2015,2016-04-15
11,600393,2015,2016-04-19
12,300496,2015,2016-04-25
13,300418,2015,2016-04-11
14,601198,2015,2016-03-05
15,600681,2015,2016-04-20
16,002558,2015,2016-04-29
17,002781,2015,2016-04-26
18,300178,2015,2016-03-20
19,603600,2015,2016-04-19
20,000688,2015,2016-04-22
21,603678,2015,2016-02-29
22,002414,2015,2016-02-23
23,002706,2015,2016-04-15
24,002773,2015,2016-04-23
25,603818,2015,2016-04-18
26,603618,2015,2016-03-01
27,603223,2015,2016-04-29
28,300463,2015,2016-04-26
29,603989,2015,2016-04-12
30,000519,2015,2016-03-15
31,300324,2015,2016-02-23
32,002147,2015,2016-04-22
33,600562,2015,2016-02-02
34,600167,2015,2016-04-28
35,603968,2015,2016-02-25
36,000998,2015,2016-04-08
37,000547,2015,2016-04-15
38,600864,2015,2016-03-10
39,603567,2015,2016-04-26
40,603898,2015,2016-04-09
41,000813,2015,2016-03-14
42,603116,2015,2016-04-26
43,000008,2015,2016-04-27
44,300253,2015,2016-03-26
45,300439,2015,2016-04-28
46,002354,2015,2016-03-10
47,002763,2015,2016-04-12
48,603025,2015,2016-04-25
49,002099,2015,2016-01-22
50,603808,2015,2016-04-15
51,600763,2015,2016-03-03
52,300194,2015,2016-04-26
53,300294,2015,2016-04-08
54,000403,2015,2016-04-27
55,002279,2015,2016-03-31
56,002775,2015,2016-04-15
