number,security_code,as_of_year,cutoff_notice
1,601988,2006,2007-04-30
2,600048,2006,2007-04-30
3,000630,2006,2007-04-30
4,600150,2006,2007-04-30
5,601111,2006,2007-04-30
6,601991,2006,2007-04-30
7,000527,2006,2007-03-17
8,000066,2006,2007-04-30
9,002092,2006,2007-04-30
10,002060,2006,2007-04-30
11,601006,2006,2007-04-30
12,600489,2006,2007-04-30
13,600875,2006,2007-04-30
14,600332,2006,2007-04-30
15,600221,2006,2007-04-30
16,000060,2006,2007-04-30
17,600981,2006,2007-04-30
18,601699,2006,2007-04-30
19,000960,2006,2007-02-13
20,600196,2006,2007-04-30
21,600837,2006,2007-04-30
22,002091,2006,2007-04-30
23,002078,2006,2007-04-30
24,600102,2006,2007-03-23
25,600001,2006,2007-04-19
26,601666,2006,2007-04-30
27,002081,2006,2007-04-30
28,600582,2006,2007-04-30
29,601872,2006,2007-04-30
30,600183,2006,2007-04-30
31,002048,2006,2007-04-30
32,000422,2006,2007-04-30
33,600685,2006,2007-04-30
34,600595,2006,2007-04-30
35,600008,2006,2007-04-30
36,002056,2006,2007-04-30
37,601588,2006,2007-04-30
38,600299,2006,2007-04-30
39,002075,2006,2007-04-30
40,600357,2006,2007-04-04
41,601001,2006,2007-04-30
