number,security_code,as_of_year,cutoff_notice
1,300133,2012,2013-03-28
2,300142,2012,2013-04-18
3,601339,2012,2013-04-19
4,601965,2012,2013-03-13
5,300182,2012,2013-03-12
6,600064,2012,2013-04-09
7,000026,2012,2013-03-01
8,002439,2012,2013-03-29
9,600230,2012,2013-03-23
10,002653,2012,2013-02-05
11,300145,2012,2013-03-19
12,000419,2012,2013-04-23
13,002491,2012,2013-04-02
14,600336,2012,2013-04-02
15,000582,2012,2013-03-07
16,002037,2012,2013-03-28
17,002273,2012,2013-04-19
18,601515,2012,2013-04-09
19,002324,2012,2013-04-18
20,002635,2012,2013-04-18
21,300271,2012,2013-03-28
22,002672,2012,2013-03-28
23,603001,2012,2013-04-26
24,603366,2012,2013-03-20
25,002663,2012,2013-04-09
26,300024,2012,2013-04-02
27,002692,2012,2013-03-29
28,300255,2012,2013-04-02
29,002698,2012,2013-04-09
30,300043,2012,2013-03-30
31,603399,2012,2013-04-02
32,002507,2012,2013-03-29
33,000566,2012,2013-04-26
34,002690,2012,2013-04-09
35,601929,2012,2013-03-01
36,603000,2012,2013-04-18
37,600513,2012,2013-03-20
38,300307,2012,2013-04-19
39,300228,2012,2013-03-28
40,002689,2012,2013-03-28
41,002661,2012,2013-03-15
42,002528,2012,2013-04-24
43,002674,2012,2013-03-26
44,002694,2012,2013-03-02
45,002682,2012,2013-04-24
46,002650,2012,2013-04-11
47,002670,2012,2013-04-18
48,300110,2012,2013-03-29
49,002666,2012,2013-03-28
50,002656,2012,2013-04-09
51,002448,2012,2013-04-23
52,002687,2012,2013-03-19
53,300079,2012,2013-04-18
54,300337,2012,2013-04-22
55,300204,2012,2013-03-12
