number,security_code,as_of_year,cutoff_notice
1,000333,2013,2014-03-29
2,000301,2013,2014-04-11
3,600023,2013,2014-03-31
4,600699,2013,2014-04-22
5,300014,2013,2014-02-28
6,600180,2013,2014-03-26
7,600893,2013,2014-03-28
8,002340,2013,2014-04-22
9,600737,2013,2014-04-09
10,000521,2013,2014-03-28
11,600038,2013,2014-03-26
12,600372,2013,2014-03-26
13,600073,2013,2014-03-10
14,600398,2013,2014-03-26
15,000065,2013,2014-03-31
16,300244,2013,2014-04-08
17,000787,2013,2014-04-30
18,601377,2013,2014-04-10
19,600726,2013,2014-04-26
20,000657,2013,2014-03-25
21,000975,2013,2014-01-28
22,000400,2013,2014-03-28
23,600967,2013,2014-03-25
24,000810,2013,2014-04-26
25,000587,2013,2014-03-25
26,601901,2013,2014-04-16
27,600587,2013,2014-03-12
28,600648,2013,2014-04-30
29,002624,2013,2014-03-05
30,000719,2013,2014-04-15
31,600804,2013,2014-04-12
32,603008,2013,2014-04-05
33,600280,2013,2014-03-27
34,002335,2013,2014-03-28
35,600081,2013,2014-03-29
36,002245,2013,2014-04-30
37,600814,2013,2014-03-12
38,002649,2013,2014-03-12
39,300017,2013,2014-03-15
40,600261,2013,2014-04-22
41,000793,2013,2014-03-15
42,600643,2013,2014-04-25
43,002020,2013,2014-03-04
44,000811,2013,2014-03-28
45,002664,2013,2014-03-29
46,002174,2013,2014-04-26
47,600485,2013,2014-04-30
48,002358,2013,2014-04-30
49,000156,2013,2014-03-26
50,002219,2013,2014-01-28
51,000753,2013,2014-03-29
52,300083,2013,2014-04-15
53,002681,2013,2014-03-20
54,002537,2013,2014-04-03
55,600386,2013,2014-03-12
