number,security_code,as_of_year,cutoff_notice
1,002724,2014,2015-04-24
2,600381,2014,2015-01-31
3,300113,2014,2015-03-27
4,300315,2014,2015-04-18
5,601579,2014,2015-03-27
6,300341,2014,2015-03-17
7,300406,2014,2015-03-12
8,002609,2014,2015-04-23
9,002117,2014,2015-03-11
10,002680,2014,2015-04-30
11,603126,2014,2015-03-26
12,603005,2014,2015-04-13
13,002071,2014,2015-04-28
14,600318,2014,2015-04-30
15,600965,2014,2015-03-28
16,002671,2014,2015-04-16
17,002296,2014,2015-04-22
18,002581,2014,2015-04-18
19,300148,2014,2015-04-10
20,300170,2014,2015-04-10
21,300075,2014,2015-04-22
22,603166,2014,2015-03-30
23,300011,2014,2015-01-31
24,300405,2014,2015-04-15
25,600730,2014,2015-04-30
26,300375,2014,2015-03-31
27,300386,2014,2015-04-25
28,300164,2014,2015-03-20
29,300217,2014,2015-04-25
30,300358,2014,2015-01-24
31,603168,2014,2015-04-17
32,000790,2014,2015-04-16
33,002023,2014,2015-03-25
34,600794,2014,2015-02-10
35,002364,2014,2015-02-13
36,300222,2014,2015-03-27
37,600080,2014,2015-04-25
38,300216,2014,2015-03-17
39,600770,2014,2015-04-27
40,300289,2014,2015-03-09
41,002198,2014,2015-04-23
42,002428,2014,2015-04-01
43,300312,2014,2015-04-11
44,002577,2014,2015-04-30
45,300234,2014,2015-03-31
46,002618,2014,2015-04-23
