number,security_code,as_of_year,cutoff_notice
1,000878,2005,2006-04-30
2,000876,2005,2006-04-30
3,600027,2005,2006-04-30
4,000800,2005,2006-04-30
5,600547,2005,2006-04-30
6,600822,2005,2006-04-30
7,600015,2005,2006-02-17
8,000829,2005,2006-04-30
9,600900,2005,2006-04-30
10,000807,2005,2006-04-30
11,600060,2005,2006-04-30
12,600886,2005,2006-04-30
13,600970,2005,2006-04-30
14,600426,2005,2006-04-30
15,600708,2005,2006-04-30
16,600497,2005,2006-04-30
17,600428,2005,2006-04-30
18,002028,2005,2006-04-30
19,600415,2005,2006-04-30
20,600002,2005,2006-04-18
21,600125,2005,2006-04-30
22,600845,2005,2006-04-30
23,001696,2005,2006-04-30
24,600475,2005,2006-04-30
25,600469,2005,2006-04-30
26,000822,2005,2006-04-30
27,000912,2005,2006-04-30
28,002047,2005,2006-04-30
29,600639,2005,2006-04-30
30,600087,2005,2006-04-30
31,600410,2005,2006-04-30
32,600557,2005,2006-04-30
33,600432,2005,2006-04-30
34,600895,2005,2006-04-30
35,600533,2005,2006-04-30
36,600201,2005,2006-04-30
37,600880,2005,2006-04-30
38,600190,2005,2006-04-30
39,600158,2005,2006-04-30
40,600003,2005,2006-04-25
