security_code,security_name,report_date,report_type,currency,operate_income_yi,holder_profit_yi,roe_avg_pct,gross_margin_pct,net_margin_pct,bps,basic_eps,issued_shares,total_parent_equity_yi,debt_asset_ratio_pct,netcash_operate_yi,retrieved_at_utc,source_url
01378,中国宏桥,2007-12-31,2007年年报,HKD,45.08,13.03,61.799896107839,30.841067803892,29.4857396866,0.214672532281,0.26,9819397841,21.08,77.0090954615,11.43,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2008-12-31,2008年年报,HKD,87.72,4.2,18.131071369333,6.081237441807,4.889034197,0.257475258762,0.08,9819397841,25.28,76.8660588361,11.17,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2009-12-31,2009年年报,HKD,86.68,5.56,19.822181220651,10.374776141649,6.5483845514,0.314127306984,0.11,9819397841,30.85,72.359542826,19.24,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2010-12-31,2010年年报,HKD,151.32,41.96,80.787616772449,37.946234470652,27.8902000457,0.743685215555,0.84,9819397841,73.03,45.2816773288,47.67,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2011-12-31,2011年年报,HKD,236.26,58.75,45.723791152188,34.607530989865,24.8683750563,1.873539935737,1.03,9819397841,183.97,37.9925031636,56.3,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2012-12-31,2012年年报,HKD,248.05,54.53,26.787292028313,32.265798209068,21.9820548829,2.27236490071,0.93,9819397841,223.13,49.6630248696,62.21,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2013-12-31,2013年年报,HKD,294.04,55.93,22.833009999994,27.692402602027,18.9986438113,2.716497837436,0.95,9819397841,266.74,58.7555249783,2.52,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2014-12-31,2014年年报,HKD,360.86,53.14,18.084651389523,25.762122496938,14.6910058804,3.267982876304,0.89,9819397841,320.9,61.0896883616,96.3,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2015-12-31,2015年年报,HKD,441.1,37.07,10.795490847738,20.293485363184,8.2073076781,3.616189462427,0.59,9819397841,355.67,65.9549948244,77.7,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2016-12-31,2016年年报,HKD,613.96,68.5,17.046831278297,23.122728806299,11.1012392456,4.562225986297,0.96,9819397841,450.73,67.9428629513,128.29,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2017-12-31,2017年年报,HKD,979.42,51.3,10.629738191169,15.950367587881,5.6871516201,5.217563320032,0.6986,9819397841,515.2,66.3436597682,323.38,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2018-12-31,2018年年报,HKD,901.95,54.07,9.700709988297,17.074754672447,6.4152745447,6.106826708825,0.6218,9819397841,599.65,64.5670807134,93.6,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2019-12-31,2019年年报,HKD,841.79,60.95,9.900691612607,19.55855578156,7.6683269167,6.43258568629,0.7087,9819397841,631.64,63.243684754,145.41,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2020-12-31,2020年年报,HKD,861.45,104.96,15.623572610814,22.468243845836,12.124667163,7.250560385967,1.221,9819397841,711.96,57.692256419,177.79,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2021-12-31,2021年年报,HKD,1144.91,160.73,21.079249287815,26.598694825995,14.7162726176,8.280323938043,1.772,9819397841,813.08,50.940252272,286.5,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2022-12-31,2022年年报,HKD,1316.99,87.02,10.496506750441,13.849187058346,7.4480012734,8.605298855209,0.9358,9819397841,844.99,48.1507223111,76.22,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2023-12-31,2023年年报,HKD,1336.24,114.61,12.968710011797,15.68180469754,9.3529503823,9.394127775824,1.2095,9819397841,922.45,46.9566693724,224.02,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2024-12-31,2024年年报,HKD,1561.69,223.72,22.367340958069,26.998167110546,15.7174195959,10.97826391654,2.3611,9819397841,1078.0,48.2410134894,339.83,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
01378,中国宏桥,2025-12-31,2025年年报,HKD,1623.54,226.36,18.832584359703,25.564703858812,14.8772995507,13.503173732952,2.3842,9819397841,1325.93,42.2483249342,389.95,2026-08-09T22:27:07+00:00,https://datacenter.eastmoney.com/securities/api/data/v1/get?reportName=RPT_HKF10_FN_MAININDICATOR&SECUCODE=01378.HK
