number,security_code,as_of_year,cutoff_notice
1,002379,2024,2025-03-14
2,300972,2024,2025-04-19
3,603341,2024,2025-04-25
4,001391,2024,2025-04-09
5,301308,2024,2025-03-21
6,600292,2024,2025-04-24
7,301606,2024,2025-04-24
8,000682,2024,2025-04-23
9,603381,2024,2025-04-30
10,605196,2024,2025-04-18
11,603194,2024,2025-04-25
12,688506,2024,2025-03-29
13,300926,2024,2025-04-01
14,600301,2024,2025-04-30
15,001389,2024,2025-04-01
16,301260,2024,2025-04-29
17,603299,2024,2025-04-29
18,002891,2024,2025-04-24
19,301631,2024,2025-04-19
20,001314,2024,2025-04-22
21,603162,2024,2025-03-20
22,601033,2024,2025-03-29
23,688717,2024,2025-04-29
24,002824,2024,2025-04-25
25,688248,2024,2025-03-29
26,300054,2024,2025-04-29
27,688362,2024,2025-04-23
28,300666,2024,2025-04-16
29,301589,2024,2025-04-18
30,603395,2024,2025-04-26
31,300641,2024,2025-04-16
32,002615,2024,2025-04-22
33,300492,2024,2025-04-29
34,301536,2024,2025-04-19
35,002351,2024,2025-03-29
36,603312,2024,2025-03-29
37,002098,2024,2025-04-26
38,603344,2024,2025-04-19
39,301603,2024,2025-04-25
40,301383,2024,2025-04-18
41,603082,2024,2025-04-22
42,603350,2024,2025-04-30
43,301175,2024,2025-04-09
44,688615,2024,2025-04-16
45,001222,2024,2025-04-26
46,301608,2024,2025-04-23
47,600200,2024,2025-04-30
48,301503,2024,2025-04-29
49,603091,2024,2025-04-12
50,001279,2024,2025-04-25
51,301617,2024,2025-04-25
52,301622,2024,2025-04-15
53,603119,2024,2025-04-30
54,603325,2024,2025-04-26
55,688449,2024,2025-04-17
56,688692,2024,2025-04-15
57,301028,2024,2025-04-26
58,601121,2024,2025-03-29
59,688543,2024,2025-03-26
60,001359,2024,2025-04-18
